rank_label,T_pca,mean_delta_beta,median_delta_beta,n_pos_families,n_families,delta_beta_astropt,delta_beta_convnext,delta_beta_dinov2,delta_beta_vit,delta_beta_ijepa,beta_astropt,beta_convnext,beta_dinov2,beta_vit,beta_ijepa
8,-0.014569181290333091,-0.014569181290333091,-0.006919248061996855,0,5,-0.006919248061996855,-0.00473481202591512,-0.0035198031747418783,-0.012200977970705355,-0.045471065218306246,0.0031788719074805592,0.0009402138522863967,-0.0003525216443138655,0.011058315550456086,0.0352818967580169
16,-0.01391756922376342,-0.01391756922376342,-0.0041334441120304275,0,5,-0.0041334441120304275,-0.003629628964294611,-0.0021485275815446383,-0.011467791701070928,-0.04820845375987651,0.005964675857446987,0.002045396913906905,0.0010187539488833745,0.011791501820090512,0.03254450821644664
32,-0.008354932284269128,-0.008354932284269128,-0.003505211488312523,0,5,-0.002613456410729939,-0.003505211488312523,-0.0020655380013767273,-0.006824878670017097,-0.026765576850909356,0.007484663558747475,0.002169814389888993,0.0011017435290512853,0.016434414851144344,0.05398738512541379
64,-0.00708100385407633,-0.00708100385407633,-0.003416368746989026,0,5,-0.0004377242668565217,-0.003416368746989026,-0.0016709482166482237,-0.0034185554713752273,-0.026461422568512652,0.009660395702620892,0.00225865713121249,0.0014963333137797891,0.019840738049786213,0.054291539407810493
128,-0.003061707021750338,-0.003061707021750338,-0.0013801822799537045,1,5,-1.0009212540124449e-05,-0.0049486154537692305,-0.0013801822799537045,0.004413060262966048,-0.013382788425454678,0.01008811075693729,0.0007264104244322854,0.0017870992504743083,0.02767235378412749,0.06737017355086847
256,0.0019936699819435915,0.0019936699819435915,0.0015207714119835347,3,5,0.0020326933010260447,-0.002168351178414987,-0.00014936681644483812,0.008732603191568204,0.0015207714119835347,0.012130813270503459,0.003506674699786529,0.0030179147139831747,0.031991896712729645,0.08227373338830668
512,0.0026975846485984708,0.0026975846485984708,0.0016728485531818243,3,5,-0.005577013470010392,-0.0002944874886039563,0.004615466002456263,0.013071109645968616,0.0016728485531818243,0.004521106499467022,0.00538053838959756,0.007782747532884275,0.03633040316713006,0.08242581052950497
full,0.0,0.0,0.0,0,5,0.0,0.0,0.0,0.0,0.0,0.010098119969477414,0.005675025878201516,0.003167281530428013,0.02325929352116144,0.08075296197632315
