family,model,size_name,parameter_count,log10_params,input_dim,output_dim,rank,rank_label,mknn,dense_raw,dense_ridge,pca_minus_dense_ridge,train_mse,test_mse,train_mse_full_ridge,test_mse_full_ridge
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,384,8,8,0.015227342081171805,0.017485505035093073,0.03201098565761367,-0.016783643576441867,0.4400731325149536,0.4446464478969574,0.014659810811281204,0.015794796869158745
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,384,16,16,0.02050656087885261,0.017485505035093073,0.03201098565761367,-0.011504424778761062,0.24919280409812927,0.25297823548316956,0.014659810811281204,0.015794796869158745
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,384,32,32,0.02334452242905096,0.017485505035093073,0.03201098565761367,-0.00866646322856271,0.1399824172258377,0.1424071192741394,0.014659810811281204,0.015794796869158745
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,384,64,64,0.027891364052487034,0.017485505035093073,0.03201098565761367,-0.004119621605126637,0.07822863012552261,0.08002066612243652,0.014659810811281204,0.015794796869158745
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,384,128,128,0.0351235886481538,0.017485505035093073,0.03201098565761367,0.003112602990540128,0.04284588620066643,0.04439299553632736,0.014659810811281204,0.015794796869158745
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,384,256,256,0.04171498321635642,0.017485505035093073,0.03201098565761367,0.009703997558742752,0.022128930315375328,0.02340610697865486,0.014659810811281204,0.015794796869158745
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,384,384,full,0.03201098565761367,0.017485505035093073,0.03201098565761367,0.0,0.014659810811281204,0.015794796869158745,0.014659810811281204,0.015794796869158745
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,768,8,8,0.020720170888007323,0.02187976808056149,0.048245346353371986,-0.027525175465364662,5.360959529876709,5.3818159103393555,0.08613323420286179,0.09970065206289291
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,768,16,16,0.027097955447055233,0.02187976808056149,0.048245346353371986,-0.021147390906316753,2.9927825927734375,3.004538059234619,0.08613323420286179,0.09970065206289291
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,768,32,32,0.032621299969484284,0.02187976808056149,0.048245346353371986,-0.015624046383887702,1.6829102039337158,1.6925842761993408,0.08613323420286179,0.09970065206289291
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,768,64,64,0.039456820262435154,0.02187976808056149,0.048245346353371986,-0.008788526090936832,0.9245617389678955,0.9376819133758545,0.08613323420286179,0.09970065206289291
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,768,128,128,0.04946597497711321,0.02187976808056149,0.048245346353371986,0.0012206286237412267,0.5048022866249084,0.5199178457260132,0.08613323420286179,0.09970065206289291
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,768,256,256,0.056393042416844674,0.02187976808056149,0.048245346353371986,0.008147696063472688,0.2658240497112274,0.2802327275276184,0.08613323420286179,0.09970065206289291
