rank_label,rank_numeric,n_rungs,mean_mknn,median_mknn,mean_dense_raw,mean_dense_ridge,mean_S_pca,median_S_pca,n_positive_S,S_family_boot_mean,S_family_boot_ci_lo,S_family_boot_ci_hi,mean_train_mse,mean_test_mse
8,8,16,0.016371681415929203,0.01582239853524565,0.02178249923710711,0.041531888922795246,-0.02516020750686604,-0.02668599328654257,0,-0.02516020750686604,-0.02893248846685455,-0.021468703441095693,14.759015263523906,14.768416688253637
16,16,16,0.02406354897772353,0.023848031736344217,0.02178249923710711,0.041531888922795246,-0.017468339945071715,-0.018462007934086054,0,-0.017468339945071715,-0.02110060014240667,-0.013771562943151017,8.328185603328166,8.377498002912034
32,32,16,0.03147696063472688,0.03100396704302716,0.02178249923710711,0.041531888922795246,-0.010054928288068355,-0.010680500457735734,0,-0.010054928288068355,-0.013541348794629234,-0.006298104634998135,4.549027602712158,4.5880188794544665
64,64,16,0.03801876716509002,0.03823619163869393,0.02178249923710711,0.041531888922795246,-0.003513121757705218,-0.0033872444308819024,5,-0.003513121757705218,-0.007388617638083613,0.0004081212067270097,2.4016194173091208,2.435761092667235
128,128,16,0.04425160207506866,0.04299664327128471,0.02178249923710711,0.041531888922795246,0.0027197131522734203,0.0029295086969789406,13,0.0027197131522734203,-0.000223781914352559,0.005711823942271446,1.2387658004772675,1.2695962545076327
256,256,16,0.049536542569423254,0.04873359780286848,0.02178249923710711,0.041531888922795246,0.008004653646628014,0.00831553249923711,16,0.008004653646628014,0.0053748347065405355,0.010322845799900676,0.6204737177922652,0.6532655677729053
512,512,14,0.05506560878852609,0.05360085444003662,0.022010549718819473,0.0427111033610881,0.012354505427437986,0.010909368324687214,14,0.012354505427437986,0.009887091852303935,0.015438177934363466,0.33792998812818303,0.373757941581841
full,-1,16,0.041531888922795246,0.04160817821177906,0.02178249923710711,0.041531888922795246,0.0,0.0,0,0.0,0.0,0.0,0.13306110016219463,0.1652128300570439
