pair,family,size_name,paper_model,approx_params_m,k,method,mknn,n,n_test,protocol
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,shared_side1_basis_cosine,0.01693622215440952,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,shared_side1_basis_idf,0.015868172108635947,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,shared_side2_basis_cosine,0.008025633201098566,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,shared_side2_basis_idf,0.011260299054012816,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,shared_best_basis_cosine,0.01693622215440952,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,shared_best_basis_idf,0.015868172108635947,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,dense_cosine,0.009893798828125,16384,3277,paper_full_catalog
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,dense_cosine_heldout,0.009795544705523344,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,bsf_codes_cosine,0.009734513274336283,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,shared_side1_basis_cosine,0.013793103448275862,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,shared_side1_basis_idf,0.0137320720170888,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,shared_side2_basis_cosine,0.008910588953310955,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,shared_side2_basis_idf,0.009978638999084528,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,shared_best_basis_cosine,0.013793103448275862,16384,3277,heldout_query_full_gallery
