family,representation,metric,k_or_keff,reference_model,size_from,size_to,size_order_from,size_order_to,model_from,model_to,params_from,params_to,score_from,score_to,delta,positive
convnext,dense,mknn,20,paired_legacysurvey_same_size,nano,tiny,0,1,ConvNeXtv2 Nano,ConvNeXtv2 Tiny,15000000.0,28000000.0,0.0119537353515625,0.0113677978515625,-0.0005859374999999997,False
convnext,dense,mknn,20,paired_legacysurvey_same_size,tiny,base,1,2,ConvNeXtv2 Tiny,ConvNeXtv2 Base,28000000.0,89000000.0,0.0113677978515625,0.0140899658203125,0.0027221679687499997,True
convnext,dense,mknn,20,paired_legacysurvey_same_size,base,large,2,3,ConvNeXtv2 Base,ConvNeXtv2 Large,89000000.0,198000000.0,0.0140899658203125,0.01484375,0.0007537841796874997,True
convnext,dense,mknn,50,paired_legacysurvey_same_size,nano,tiny,0,1,ConvNeXtv2 Nano,ConvNeXtv2 Tiny,15000000.0,28000000.0,0.01911376953125,0.018310546875,-0.0008032226562500015,False
convnext,dense,mknn,50,paired_legacysurvey_same_size,tiny,base,1,2,ConvNeXtv2 Tiny,ConvNeXtv2 Base,28000000.0,89000000.0,0.018310546875,0.02184326171875,0.0035327148437499997,True
convnext,dense,mknn,50,paired_legacysurvey_same_size,base,large,2,3,ConvNeXtv2 Base,ConvNeXtv2 Large,89000000.0,198000000.0,0.02184326171875,0.0224169921875,0.0005737304687499986,True
convnext,sae,mknn,10,paired_legacysurvey_same_size,nano,tiny,0,1,ConvNeXtv2 Nano,ConvNeXtv2 Tiny,15000000.0,28000000.0,0.014922184925236498,0.01464754348489472,-0.00027464144034177775,False
convnext,sae,mknn,10,paired_legacysurvey_same_size,tiny,base,1,2,ConvNeXtv2 Tiny,ConvNeXtv2 Base,28000000.0,89000000.0,0.01464754348489472,0.01736344217271895,0.0027158986878242294,True
convnext,sae,mknn,10,paired_legacysurvey_same_size,base,large,2,3,ConvNeXtv2 Base,ConvNeXtv2 Large,89000000.0,198000000.0,0.01736344217271895,0.015013732072017089,-0.0023497101007018614,False
convnext,sae,mknn,20,paired_legacysurvey_same_size,nano,tiny,0,1,ConvNeXtv2 Nano,ConvNeXtv2 Tiny,15000000.0,28000000.0,0.020903265181568507,0.020521818736649374,-0.00038144644491913335,False
convnext,sae,mknn,20,paired_legacysurvey_same_size,tiny,base,1,2,ConvNeXtv2 Tiny,ConvNeXtv2 Base,28000000.0,89000000.0,0.020521818736649374,0.023558132438205676,0.0030363137015563015,True
convnext,sae,mknn,20,paired_legacysurvey_same_size,base,large,2,3,ConvNeXtv2 Base,ConvNeXtv2 Large,89000000.0,198000000.0,0.023558132438205676,0.02128471162648764,-0.0022734208117180348,False
convnext,sae,mknn,50,paired_legacysurvey_same_size,nano,tiny,0,1,ConvNeXtv2 Nano,ConvNeXtv2 Tiny,15000000.0,28000000.0,0.03321940799511749,0.03254195910894111,-0.0006774488861763794,False
convnext,sae,mknn,50,paired_legacysurvey_same_size,tiny,base,1,2,ConvNeXtv2 Tiny,ConvNeXtv2 Base,28000000.0,89000000.0,0.03254195910894111,0.038083613060726274,0.005541653951785165,True
convnext,sae,mknn,50,paired_legacysurvey_same_size,base,large,2,3,ConvNeXtv2 Base,ConvNeXtv2 Large,89000000.0,198000000.0,0.038083613060726274,0.03491608178211779,-0.0031675312786084847,False
dinov2,bsf,mknn,10,paired_legacysurvey_same_size,small,base,0,1,DINOv2 Small,DINOv2 Base,22000000.0,86000000.0,0.013823619163869394,0.016356423558132438,0.0025328043942630437,True
dinov2,bsf,mknn,10,paired_legacysurvey_same_size,base,large,1,2,DINOv2 Base,DINOv2 Large,86000000.0,300000000.0,0.016356423558132438,0.017638083613060726,0.001281660054928288,True
dinov2,bsf,mknn,10,paired_legacysurvey_same_size,large,giant,2,3,DINOv2 Large,DINOv2 Giant,300000000.0,1100000000.0,0.017638083613060726,0.020781202319194385,0.003143118706133659,True
dinov2,bsf,mknn,20,paired_legacysurvey_same_size,small,base,0,1,DINOv2 Small,DINOv2 Base,22000000.0,86000000.0,0.01959108941104669,0.02245956667683857,0.0028684772657918828,True
dinov2,bsf,mknn,20,paired_legacysurvey_same_size,base,large,1,2,DINOv2 Base,DINOv2 Large,86000000.0,300000000.0,0.02245956667683857,0.024732987488556606,0.0022734208117180348,True
dinov2,bsf,mknn,20,paired_legacysurvey_same_size,large,giant,2,3,DINOv2 Large,DINOv2 Giant,300000000.0,1100000000.0,0.024732987488556606,0.027387854745193774,0.002654867256637168,True
dinov2,bsf,mknn,50,paired_legacysurvey_same_size,small,base,0,1,DINOv2 Small,DINOv2 Base,22000000.0,86000000.0,0.033628318584070796,0.037552639609398836,0.00392432102532804,True
dinov2,bsf,mknn,50,paired_legacysurvey_same_size,base,large,1,2,DINOv2 Base,DINOv2 Large,86000000.0,300000000.0,0.037552639609398836,0.04010985657613671,0.0025572169667378714,True
dinov2,bsf,mknn,50,paired_legacysurvey_same_size,large,giant,2,3,DINOv2 Large,DINOv2 Giant,300000000.0,1100000000.0,0.04010985657613671,0.043576441867561794,0.0034665852914250866,True
dinov2,dense,mknn,10,paired_legacysurvey_same_size,small,base,0,1,DINOv2 Small,DINOv2 Base,22000000.0,86000000.0,0.011651611328125,0.00999755859375,-0.0016540527343749997,False
dinov2,dense,mknn,10,paired_legacysurvey_same_size,base,large,1,2,DINOv2 Base,DINOv2 Large,86000000.0,300000000.0,0.00999755859375,0.01168212890625,0.0016845703124999997,True
dinov2,dense,mknn,10,paired_legacysurvey_same_size,large,giant,2,3,DINOv2 Large,DINOv2 Giant,300000000.0,1100000000.0,0.01168212890625,0.0127197265625,0.00103759765625,True
dinov2,dense,mknn,20,paired_legacysurvey_same_size,small,base,0,1,DINOv2 Small,DINOv2 Base,22000000.0,86000000.0,0.01373291015625,0.0123046875,-0.0014282226562500003,False
dinov2,dense,mknn,20,paired_legacysurvey_same_size,base,large,1,2,DINOv2 Base,DINOv2 Large,86000000.0,300000000.0,0.0123046875,0.01383056640625,0.00152587890625,True
dinov2,dense,mknn,20,paired_legacysurvey_same_size,large,giant,2,3,DINOv2 Large,DINOv2 Giant,300000000.0,1100000000.0,0.01383056640625,0.01514892578125,0.0013183593749999997,True
dinov2,dense,mknn,50,paired_legacysurvey_same_size,small,base,0,1,DINOv2 Small,DINOv2 Base,22000000.0,86000000.0,0.021036376953125,0.0196826171875,-0.0013537597656250004,False
