family,model,pair,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,reference_model,comparison_mode,representation,metric,k_or_keff,dense_score,bootstrap_low,bootstrap_high,null_score,seed_std,n,protocol,method_raw,other_score,model_o,size_label_o,parameter_count_o,log10_parameter_count_o,lift,score
astropt,AstroPTv2 Base,official_legacy_cross_astropt_95m,95m,1,95000000.0,7.977723605288848,95.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.0143218994140625,,,,,16384,paper_full_catalog,dense_cosine,0.01962160512664022,AstroPTv2 Base,95m,95000000.0,7.977723605288848,0.005299705712577719,0.005299705712577719
astropt,AstroPTv2 Base,official_legacy_cross_astropt_95m,95m,1,95000000.0,7.977723605288848,95.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.02310791015625,,,,,16384,paper_full_catalog,dense_cosine,0.034025022886786695,AstroPTv2 Base,95m,95000000.0,7.977723605288848,0.010917112730536693,0.010917112730536693
astropt,AstroPTv2 Large,official_legacy_cross_astropt_850m,850m,2,850000000.0,8.929418925714293,850.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.0119384765625,,,,,16384,paper_full_catalog,dense_cosine,0.015166310649984744,AstroPTv2 Large,850m,850000000.0,8.929418925714293,0.003227834087484744,0.003227834087484744
astropt,AstroPTv2 Large,official_legacy_cross_astropt_850m,850m,2,850000000.0,8.929418925714293,850.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.0166290283203125,,,,,16384,paper_full_catalog,dense_cosine,0.02305462313091242,AstroPTv2 Large,850m,850000000.0,8.929418925714293,0.00642559481059992,0.00642559481059992
astropt,AstroPTv2 Large,official_legacy_cross_astropt_850m,850m,2,850000000.0,8.929418925714293,850.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.02632568359375,,,,,16384,paper_full_catalog,dense_cosine,0.037656393042416844,AstroPTv2 Large,850m,850000000.0,8.929418925714293,0.011330709448666845,0.011330709448666845
dinov2,DINOv2 Small,official_legacy_cross_dino_small,small,0,22000000.0,7.342422680822207,22.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.011651611328125,,,,,16384,paper_full_catalog,dense_cosine,0.015685077815074763,DINOv2 Small,small,22000000.0,7.342422680822207,0.004033466486949763,0.004033466486949763
dinov2,DINOv2 Small,official_legacy_cross_dino_small,small,0,22000000.0,7.342422680822207,22.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.01373291015625,,,,,16384,paper_full_catalog,dense_cosine,0.020659139456820262,DINOv2 Small,small,22000000.0,7.342422680822207,0.006926229300570262,0.006926229300570262
dinov2,DINOv2 Small,official_legacy_cross_dino_small,small,0,22000000.0,7.342422680822207,22.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.021036376953125,,,,,16384,paper_full_catalog,dense_cosine,0.03176075678974672,DINOv2 Small,small,22000000.0,7.342422680822207,0.010724379836621719,0.010724379836621719
dinov2,DINOv2 Base,official_legacy_cross_dino_base,base,1,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.00999755859375,,,,,16384,paper_full_catalog,dense_cosine,0.014006713457430578,DINOv2 Base,base,86000000.0,7.9344984512435675,0.004009154863680578,0.004009154863680578
dinov2,DINOv2 Base,official_legacy_cross_dino_base,base,1,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.0123046875,,,,,16384,paper_full_catalog,dense_cosine,0.01919438510833079,DINOv2 Base,base,86000000.0,7.9344984512435675,0.0068896976083307904,0.0068896976083307904
dinov2,DINOv2 Base,official_legacy_cross_dino_base,base,1,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.0196826171875,,,,,16384,paper_full_catalog,dense_cosine,0.031132133048519986,DINOv2 Base,base,86000000.0,7.9344984512435675,0.011449515861019985,0.011449515861019985
dinov2,DINOv2 Large,official_legacy_cross_dino_large,large,2,300000000.0,8.477121254719663,300.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.01168212890625,,,,,16384,paper_full_catalog,dense_cosine,0.01690570643881599,DINOv2 Large,large,300000000.0,8.477121254719663,0.00522357753256599,0.00522357753256599
dinov2,DINOv2 Large,official_legacy_cross_dino_large,large,2,300000000.0,8.477121254719663,300.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.01383056640625,,,,,16384,paper_full_catalog,dense_cosine,0.021833994507171193,DINOv2 Large,large,300000000.0,8.477121254719663,0.008003428100921193,0.008003428100921193
dinov2,DINOv2 Large,official_legacy_cross_dino_large,large,2,300000000.0,8.477121254719663,300.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.021649169921875,,,,,16384,paper_full_catalog,dense_cosine,0.035587427525175463,DINOv2 Large,large,300000000.0,8.477121254719663,0.013938257603300464,0.013938257603300464
dinov2,DINOv2 Giant,official_legacy_cross_dino_giant,giant,3,1100000000.0,9.041392685158225,1100.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.0127197265625,,,,,16384,paper_full_catalog,dense_cosine,0.017027769301190113,DINOv2 Giant,giant,1100000000.0,9.041392685158225,0.004308042738690112,0.004308042738690112
dinov2,DINOv2 Giant,official_legacy_cross_dino_giant,giant,3,1100000000.0,9.041392685158225,1100.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.01514892578125,,,,,16384,paper_full_catalog,dense_cosine,0.022551113823619164,DINOv2 Giant,giant,1100000000.0,9.041392685158225,0.007402188042369164,0.007402188042369164
dinov2,DINOv2 Giant,official_legacy_cross_dino_giant,giant,3,1100000000.0,9.041392685158225,1100.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.022960205078125,,,,,16384,paper_full_catalog,dense_cosine,0.03483063777845591,DINOv2 Giant,giant,1100000000.0,9.041392685158225,0.011870432700330908,0.011870432700330908
vit,ViT Base,official_legacy_cross_vit_base,base,0,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.007208251953125,,,,,16384,paper_full_catalog,dense_cosine,0.011565456209948123,ViT Base,base,86000000.0,7.9344984512435675,0.0043572042568231235,0.0043572042568231235
vit,ViT Base,official_legacy_cross_vit_base,base,0,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.0088775634765625,,,,,16384,paper_full_catalog,dense_cosine,0.015883429966432713,ViT Base,base,86000000.0,7.9344984512435675,0.007005866489870213,0.007005866489870213
