family,model,parameter_count,log10_params,mode,k,k_frac,energy_retained,mknn,mknn_dense,mknn_full_ridge,lift,lift_frac_of_full
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,rank,8,0.020833333333333332,0.6648197325307745,0.026335062557216966,0.017485505035093073,0.03201098565761367,0.008849557522123894,0.6092436974789915
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,rank,16,0.041666666666666664,0.788089283664116,0.03152273420811718,0.017485505035093073,0.03201098565761367,0.014037229173024107,0.9663865546218487
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,rank,32,0.08333333333333333,0.88203227034532,0.03103448275862069,0.017485505035093073,0.03201098565761367,0.013548977723527617,0.9327731092436975
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,rank,64,0.16666666666666666,0.9485943422076231,0.03185840707964602,0.017485505035093073,0.03201098565761367,0.014372902044552945,0.9894957983193278
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,rank,128,0.3333333333333333,0.9884215731809799,0.0320415013732072,0.017485505035093073,0.03201098565761367,0.014555996338114129,1.0021008403361344
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,rank,256,0.6666666666666666,0.9995951634765118,0.0320415013732072,0.017485505035093073,0.03201098565761367,0.014555996338114129,1.0021008403361344
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,rank,384,1.0,1.0,0.03201098565761367,0.017485505035093073,0.03201098565761367,0.014525480622520598,1.0
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,energy,4,0.010416666666666666,0.5,0.0209948123283491,0.017485505035093073,0.03201098565761367,0.003509307293256027,0.2415966386554622
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,energy,13,0.033854166666666664,0.75,0.030973451327433628,0.017485505035093073,0.03201098565761367,0.013487946292340555,0.9285714285714286
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,energy,38,0.09895833333333333,0.9,0.0309429356118401,0.017485505035093073,0.03201098565761367,0.013457430576747028,0.9264705882352944
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,energy,66,0.171875,0.95,0.03182789136405249,0.017485505035093073,0.03201098565761367,0.014342386328959414,0.9873949579831933
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,energy,135,0.3515625,0.99,0.03188892279523955,0.017485505035093073,0.03201098565761367,0.014403417760146475,0.9915966386554622
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,energy,384,1.0,1.0,0.03201098565761367,0.017485505035093073,0.03201098565761367,0.014525480622520598,1.0
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,rank,8,0.010416666666666666,0.563988086521671,0.033628318584070796,0.02187976808056149,0.048245346353371986,0.011748550503509307,0.44560185185185186
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,rank,16,0.020833333333333332,0.6744508522863464,0.04195910894110467,0.02187976808056149,0.048245346353371986,0.02007934086054318,0.7615740740740741
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,rank,32,0.041666666666666664,0.7784350287388703,0.04650595056454074,0.02187976808056149,0.048245346353371986,0.02462618248397925,0.9340277777777778
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,rank,64,0.08333333333333333,0.8711863772731314,0.04751296917912725,0.02187976808056149,0.048245346353371986,0.02563320109856576,0.9722222222222222
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,rank,128,0.16666666666666666,0.9468303724402868,0.04787915776624962,0.02187976808056149,0.048245346353371986,0.02599938968568813,0.9861111111111112
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,rank,256,0.3333333333333333,0.9892094096494158,0.048245346353371986,0.02187976808056149,0.048245346353371986,0.026365578272810497,1.0
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,rank,768,1.0,1.0,0.048245346353371986,0.02187976808056149,0.048245346353371986,0.026365578272810497,1.0
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,energy,6,0.0078125,0.5,0.028074458346048214,0.02187976808056149,0.048245346353371986,0.006194690265486726,0.2349537037037037
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,energy,27,0.03515625,0.75,0.045407384803173634,0.02187976808056149,0.048245346353371986,0.023527616722612145,0.8923611111111112
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,energy,82,0.10677083333333333,0.9,0.04784864205065609,0.02187976808056149,0.048245346353371986,0.0259688739700946,0.9849537037037037
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,energy,133,0.17317708333333334,0.95,0.04784864205065609,0.02187976808056149,0.048245346353371986,0.0259688739700946,0.9849537037037037
