alpha,T,n_pos_families,delta_beta_astropt,delta_beta_convnext,delta_beta_dinov2,delta_beta_vit,delta_beta_ijepa
0.01,0.007429148396814353,5,0.005105770999132567,0.0028003378963788956,0.0031580433185682973,0.010113489944165392,0.015968099825826615
0.1,0.00752023603134015,5,0.005086922960025124,0.0027644456012253455,0.0031744734280656083,0.01015100691796306,0.01642433124942161
1.0,0.007213163319372715,5,0.0051335605706974985,0.002918819595613147,0.003125598412889859,0.010288432462621597,0.014599405555041467
10.0,0.007320638835402469,5,0.005729814620425674,0.003505397783130318,0.003233019196108905,0.010143865587099364,0.013991096990248086
100.0,0.008477113443898291,5,0.007399518954503047,0.005714729060802199,0.004269545364887269,0.012379371119835985,0.012622402719462952
