representation,physical_variable,metric,mean,median,std,n_positive,n,wilcoxon_p
dense,photo_z,kernel_cka,0.8833389073241834,0.88686403055692,0.014727093009847838,6,6,0.03125
dense,mag_r_desi,kernel_cka,0.9097777157322109,0.9108033978628025,0.009693282638806132,6,6,0.03125
dense,smooth_fraction,kernel_cka,0.851889172422298,0.8706000974298673,0.03498113943162502,6,6,0.03125
sae,photo_z,kernel_cka,0.926896165624986,0.9276316501459176,0.004299166572833741,6,6,0.03125
sae,mag_r_desi,kernel_cka,0.8066114339576682,0.8092424183618677,0.14011737327375343,6,6,0.03125
sae,smooth_fraction,kernel_cka,0.9383426436026765,0.9364992100627905,0.004116492694589462,6,6,0.03125
sae_sqrt_idf,photo_z,kernel_cka,0.9268959732189249,0.9276310722061658,0.004298749538526743,6,6,0.03125
sae_sqrt_idf,mag_r_desi,kernel_cka,0.8066148152142297,0.8092460690054125,0.14011437215696199,6,6,0.03125
sae_sqrt_idf,smooth_fraction,kernel_cka,0.9383428096267937,0.9364996034661737,0.004116414391498977,6,6,0.03125
