family,model,size_name,parameter_count,log10_params,K,n_small_patches,mse_global,mse_patch,mse_local,G,rel_mse_reduction,rel_mse_reduction_local,delta_local_vs_patch,mean_cos,median_cos,p_perm_G,p_perm_cos,null_G_mean,null_G_sd
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,16,0,0.07475139945745468,0.07478182017803192,0.07634640485048294,-3.042072057723999e-05,-0.0004069585425561721,-0.021337465313088465,-0.0015645846724510193,0.005892262873199159,0.00031836113740842803,0.07462686567164178,0.1044776119402985,-6.159912794828415e-05,2.029237524654674e-05
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,32,0,0.07475139945745468,0.0748530775308609,0.07906800508499146,-0.00010167807340621948,-0.001360216318947852,-0.05774615136126785,-0.004214927554130554,-0.0031569150179239164,-0.006844661144281889,0.2537313432835821,0.7263681592039801,-0.00012894418090581895,3.5596351986665295e-05
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,4,0,0.0030116511043161154,0.0030116941779851913,0.0030231133569031954,-4.307366907596588e-08,-1.4302343659341986e-05,-0.0038059696126994916,-1.1419178918004036e-05,0.0038736822663739063,0.004573642067379223,0.01990049751243781,0.15920398009950248,-5.924876313656569e-07,2.7664923105338557e-07
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,8,0,0.0030116511043161154,0.0030119717121124268,0.0030383907724171877,-3.206077963113785e-07,-0.00010645582280494008,-0.008878740323788051,-2.6419060304760933e-05,0.004656052381113285,0.0039984263520356994,0.01990049751243781,0.11940298507462686,-1.3816752471029758e-06,5.280204150323865e-07
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,16,0,0.0030116511043161154,0.0030135205015540123,0.003085706615820527,-1.8693972378969193e-06,-0.0006207217148154422,-0.024589671558660906,-7.218611426651478e-05,0.004179637662803519,0.006757137246189855,0.08955223880597014,0.18407960199004975,-2.9030314180999993e-06,7.827942454990394e-07
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,32,0,0.0030116511043161154,0.00301537336781621,0.003151323413476348,-3.7222635000944138e-06,-0.001235954422064326,-0.046377320719542404,-0.00013595004566013813,0.0027927639154333266,0.0063189875955627535,0.024875621890547265,0.27860696517412936,-6.156883900985122e-06,1.2800265155922213e-06
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,4,0,0.002328562783077359,0.0023287958465516567,0.0023367495741695166,-2.330634742975235e-07,-0.00010008898020327962,-0.0035158129089987193,-7.95372761785984e-06,-0.00015094798292731773,-0.0023191853772654815,0.09950248756218906,0.5422885572139303,-4.3687643483281133e-07,1.7820561224291518e-07
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,8,0,0.002328562783077359,0.002329136710613966,0.00235145166516304,-5.739275366067886e-07,-0.00024647286333774653,-0.009829617759084724,-2.2314954549074173e-05,0.0006077675267101855,0.0010517275807332416,0.01990049751243781,0.4228855721393035,-1.0355317499488592e-06,2.2006194372602694e-07
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,16,0,0.002328562783077359,0.002329148119315505,0.002385141095146537,-5.853362381458282e-07,-0.0002513723239071378,-0.02429752484251484,-5.59929758310318e-05,0.0073089768252438715,0.008365406925117683,0.004975124378109453,0.004975124378109453,-2.188134239986539e-06,4.421491761651461e-07
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,32,0,0.002328562783077359,0.002331595867872238,0.0024360385723412037,-3.0330847948789597e-06,-0.001302556588519604,-0.046155418288446444,-0.00010444270446896553,0.0031664589632114377,0.0027735963465798535,0.004975124378109453,0.0845771144278607,-4.598123487085104e-06,5.431261946808069e-07
