K,n_rungs,mean_rel_mse_reduction,median_rel_mse_reduction,mean_mean_cos,median_mean_cos,frac_p_G_le_005,mean_p_G,mean_rel_local,mean_delta_local,median_delta_local
4,16,0.000157598918858263,-1.741163932182647e-05,0.0033678463516110518,0.002082658328383492,0.3125,0.14583333333333334,0.00018565493096010896,-0.0003686949753500812,-6.097240839153528e-05
8,16,0.00027903409783821816,-4.590294975911188e-05,0.009441521301116581,0.00663177323862069,0.6875,0.0792910447761194,-0.00462158903106848,-0.0013190499466873007,-0.00017623009625822306
16,16,0.0008079646345085982,-0.0002945787744977813,0.015098056904062022,0.006829392021867074,0.6875,0.060945273631840796,-0.016903211124356683,-0.0037273655584613152,-0.0012699030339717865
32,16,0.0007658330795647017,-0.0009311005685672673,0.017101770174570523,0.006619543235704306,0.75,0.058768656716417914,-0.048388124216249606,-0.010004088663208677,-0.0039775073528289795
