model,family,K,patch,n_train,n_test,c_norm
official_legacy_cross_dino_base,dinov2,32,28,242,43,0.25358410676535803
official_legacy_cross_dino_base,dinov2,32,29,236,52,0.300810848278932
official_legacy_cross_dino_base,dinov2,32,30,457,122,0.3057380114511522
official_legacy_cross_dino_base,dinov2,32,31,244,58,0.2941294550667752
official_legacy_cross_dino_large,dinov2,4,0,1978,486,0.08521144516839459
official_legacy_cross_dino_large,dinov2,4,1,5531,1397,0.027783311679602168
official_legacy_cross_dino_large,dinov2,4,2,2496,618,0.05741067100521651
official_legacy_cross_dino_large,dinov2,4,3,3102,776,0.058034886135370105
official_legacy_cross_dino_large,dinov2,8,0,1200,275,0.103583585560357
official_legacy_cross_dino_large,dinov2,8,1,1124,293,0.1026707240655587
official_legacy_cross_dino_large,dinov2,8,2,1467,366,0.09896457474406295
official_legacy_cross_dino_large,dinov2,8,3,2671,663,0.09027095970064468
official_legacy_cross_dino_large,dinov2,8,4,1102,260,0.08239623483822281
official_legacy_cross_dino_large,dinov2,8,5,2184,547,0.07081400646968807
official_legacy_cross_dino_large,dinov2,8,6,985,274,0.11747291249729869
official_legacy_cross_dino_large,dinov2,8,7,2374,599,0.058002492629853686
official_legacy_cross_dino_large,dinov2,16,0,562,129,0.20115896354739288
official_legacy_cross_dino_large,dinov2,16,1,701,203,0.23529600921991442
official_legacy_cross_dino_large,dinov2,16,2,1137,279,0.12924746732030643
official_legacy_cross_dino_large,dinov2,16,3,877,234,0.11986610525779269
official_legacy_cross_dino_large,dinov2,16,4,982,239,0.13819575586676944
official_legacy_cross_dino_large,dinov2,16,5,406,104,0.2282578754167066
official_legacy_cross_dino_large,dinov2,16,6,1020,274,0.133514271432623
official_legacy_cross_dino_large,dinov2,16,7,911,222,0.14322090545537405
official_legacy_cross_dino_large,dinov2,16,8,804,215,0.16410004579274637
official_legacy_cross_dino_large,dinov2,16,9,720,170,0.14526141220772498
official_legacy_cross_dino_large,dinov2,16,10,891,207,0.16008579174099546
official_legacy_cross_dino_large,dinov2,16,11,505,124,0.19620162705447375
official_legacy_cross_dino_large,dinov2,16,12,1216,303,0.08254820335481246
official_legacy_cross_dino_large,dinov2,16,13,1083,241,0.1187002736162034
official_legacy_cross_dino_large,dinov2,16,14,447,110,0.24253251060772735
official_legacy_cross_dino_large,dinov2,16,15,845,223,0.1395411030176554
official_legacy_cross_dino_large,dinov2,32,0,347,96,0.2195598374648458
official_legacy_cross_dino_large,dinov2,32,1,529,105,0.22157517200305824
official_legacy_cross_dino_large,dinov2,32,2,802,184,0.12167117553162662
official_legacy_cross_dino_large,dinov2,32,3,521,121,0.202919173859709
official_legacy_cross_dino_large,dinov2,32,4,244,66,0.25102301697284585
official_legacy_cross_dino_large,dinov2,32,5,427,108,0.17717696955589748
official_legacy_cross_dino_large,dinov2,32,6,168,47,0.268034034291711
official_legacy_cross_dino_large,dinov2,32,7,330,75,0.23160565273017963
official_legacy_cross_dino_large,dinov2,32,8,398,92,0.22133373713048093
official_legacy_cross_dino_large,dinov2,32,9,541,129,0.1592357459313254
official_legacy_cross_dino_large,dinov2,32,10,307,82,0.24340404352900946
official_legacy_cross_dino_large,dinov2,32,11,478,118,0.18179775968118697
official_legacy_cross_dino_large,dinov2,32,12,390,102,0.21050941142124127
official_legacy_cross_dino_large,dinov2,32,13,381,70,0.16937465031525278
official_legacy_cross_dino_large,dinov2,32,14,435,141,0.21283906050758258
official_legacy_cross_dino_large,dinov2,32,15,230,62,0.25767932106451397
official_legacy_cross_dino_large,dinov2,32,16,438,124,0.16876174715831593
official_legacy_cross_dino_large,dinov2,32,17,361,92,0.18436439673677177
official_legacy_cross_dino_large,dinov2,32,18,415,102,0.20315453618546803
official_legacy_cross_dino_large,dinov2,32,19,500,141,0.20049437891742025
official_legacy_cross_dino_large,dinov2,32,20,270,64,0.22938732489414831
official_legacy_cross_dino_large,dinov2,32,21,526,122,0.2017860210236821
official_legacy_cross_dino_large,dinov2,32,22,281,67,0.28321615168676406
official_legacy_cross_dino_large,dinov2,32,23,578,151,0.23207958423423922
official_legacy_cross_dino_large,dinov2,32,24,339,72,0.23056774848956207
official_legacy_cross_dino_large,dinov2,32,25,742,195,0.14528084427229096
official_legacy_cross_dino_large,dinov2,32,26,448,125,0.30704955787636595
official_legacy_cross_dino_large,dinov2,32,27,590,165,0.1706186012864381
official_legacy_cross_dino_large,dinov2,32,28,210,55,0.32504331196512465
official_legacy_cross_dino_large,dinov2,32,29,316,74,0.2648744442050316
official_legacy_cross_dino_large,dinov2,32,30,127,29,0.3844873284499045
official_legacy_cross_dino_large,dinov2,32,31,438,101,0.289388837541182
official_legacy_cross_dino_giant,dinov2,4,0,5720,1434,0.04873876854754376
official_legacy_cross_dino_giant,dinov2,4,1,3066,792,0.09409293639642356
official_legacy_cross_dino_giant,dinov2,4,2,2657,635,0.08334428648541509
official_legacy_cross_dino_giant,dinov2,4,3,1664,416,0.19153614723867676
official_legacy_cross_dino_giant,dinov2,8,0,1116,264,0.16412325563648483
official_legacy_cross_dino_giant,dinov2,8,1,1230,287,0.14573541616512395
official_legacy_cross_dino_giant,dinov2,8,2,2283,568,0.11894714036721706
official_legacy_cross_dino_giant,dinov2,8,3,2039,522,0.11067006093126949
official_legacy_cross_dino_giant,dinov2,8,4,956,234,0.1346496773551435
official_legacy_cross_dino_giant,dinov2,8,5,2269,548,0.16127981443565445
official_legacy_cross_dino_giant,dinov2,8,6,2134,597,0.10887689553510925
official_legacy_cross_dino_giant,dinov2,8,7,1080,257,0.20265439948348646
official_legacy_cross_dino_giant,dinov2,16,0,938,242,0.24962534983192117
official_legacy_cross_dino_giant,dinov2,16,1,1060,274,0.16275376802637942
official_legacy_cross_dino_giant,dinov2,16,2,414,101,0.26837503001723856
official_legacy_cross_dino_giant,dinov2,16,3,146,37,0.5614308928837783
official_legacy_cross_dino_giant,dinov2,16,4,872,225,0.22968112124932163
official_legacy_cross_dino_giant,dinov2,16,5,792,184,0.2749890081242923
official_legacy_cross_dino_giant,dinov2,16,6,475,96,0.21805996818092183
official_legacy_cross_dino_giant,dinov2,16,7,1472,397,0.19459410512385458
official_legacy_cross_dino_giant,dinov2,16,8,594,129,0.3469277022149197
official_legacy_cross_dino_giant,dinov2,16,9,917,213,0.21866115723653326
official_legacy_cross_dino_giant,dinov2,16,10,744,218,0.20014449132641338
official_legacy_cross_dino_giant,dinov2,16,11,807,192,0.26073375327253906
official_legacy_cross_dino_giant,dinov2,16,12,1251,325,0.1801296201160985
official_legacy_cross_dino_giant,dinov2,16,13,1186,294,0.17001203943187135
official_legacy_cross_dino_giant,dinov2,16,14,955,243,0.19806038366744336
official_legacy_cross_dino_giant,dinov2,16,15,484,107,0.2577302972499973
official_legacy_cross_dino_giant,dinov2,32,0,449,108,0.3186827327576252
official_legacy_cross_dino_giant,dinov2,32,1,376,74,0.37047999273934773
official_legacy_cross_dino_giant,dinov2,32,2,545,145,0.276705365760224
official_legacy_cross_dino_giant,dinov2,32,3,620,161,0.3341346223689442
official_legacy_cross_dino_giant,dinov2,32,4,780,211,0.2261711471932759
official_legacy_cross_dino_giant,dinov2,32,5,238,45,0.40611381215088904
official_legacy_cross_dino_giant,dinov2,32,6,514,127,0.3630742352718711
official_legacy_cross_dino_giant,dinov2,32,7,268,74,0.35874112738754005
official_legacy_cross_dino_giant,dinov2,32,8,247,46,0.46146222318738517
official_legacy_cross_dino_giant,dinov2,32,9,83,20,0.7743373481313216
official_legacy_cross_dino_giant,dinov2,32,10,191,62,0.5784284074506962
official_legacy_cross_dino_giant,dinov2,32,11,667,164,0.22145539166826733
official_legacy_cross_dino_giant,dinov2,32,12,273,74,0.5386164049076991
official_legacy_cross_dino_giant,dinov2,32,13,521,115,0.23803680575673772
official_legacy_cross_dino_giant,dinov2,32,14,576,138,0.2546551567819973
official_legacy_cross_dino_giant,dinov2,32,15,67,25,0.7932052577751703
official_legacy_cross_dino_giant,dinov2,32,16,167,50,0.6203812416982835
official_legacy_cross_dino_giant,dinov2,32,17,211,50,0.5096973199129603
official_legacy_cross_dino_giant,dinov2,32,18,166,38,0.7274155536455138
official_legacy_cross_dino_giant,dinov2,32,19,339,107,0.408352007389662
official_legacy_cross_dino_giant,dinov2,32,20,698,181,0.22172577013960662
official_legacy_cross_dino_giant,dinov2,32,21,477,128,0.38670709998261826
official_legacy_cross_dino_giant,dinov2,32,22,366,84,0.3208001244148585
official_legacy_cross_dino_giant,dinov2,32,23,453,109,0.31878012092585806
official_legacy_cross_dino_giant,dinov2,32,24,451,104,0.3782538914763848
official_legacy_cross_dino_giant,dinov2,32,25,447,134,0.34014690982083534
official_legacy_cross_dino_giant,dinov2,32,26,757,182,0.29031318936891076
official_legacy_cross_dino_giant,dinov2,32,27,596,139,0.24569403248798824
official_legacy_cross_dino_giant,dinov2,32,28,170,44,0.5256347258299789
official_legacy_cross_dino_giant,dinov2,32,29,356,87,0.4009141770711661
official_legacy_cross_dino_giant,dinov2,32,30,430,94,0.3273653809679688
official_legacy_cross_dino_giant,dinov2,32,31,608,157,0.29429619046239575
official_legacy_cross_vit_base,vit,4,0,2474,606,0.018397312778919532
official_legacy_cross_vit_base,vit,4,1,3305,832,0.011686827730694205
official_legacy_cross_vit_base,vit,4,2,3960,1005,0.014343157518996447
official_legacy_cross_vit_base,vit,4,3,3368,834,0.014895429531003066
official_legacy_cross_vit_base,vit,8,0,1090,287,0.03245159259032553
official_legacy_cross_vit_base,vit,8,1,1490,380,0.024873363262009663
official_legacy_cross_vit_base,vit,8,2,1340,296,0.023710981286143944
official_legacy_cross_vit_base,vit,8,3,2281,565,0.019511173350410686
official_legacy_cross_vit_base,vit,8,4,1450,347,0.019593515483138712
official_legacy_cross_vit_base,vit,8,5,2065,523,0.01856537070573006
official_legacy_cross_vit_base,vit,8,6,1265,322,0.018560880301223284
official_legacy_cross_vit_base,vit,8,7,2126,557,0.018243840305910173
official_legacy_cross_vit_base,vit,16,0,541,149,0.07494089113784788
official_legacy_cross_vit_base,vit,16,1,915,238,0.03369133447346647
official_legacy_cross_vit_base,vit,16,2,1179,289,0.028347696187191157
official_legacy_cross_vit_base,vit,16,3,1134,294,0.030505947817081693
official_legacy_cross_vit_base,vit,16,4,1387,337,0.020341597337342157
official_legacy_cross_vit_base,vit,16,5,687,157,0.042561733577887735
official_legacy_cross_vit_base,vit,16,6,486,146,0.062225153704923625
official_legacy_cross_vit_base,vit,16,7,653,156,0.0504305205014591
official_legacy_cross_vit_base,vit,16,8,945,243,0.034671896345142714
official_legacy_cross_vit_base,vit,16,9,708,171,0.053383189902623064
official_legacy_cross_vit_base,vit,16,10,293,60,0.051461163808286844
official_legacy_cross_vit_base,vit,16,11,772,199,0.039498217080000515
official_legacy_cross_vit_base,vit,16,12,435,108,0.052390118346862594
official_legacy_cross_vit_base,vit,16,13,916,228,0.04515943687008615
official_legacy_cross_vit_base,vit,16,14,1145,289,0.025372900679801635
official_legacy_cross_vit_base,vit,16,15,911,213,0.03004835292996164
official_legacy_cross_vit_base,vit,32,0,525,135,0.046492676488015465
official_legacy_cross_vit_base,vit,32,1,474,111,0.06204679984798402
official_legacy_cross_vit_base,vit,32,2,543,117,0.05163333271953305
official_legacy_cross_vit_base,vit,32,3,304,74,0.08045949034370876
official_legacy_cross_vit_base,vit,32,4,178,38,0.0829925956128791
official_legacy_cross_vit_base,vit,32,5,360,87,0.08138772151760894
official_legacy_cross_vit_base,vit,32,6,518,144,0.06020711225578052
official_legacy_cross_vit_base,vit,32,7,602,127,0.03969223572059431
official_legacy_cross_vit_base,vit,32,8,250,61,0.0798700332450553
official_legacy_cross_vit_base,vit,32,9,330,73,0.07621237667375211
official_legacy_cross_vit_base,vit,32,10,397,90,0.05721389427365544
official_legacy_cross_vit_base,vit,32,11,169,37,0.10997119059436382
official_legacy_cross_vit_base,vit,32,12,593,139,0.0590926580078151
official_legacy_cross_vit_base,vit,32,13,593,180,0.05354112800262921
official_legacy_cross_vit_base,vit,32,14,190,46,0.05841316571583068
official_legacy_cross_vit_base,vit,32,15,497,122,0.050114811339357065
official_legacy_cross_vit_base,vit,32,16,561,138,0.04283482743238553
official_legacy_cross_vit_base,vit,32,17,543,147,0.052381515417586434
official_legacy_cross_vit_base,vit,32,18,261,76,0.08086712452768657
official_legacy_cross_vit_base,vit,32,19,343,100,0.06200484906935963
official_legacy_cross_vit_base,vit,32,20,177,47,0.11631781249662625
official_legacy_cross_vit_base,vit,32,21,289,83,0.06425205212866694
official_legacy_cross_vit_base,vit,32,22,495,138,0.051736422212706024
official_legacy_cross_vit_base,vit,32,23,295,97,0.07111183821013918
official_legacy_cross_vit_base,vit,32,24,382,69,0.07206007887667626
official_legacy_cross_vit_base,vit,32,25,507,123,0.05112009594821488
official_legacy_cross_vit_base,vit,32,26,316,87,0.061889448962948825
official_legacy_cross_vit_base,vit,32,27,567,161,0.042093502123167675
official_legacy_cross_vit_base,vit,32,28,363,97,0.06534173973708424
official_legacy_cross_vit_base,vit,32,29,532,106,0.05612651535194265
official_legacy_cross_vit_base,vit,32,30,572,152,0.041001281335991714
official_legacy_cross_vit_base,vit,32,31,381,75,0.055218616710825966
official_legacy_cross_vit_large,vit,4,0,2600,654,0.0196428146730428
official_legacy_cross_vit_large,vit,4,1,3057,724,0.015557330561538574
official_legacy_cross_vit_large,vit,4,2,5185,1365,0.00852007699075172
official_legacy_cross_vit_large,vit,4,3,2265,534,0.01769333881625834
official_legacy_cross_vit_large,vit,8,0,1143,291,0.032764290682952474
official_legacy_cross_vit_large,vit,8,1,2271,559,0.01907112549305813
official_legacy_cross_vit_large,vit,8,2,2107,547,0.017878318606612906
official_legacy_cross_vit_large,vit,8,3,1504,328,0.024688934588930008
official_legacy_cross_vit_large,vit,8,4,1273,298,0.02523696279246246
official_legacy_cross_vit_large,vit,8,5,1516,379,0.026038603143818836
official_legacy_cross_vit_large,vit,8,6,1584,425,0.018179113658199502
official_legacy_cross_vit_large,vit,8,7,1709,450,0.024381859458494352
official_legacy_cross_vit_large,vit,16,0,392,96,0.04532404495048365
official_legacy_cross_vit_large,vit,16,1,918,257,0.035060039252360044
official_legacy_cross_vit_large,vit,16,2,781,213,0.03857710992918213
official_legacy_cross_vit_large,vit,16,3,862,200,0.04279625015533161
official_legacy_cross_vit_large,vit,16,4,928,262,0.03731211240085411
official_legacy_cross_vit_large,vit,16,5,674,184,0.046691111972488465
official_legacy_cross_vit_large,vit,16,6,841,194,0.035513650705065875
official_legacy_cross_vit_large,vit,16,7,618,140,0.05381878398246421
official_legacy_cross_vit_large,vit,16,8,725,162,0.04600009744586752
official_legacy_cross_vit_large,vit,16,9,850,230,0.034911584233660226
official_legacy_cross_vit_large,vit,16,10,672,156,0.040459944245174434
official_legacy_cross_vit_large,vit,16,11,1177,275,0.03241408298489801
official_legacy_cross_vit_large,vit,16,12,851,205,0.03152631799859143
official_legacy_cross_vit_large,vit,16,13,645,160,0.04303165480365862
official_legacy_cross_vit_large,vit,16,14,1096,271,0.0341370560063802
official_legacy_cross_vit_large,vit,16,15,1077,272,0.03805670255309156
official_legacy_cross_vit_large,vit,32,0,325,78,0.05803983043773797
official_legacy_cross_vit_large,vit,32,1,457,101,0.05430771300932105
official_legacy_cross_vit_large,vit,32,2,498,94,0.04813583416041505
official_legacy_cross_vit_large,vit,32,3,322,77,0.07262891948947488
official_legacy_cross_vit_large,vit,32,4,294,80,0.07722148219552728
official_legacy_cross_vit_large,vit,32,5,534,134,0.04427401314145859
official_legacy_cross_vit_large,vit,32,6,221,52,0.0816668569626588
official_legacy_cross_vit_large,vit,32,7,355,108,0.060457227868669174
official_legacy_cross_vit_large,vit,32,8,422,108,0.06641436530293637
official_legacy_cross_vit_large,vit,32,9,400,105,0.06543852648735678
official_legacy_cross_vit_large,vit,32,10,400,89,0.06018383187902985
official_legacy_cross_vit_large,vit,32,11,296,73,0.05643694745757288
official_legacy_cross_vit_large,vit,32,12,788,194,0.03992263805727551
official_legacy_cross_vit_large,vit,32,13,681,185,0.048715934549463547
official_legacy_cross_vit_large,vit,32,14,570,132,0.06088994905228232
official_legacy_cross_vit_large,vit,32,15,309,78,0.05638010225750071
official_legacy_cross_vit_large,vit,32,16,381,86,0.06791995633135087
official_legacy_cross_vit_large,vit,32,17,292,83,0.06816942261282606
official_legacy_cross_vit_large,vit,32,18,586,153,0.04956113643717891
official_legacy_cross_vit_large,vit,32,19,264,60,0.08186844938634429
official_legacy_cross_vit_large,vit,32,20,493,112,0.06049665603913162
official_legacy_cross_vit_large,vit,32,21,270,79,0.0846353791182834
official_legacy_cross_vit_large,vit,32,22,467,113,0.05460194521452387
official_legacy_cross_vit_large,vit,32,23,483,119,0.06034119979583981
official_legacy_cross_vit_large,vit,32,24,390,109,0.062105634387265116
official_legacy_cross_vit_large,vit,32,25,397,104,0.06209495094604562
official_legacy_cross_vit_large,vit,32,26,307,88,0.06688100492606552
official_legacy_cross_vit_large,vit,32,27,533,146,0.05371593151408616
official_legacy_cross_vit_large,vit,32,28,148,26,0.0878409710859622
official_legacy_cross_vit_large,vit,32,29,393,103,0.05332949703296339
official_legacy_cross_vit_large,vit,32,30,270,72,0.07300046387051111
official_legacy_cross_vit_large,vit,32,31,561,136,0.05205156612191128
official_legacy_cross_vit_huge,vit,4,0,3195,752,0.0024911777538670662
official_legacy_cross_vit_huge,vit,4,1,4366,1146,0.002499928144389167
official_legacy_cross_vit_huge,vit,4,2,2492,609,0.0031057809125361498
official_legacy_cross_vit_huge,vit,4,3,3054,770,0.0027281076590961535
official_legacy_cross_vit_huge,vit,8,0,1489,383,0.006588333402207561
official_legacy_cross_vit_huge,vit,8,1,1578,400,0.00477731102928478
official_legacy_cross_vit_huge,vit,8,2,2334,590,0.003911878332208086
official_legacy_cross_vit_huge,vit,8,3,1334,309,0.004015771242852996
official_legacy_cross_vit_huge,vit,8,4,1788,425,0.00595497546322407
official_legacy_cross_vit_huge,vit,8,5,574,145,0.006909679627254425
official_legacy_cross_vit_huge,vit,8,6,1812,457,0.003098887306144142
official_legacy_cross_vit_huge,vit,8,7,2198,568,0.004355434803003963
official_legacy_cross_vit_huge,vit,16,0,548,142,0.008151518298454632
official_legacy_cross_vit_huge,vit,16,1,731,187,0.008455443328628687
official_legacy_cross_vit_huge,vit,16,2,1066,273,0.006092650378951716
official_legacy_cross_vit_huge,vit,16,3,991,239,0.006700750675068851
official_legacy_cross_vit_huge,vit,16,4,1278,294,0.006536775288571773
official_legacy_cross_vit_huge,vit,16,5,294,65,0.01158873344406264
official_legacy_cross_vit_huge,vit,16,6,701,166,0.008414768210586909
official_legacy_cross_vit_huge,vit,16,7,989,221,0.007571307149348812
official_legacy_cross_vit_huge,vit,16,8,347,78,0.0068672250435176515
official_legacy_cross_vit_huge,vit,16,9,941,264,0.0065283168437584175
official_legacy_cross_vit_huge,vit,16,10,923,249,0.008020014717969199
official_legacy_cross_vit_huge,vit,16,11,973,234,0.008075682329034804
official_legacy_cross_vit_huge,vit,16,12,1295,336,0.005968487973730758
official_legacy_cross_vit_huge,vit,16,13,679,189,0.008268746364687642
official_legacy_cross_vit_huge,vit,16,14,368,86,0.012022875721806993
official_legacy_cross_vit_huge,vit,16,15,983,254,0.006179083354731444
official_legacy_cross_vit_huge,vit,32,0,424,111,0.01232553599813916
official_legacy_cross_vit_huge,vit,32,1,190,41,0.01762354793398258
official_legacy_cross_vit_huge,vit,32,2,631,208,0.009994676469390616
official_legacy_cross_vit_huge,vit,32,3,336,89,0.011978658679421833
official_legacy_cross_vit_huge,vit,32,4,98,20,0.027812790618559135
official_legacy_cross_vit_huge,vit,32,5,421,106,0.011833270857702355
official_legacy_cross_vit_huge,vit,32,6,390,89,0.012299269571299669
official_legacy_cross_vit_huge,vit,32,7,715,170,0.008487908755176944
official_legacy_cross_vit_huge,vit,32,8,74,17,0.020154807388154592
official_legacy_cross_vit_huge,vit,32,9,609,129,0.01010481876127328
official_legacy_cross_vit_huge,vit,32,10,254,59,0.012005938429806772
official_legacy_cross_vit_huge,vit,32,11,209,51,0.016987998352959503
official_legacy_cross_vit_huge,vit,32,12,461,121,0.010855414289009787
official_legacy_cross_vit_huge,vit,32,13,437,109,0.010601151453982315
official_legacy_cross_vit_huge,vit,32,14,488,125,0.01035261390960984
official_legacy_cross_vit_huge,vit,32,15,618,149,0.010227287334305673
official_legacy_cross_vit_huge,vit,32,16,454,95,0.0110894920321629
official_legacy_cross_vit_huge,vit,32,17,601,147,0.010106752775387192
official_legacy_cross_vit_huge,vit,32,18,459,136,0.010920529606544558
official_legacy_cross_vit_huge,vit,32,19,571,159,0.013782886018726749
official_legacy_cross_vit_huge,vit,32,20,191,45,0.015889512725420527
official_legacy_cross_vit_huge,vit,32,21,253,52,0.014270747814106019
official_legacy_cross_vit_huge,vit,32,22,561,160,0.009052503449533513
official_legacy_cross_vit_huge,vit,32,23,523,113,0.010390385248214553
official_legacy_cross_vit_huge,vit,32,24,80,11,0.035122306047954945
official_legacy_cross_vit_huge,vit,32,25,400,99,0.012132770856816948
official_legacy_cross_vit_huge,vit,32,26,615,155,0.008859752564025318
official_legacy_cross_vit_huge,vit,32,27,441,126,0.012035795009872213
official_legacy_cross_vit_huge,vit,32,28,256,65,0.0137461887470566
official_legacy_cross_vit_huge,vit,32,29,660,157,0.009890725124088975
official_legacy_cross_vit_huge,vit,32,30,365,97,0.016188136937526843
official_legacy_cross_vit_huge,vit,32,31,322,66,0.013989061638141006
official_legacy_cross_ijepa_huge,ijepa,4,0,4436,1100,0.09312984823202786
official_legacy_cross_ijepa_huge,ijepa,4,1,3333,806,0.12814335808981972
official_legacy_cross_ijepa_huge,ijepa,4,2,4109,1067,0.050946308090112975
official_legacy_cross_ijepa_huge,ijepa,4,3,1229,304,0.03946153650723516
official_legacy_cross_ijepa_huge,ijepa,8,0,2804,696,0.15637168143767685
official_legacy_cross_ijepa_huge,ijepa,8,1,2570,623,0.079435173329487
official_legacy_cross_ijepa_huge,ijepa,8,2,2177,566,0.25080872224288997
official_legacy_cross_ijepa_huge,ijepa,8,3,836,209,0.07984075008234162
official_legacy_cross_ijepa_huge,ijepa,8,4,1623,384,0.1170797390165437
official_legacy_cross_ijepa_huge,ijepa,8,5,229,40,0.16545864949940636
official_legacy_cross_ijepa_huge,ijepa,8,6,2365,646,0.1278011778827222
official_legacy_cross_ijepa_huge,ijepa,8,7,503,113,0.13170493441763045
official_legacy_cross_ijepa_huge,ijepa,16,0,1050,271,0.37403026192928185
official_legacy_cross_ijepa_huge,ijepa,16,1,1144,331,0.13878893737164033
official_legacy_cross_ijepa_huge,ijepa,16,2,1318,304,0.18490716973829033
official_legacy_cross_ijepa_huge,ijepa,16,3,535,128,0.2417219811149905
official_legacy_cross_ijepa_huge,ijepa,16,4,1163,324,0.11581753701133672
official_legacy_cross_ijepa_huge,ijepa,16,5,942,250,0.29249417442890635
official_legacy_cross_ijepa_huge,ijepa,16,6,433,97,0.10101956676589674
official_legacy_cross_ijepa_huge,ijepa,16,7,255,72,0.26101659020834217
official_legacy_cross_ijepa_huge,ijepa,16,8,230,55,0.1542580313545006
official_legacy_cross_ijepa_huge,ijepa,16,9,568,124,0.12912378710560288
official_legacy_cross_ijepa_huge,ijepa,16,10,1278,309,0.2537903459320672
official_legacy_cross_ijepa_huge,ijepa,16,11,1849,462,0.3918442770464318
official_legacy_cross_ijepa_huge,ijepa,16,12,147,21,0.15288446495926836
official_legacy_cross_ijepa_huge,ijepa,16,13,1103,262,0.29576160243374405
official_legacy_cross_ijepa_huge,ijepa,16,14,772,186,0.1366049456963245
official_legacy_cross_ijepa_huge,ijepa,16,15,320,81,0.26285655150469206
official_legacy_cross_ijepa_huge,ijepa,32,0,551,132,0.2949345414725537
official_legacy_cross_ijepa_huge,ijepa,32,1,375,104,0.20490571091046092
official_legacy_cross_ijepa_huge,ijepa,32,2,602,126,0.1398437389294123
official_legacy_cross_ijepa_huge,ijepa,32,3,202,54,0.3744871935508422
official_legacy_cross_ijepa_huge,ijepa,32,4,434,125,0.4450301246992494
official_legacy_cross_ijepa_huge,ijepa,32,5,233,49,0.2702941961293858
official_legacy_cross_ijepa_huge,ijepa,32,6,88,12,0.665649756148658
official_legacy_cross_ijepa_huge,ijepa,32,7,346,74,0.2880263823636047
official_legacy_cross_ijepa_huge,ijepa,32,8,470,102,0.4330050077234858
official_legacy_cross_ijepa_huge,ijepa,32,9,778,185,0.3004197553879752
official_legacy_cross_ijepa_huge,ijepa,32,10,290,65,0.20152376414130282
official_legacy_cross_ijepa_huge,ijepa,32,11,482,113,0.4073267652631269
official_legacy_cross_ijepa_huge,ijepa,32,12,777,200,0.13581253654057232
official_legacy_cross_ijepa_huge,ijepa,32,13,105,37,0.2737048475309826
official_legacy_cross_ijepa_huge,ijepa,32,14,166,47,0.21314932127695382
official_legacy_cross_ijepa_huge,ijepa,32,15,550,150,0.15776783846320078
official_legacy_cross_ijepa_huge,ijepa,32,16,561,171,0.15163217800519893
official_legacy_cross_ijepa_huge,ijepa,32,17,205,43,0.21596283375703373
official_legacy_cross_ijepa_huge,ijepa,32,18,927,229,0.10984465147702026
official_legacy_cross_ijepa_huge,ijepa,32,19,525,151,0.6186090631898963
official_legacy_cross_ijepa_huge,ijepa,32,20,706,160,0.15125733261135713
official_legacy_cross_ijepa_huge,ijepa,32,21,193,45,0.31794422700341285
official_legacy_cross_ijepa_huge,ijepa,32,22,214,53,0.2939722486141709
official_legacy_cross_ijepa_huge,ijepa,32,23,65,13,0.25261310240674456
official_legacy_cross_ijepa_huge,ijepa,32,24,446,114,0.33862729419635285
official_legacy_cross_ijepa_huge,ijepa,32,25,716,176,0.22460265332539608
official_legacy_cross_ijepa_huge,ijepa,32,26,139,32,0.46054673257742185
official_legacy_cross_ijepa_huge,ijepa,32,27,730,243,0.22764792413977275
official_legacy_cross_ijepa_huge,ijepa,32,28,114,22,0.7723449676418014
official_legacy_cross_ijepa_huge,ijepa,32,29,271,58,0.21762517383349742
official_legacy_cross_ijepa_huge,ijepa,32,30,294,72,0.25793532844365497
official_legacy_cross_ijepa_huge,ijepa,32,31,552,120,0.12235644865627714
official_legacy_cross_ijepa_giant,ijepa,4,0,3564,871,0.07304454211325537
official_legacy_cross_ijepa_giant,ijepa,4,1,2210,533,0.04846059665826594
official_legacy_cross_ijepa_giant,ijepa,4,2,2973,700,0.06500875312287445
official_legacy_cross_ijepa_giant,ijepa,4,3,4360,1173,0.037105009844584896
official_legacy_cross_ijepa_giant,ijepa,8,0,3384,878,0.02560279133660398
official_legacy_cross_ijepa_giant,ijepa,8,1,2300,598,0.05091230364316162
official_legacy_cross_ijepa_giant,ijepa,8,2,1002,232,0.07200932842034038
official_legacy_cross_ijepa_giant,ijepa,8,3,1671,436,0.11148717974199235
official_legacy_cross_ijepa_giant,ijepa,8,4,449,109,0.18450647634616424
official_legacy_cross_ijepa_giant,ijepa,8,5,1044,257,0.09248354196499481
official_legacy_cross_ijepa_giant,ijepa,8,6,2048,491,0.16531834418460714
official_legacy_cross_ijepa_giant,ijepa,8,7,1209,276,0.15037051217150427
official_legacy_cross_ijepa_giant,ijepa,16,0,1272,343,0.2718187385118195
official_legacy_cross_ijepa_giant,ijepa,16,1,1235,296,0.19526218009877197
official_legacy_cross_ijepa_giant,ijepa,16,2,586,139,0.13044023700068272
official_legacy_cross_ijepa_giant,ijepa,16,3,1004,232,0.10465561034829202
official_legacy_cross_ijepa_giant,ijepa,16,4,262,58,0.10906003854108737
official_legacy_cross_ijepa_giant,ijepa,16,5,1364,365,0.36814207730649295
official_legacy_cross_ijepa_giant,ijepa,16,6,628,162,0.4134128588844127
official_legacy_cross_ijepa_giant,ijepa,16,7,639,164,0.09376415149992491
official_legacy_cross_ijepa_giant,ijepa,16,8,893,262,0.07893870578043855
