y_a,y_b,rho_a,rho_b,delta_rho,ci95_lo,ci95_hi,p_boot_positive,ci_excludes_zero,n_boot,name
mse_G,mse_P,0.22704789227635297,0.17477573070804867,0.052272161568304304,0.008323581476322922,0.09975079191650815,0.9900497512437811,True,200,delta_rho_MSE_G_minus_P
mae_G,mae_P,0.25072115934814204,-0.07341395011501356,0.3241351094631556,0.2319359070845356,0.41208331845404556,1.0,True,200,delta_rho_MAE_G_minus_P
mse_C,mse_P,0.26108704266373695,0.17477573070804867,0.08631131195568828,0.03829392893302863,0.15245673720462444,1.0,True,200,delta_rho_MSE_C_minus_P
mse_G,mse_T,0.22704789227635297,0.18016198458474955,0.04688590769160342,-0.002821561202632388,0.10517006452053157,0.9601990049751243,False,200,delta_rho_MSE_G_minus_T
