name,y_a,y_b,rho_a,rho_b,delta_rho,ci95_lo,ci95_hi,p_boot_positive,p_mc_two_sided
delta_rho_MSE_GP,mse_G,mse_P,0.22704789227635297,0.17477573070804867,0.052272161568304304,-0.00018859676990487097,0.1123187176190151,0.9746,0.5523447655234477
delta_rho_MAE_GP,mae_G,mae_P,0.25072115934814204,-0.07341395011501356,0.3241351094631556,0.22625012311399503,0.4123273567287724,1.0,0.45115488451154884
delta_rho_MSE_CP,mse_C,mse_P,0.26108704266373695,0.17477573070804867,0.08631131195568828,0.03081270959367521,0.1549189493978922,0.9986,0.5896410358964104
delta_rho_MSE_GT,mse_G,mse_T,0.22704789227635297,0.18016198458474955,0.04688590769160342,-0.008469551850261338,0.10744387712322062,0.9562,0.5468453154684532
