dataset_id,label,cutoff,cutoff_source,n_ranks_kept,peak_d,peak_controlled,smooth_fraction_d43_kept,desi_mag_d36_kept,R_H,m_d,df_ratio,dS,fail_frozen,weak_0.4,weak_0.5,weak_0.6
desi_vit_base_hsc,spec_z,overlay,per_rank,,33,0.0440779817694922,,,0.4613157032961268,561.0,0.5478515625,0.0038157227387121866,False,False,True,True
desi_vit_base_hsc,spec_z,overlay,per_rank,,34,0.0320284694327142,,,0.461681741096057,595.0,0.5810546875,0.003722337502040318,False,False,True,True
desi_vit_base_hsc,spec_z,overlay,per_rank,,35,0.0209745074730204,,,0.455296663060061,630.0,0.615234375,0.003612449193459118,False,False,True,True
desi_vit_base_hsc,spec_z,overlay,per_rank,,36,0.0755452415284787,,,0.4510191527214433,666.0,0.650390625,0.0035217484719017493,False,False,True,True
desi_vit_base_hsc,spec_z,overlay,per_rank,,37,0.0888645164566667,,,0.4537976474257855,703.0,0.6865234375,0.0034173917770961753,False,False,True,True
physics_vit_base,mag_r_desi,0.2,frozen_gate,39,7,0.2210987299870681,False,False,,,,,,,,
physics_vit_base,mag_r_desi,0.4,descriptive_stricter,37,7,0.2210987299870681,False,False,,,,,,,,
physics_vit_base,mag_r_desi,0.5,descriptive_stricter,21,7,0.2210987299870681,False,False,,,,,,,,
physics_vit_base,mag_r_desi,0.6,descriptive_stricter,0,,,False,False,,,,,,,,
physics_vit_base,mag_r_desi,overlay,per_rank,,6,0.1552298626131538,,,0.5157246446498049,21.0,0.0205078125,0.0035887929971825847,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,7,0.2210987299870681,,,0.5156920386211349,28.0,0.02734375,0.003884932030662943,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,8,0.1758819673327153,,,0.5249911306748358,36.0,0.03515625,0.004084798260964817,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,9,0.0894205405065174,,,0.5122163515943452,45.0,0.0439453125,0.004276706763812399,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,10,0.0468751788146164,,,0.5276850998498144,55.0,0.0537109375,0.004453260994523589,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,11,0.0101004330174751,,,0.5213222979810785,66.0,0.064453125,0.00455301781144044,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,12,0.0004519539430768,,,0.5264760741959892,78.0,0.076171875,0.004641362080201361,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,13,-0.0514052683077556,,,0.5358096958690266,91.0,0.0888671875,0.004673105462825333,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,14,0.0231412041805426,,,0.5286536068791441,105.0,0.1025390625,0.004726898298804372,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,15,0.0606901278596033,,,0.5271277276999978,120.0,0.1171875,0.004694744267635543,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,16,0.0692454237763358,,,0.5140178048328532,136.0,0.1328125,0.004643543944484917,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,17,0.0821289274842357,,,0.5143718269929936,153.0,0.1494140625,0.0045467008094419725,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,18,0.1083680948947711,,,0.5094080609850065,171.0,0.1669921875,0.004467049549157309,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,19,0.1009316420331651,,,0.5145532265039472,190.0,0.185546875,0.004410371031826798,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,20,0.1069670823748869,,,0.5155509716501046,210.0,0.205078125,0.004367288155958705,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,21,0.0854843837619162,,,0.5143797619804373,231.0,0.2255859375,0.004240529654983523,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,22,0.1002175458623728,,,0.5139056173204031,253.0,0.2470703125,0.004147209729277771,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,23,0.1124763607077053,,,0.5148168256578034,276.0,0.26953125,0.004086146411585409,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,24,0.0936814245945915,,,0.5097807936922768,300.0,0.29296875,0.0039848733965754946,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,25,0.0733225758460077,,,0.5073449508844395,325.0,0.3173828125,0.003880329966856759,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,26,0.0557080844233872,,,0.5033931103437779,351.0,0.3427734375,0.0038146632975895045,False,False,False,True
physics_vit_base,mag_r_desi,overlay,per_rank,,27,0.0594574693011066,,,0.495979232566697,378.0,0.369140625,0.0037224880429675977,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,28,0.0617574723051922,,,0.4869018154576424,406.0,0.396484375,0.0036084362366182177,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,29,0.0409050058078987,,,0.4794397634975195,435.0,0.4248046875,0.0035226804412028896,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,30,0.0587856627871047,,,0.4736020115743098,465.0,0.4541015625,0.003452546229179158,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,31,0.0003530694601801,,,0.4697720722425091,496.0,0.484375,0.003385866303574403,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,32,0.0523191004051223,,,0.4644611115410671,528.0,0.515625,0.0032901027045681985,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,33,0.0584042512102173,,,0.4566088918614011,561.0,0.5478515625,0.003203057585778879,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,34,0.0696732377461919,,,0.4523712264215344,595.0,0.5810546875,0.0031029581176653664,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,35,0.0882949024959659,,,0.443780296262821,630.0,0.615234375,0.0030450396293796684,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,36,0.0798249905585882,,,0.4394984959305925,666.0,0.650390625,0.002963931651531008,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,37,0.1157389227921401,,,0.4335168339647235,703.0,0.6865234375,0.002868824205393139,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,38,0.1105157478456415,,,0.4243145577499184,741.0,0.7236328125,0.002798542836596122,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,39,0.1167209726656824,,,0.4181060516738235,780.0,0.76171875,0.0027146717176265156,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,40,0.1231690277348622,,,0.4132479478892014,820.0,0.80078125,0.0026424465823235246,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,41,0.1365954126183037,,,0.4035458117449791,861.0,0.8408203125,0.00259458082666697,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,42,0.1576095275288678,,,0.4003372547887288,903.0,0.8818359375,0.002511246540924124,False,False,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,43,0.1386029643171856,,,0.3964807568486408,946.0,0.923828125,0.002456425721902633,False,True,True,True
physics_vit_base,mag_r_desi,overlay,per_rank,,44,0.1195089607580595,,,0.3891850100825742,990.0,0.966796875,0.0023819781757386713,False,True,True,True
physics_vit_base,photo_z,0.2,frozen_gate,39,12,-0.1883325051817521,False,False,,,,,,,,
physics_vit_base,photo_z,0.4,descriptive_stricter,37,12,-0.1883325051817521,False,False,,,,,,,,
physics_vit_base,photo_z,0.5,descriptive_stricter,21,12,-0.1883325051817521,False,False,,,,,,,,
physics_vit_base,photo_z,0.6,descriptive_stricter,0,,,False,False,,,,,,,,
physics_vit_base,photo_z,overlay,per_rank,,6,-0.0784628843248043,,,0.5157246446498049,21.0,0.0205078125,0.0035887929971825847,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,7,-0.0516142985180177,,,0.5156920386211349,28.0,0.02734375,0.003884932030662943,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,8,-0.0185825494640897,,,0.5249911306748358,36.0,0.03515625,0.004084798260964817,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,9,-0.0890777089236262,,,0.5122163515943452,45.0,0.0439453125,0.004276706763812399,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,10,-0.1144367275606855,,,0.5276850998498144,55.0,0.0537109375,0.004453260994523589,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,11,-0.1644111974939182,,,0.5213222979810785,66.0,0.064453125,0.00455301781144044,False,False,False,True
