sample_id,A_B,A_B_A,A_B_B,gamma_fold_cosine,A_B_agree
0,3.1004013256819247,2.517465160828931,2.55983393422388,0.9405556064350227,0.9916552535901949
1,1.8022888625489812,1.5811446854554772,1.5297973486284442,0.9323114911873468,0.9834946018715668
8,1.769944874853612,1.4497899774551641,1.5258690524606426,0.9195603078477478,0.9744328653785205
11,2.9414301956824325,2.270432423161481,2.649264470677766,0.9597958226225143,0.922996872431169
16,1.6896389208033398,1.5051525972010438,1.4453477405945805,0.9213691908754218,0.9797306050637009
18,1.89778074300154,1.925969659743863,1.3742797607876187,0.9037108964151106,0.8328338774869329
19,2.2695915630589973,1.8712309786102033,1.9631840623100565,0.888650162979663,0.9760190061017013
22,1.1136486967961665,0.9351936183361776,1.0314381057869852,0.8793141844373251,0.9510612555110088
25,1.478440882591673,1.3335348379597614,1.3338768142156285,0.8954874775676356,0.999871794720703
26,3.326693328101281,2.6869607042520434,2.8236930742976303,0.9280765721712492,0.9751876318962697
28,2.9332476405761083,2.4766111369022648,2.5672428481855953,0.9252373605697422,0.9820312579326675
30,2.4338117699729453,1.992565063336056,2.1254589117265295,0.9224556276680411,0.9677287336850793
32,3.8932633891968065,3.247400174043564,3.161065639609923,0.952401029621661,0.98652804946705
38,3.106652609717799,2.5609049149946777,2.5258174978697645,0.920785962531983,0.9931021561081894
42,3.2058471591014435,2.672174395243993,2.696789530888027,0.9371487122874929,0.9954152912959191
46,2.984970692009576,2.43736096805839,2.594315655802926,0.9203214576762093,0.9688066822497649
48,2.8620846980153134,2.3045618710134317,2.582564679848601,0.9133929339230507,0.9431152833997858
55,2.32321287420138,1.9930050366646113,1.9544620837174826,0.935629062624914,0.9902360293900566
58,1.9602363841109318,2.0826294623666497,1.612793991994542,0.9220297554527828,0.8728601806600468
74,2.8758555636905827,2.279934353441281,2.5883917524396884,0.9078714936692269,0.9366399472242032
85,2.5474172245225897,2.2960062251209257,2.066163513209853,0.9341244399518025,0.9473100026595883
90,2.968991614461593,2.6755956133597683,2.282540930337166,0.890601554720704,0.9207253209832884
108,2.8571990179496636,2.5238661779222213,2.3002696194514147,0.9275439234989482,0.9536504427191835
109,2.119340885872847,2.0418370393837066,1.6853105156283932,0.9597420479401404,0.9043433299881373
111,3.1320161163466462,2.8022835166985223,2.4921400035290437,0.9343253364411233,0.9414207208802692
114,1.783368238386999,1.4602527185588507,1.4937665767008503,0.888713820125512,0.9886548276120677
117,3.139433513576304,2.694208369243785,2.6097782527565676,0.9183424292634204,0.9840817629258319
119,2.212122610544275,2.072460200389537,1.7619689800132727,0.9273708658222981,0.9190254387893932
120,2.225333797641206,1.7529423214185995,1.8761579613125874,0.9410780219114985,0.966047882313889
133,2.510659883386466,1.970018306308462,2.459096066661556,0.9173305361146957,0.8895766243161758
136,2.393039593548441,1.6904784812557176,2.113325243095157,0.9303561336129964,0.8888358094997136
146,2.501568074828396,2.387319722635885,2.053640254857642,0.9181842003789107,0.9248632121277139
149,1.9386969013756798,1.7392613307621696,1.5206198665403823,0.8970550377808901,0.932929621974351
160,2.116961182327591,1.6727410096346167,1.9709624833802726,0.9030042562677607,0.9181542970449277
161,3.196012254729913,2.4418731127737674,2.9783684105633816,0.9613277264903566,0.9010200384097823
163,3.9984109783637796,3.7630421205166393,3.05722111559475,0.9323977438222195,0.8965111784564613
166,2.7293808299420212,2.411775230525656,2.2251100385190856,0.925495713209878,0.9597434093845877
168,1.8490585401724087,1.5828823078877514,1.5516768509572199,0.8763338528281011,0.9900447063369414
170,1.4876469578050364,1.405128781507088,1.1026692051469307,0.9532546453509135,0.8793923681373921
189,2.223986469710949,2.000512255050675,1.9381971120225716,0.8917844773497507,0.9841787912687734
193,2.2514775935922584,1.7554511781395115,2.171209448817459,0.9058402018534992,0.8941191230472734
197,2.62052150753618,2.2286112202381156,2.221812460257393,0.949585042765414,0.9984723342160615
204,3.3484430142209782,2.703194408493424,2.7356658950229273,0.943475389028107,0.9940297259503963
207,1.95345709390481,1.8736792645892122,1.5522454576669653,0.9345576875787841,0.9061760450152088
208,3.1916948485145062,2.847819863760506,2.554162721719533,0.9351398678984293,0.9456390061622388
209,2.1203526872877525,2.000754940955316,1.9263300483338002,0.8922769413832645,0.9810483111965987
213,2.4785381742998105,2.2619436010025424,1.8966199870867302,0.9294544586920788,0.9121514902496256
227,2.1650788777554637,1.9188200560270467,1.7512764036456736,0.900707838289686,0.9543489785016948
234,2.4760068286932073,1.7926268476089928,2.4371067709856935,0.9256291661039004,0.8476310847228183
236,1.3656160998502989,1.1838372984118495,1.1506207450307038,0.9335770851580809,0.9857711928152016
240,2.0325245383633317,1.793256177980452,1.6510182705689391,0.9440062023068673,0.9587030855013837
241,3.4776600266462774,2.752466253325295,3.06520764691716,0.9218846774569582,0.9462428800660636
242,3.003732835329082,2.3652813707669074,2.6999981092002083,0.9329079565713214,0.9339193938346174
248,2.1605714508626184,1.8296374064129515,1.9250833807039855,0.9236917387939413,0.9745797411571787
255,2.1193267428870035,1.8453803797616726,1.8065513616184188,0.9361442603740905,0.9893675400053945
263,2.1850220083846916,1.9949357133749654,1.811260596208535,0.8863703512022647,0.9517431308774167
264,2.0152649263486975,1.8166162821495364,1.616317093362381,0.9139970095508876,0.9416536335322013
267,2.362246417255766,1.9039318011707367,1.9398113804078723,0.9343801846574225,0.9906654587618937
281,3.1091144563463615,2.7401533606273047,2.5559982772902385,0.9177542780189911,0.9652285100716118
291,2.161835984344626,1.8164691508992798,1.9193123010026998,0.9313617233711203,0.972470779828124
292,1.6091020180253226,1.3817174164210182,1.2954553194106,0.9226312055963709,0.9677786584870391
296,3.6703855011957693,3.4421726985663508,2.671376257304782,0.9439671452035325,0.8739199691005441
297,3.4051409855967187,2.708356806922137,2.934212037413702,0.9087129045863764,0.9599729774288381
298,3.1130137146276367,2.552910020564163,2.4699298295742365,0.9312233218941275,0.983479427283026
303,1.4461136239125996,1.1601054986747894,1.3246669327064522,0.9172833248109791,0.9337720300042986
304,3.0742611679302287,2.624296557431941,2.612663253632816,0.9276475979368612,0.99777861503261
311,1.713449459352563,1.4494877581395549,1.4600111834654061,0.9215964263345304,0.9963830798577138
313,2.172617831123647,1.8527118124796658,1.7994847003337622,0.9133316179370622,0.9854259999539563
317,3.1228532001380973,2.734429239031618,2.498345550910528,0.9341116711506952,0.954883652058777
323,3.3428605516782923,2.8962385186491093,2.671554034509675,0.9357339888820075,0.959645679684678
327,1.7431334187021543,1.4431206667334544,1.4785852751383743,0.8932291770107481,0.9878616776942997
336,2.6750769993843244,2.140876732851623,2.3179320949001228,0.9565454492750474,0.9602908828594529
341,2.648410614719681,2.377036043122327,2.050733711927499,0.9473225843090887,0.9263054880343127
349,1.7841675143882951,1.5668637265223893,1.399166742318976,0.9397296520716703,0.9434608019151868
350,3.1851519421415895,2.5041955660527213,2.8404353241584315,0.9421584529135856,0.9370883106780035
359,1.1230107824557676,0.9894348851354204,0.955525262408432,0.928254152007951,0.9825653894400816
360,2.2025776245268456,1.852055137704528,2.0110005705690748,0.8948285715353537,0.9588549985121547
362,1.8467456672883917,1.4627056546797041,1.7454473208734615,0.9216020452379663,0.911867773030678
369,1.878268017327656,1.4332810933448106,1.7716552753341714,0.9469613318976955,0.8944209359985413
375,2.4764204757947703,2.0537983381202887,2.0629352091775623,0.9213442730740742,0.9977805532098936
386,2.549143552065896,2.253926260131267,2.0385076028098714,0.9358502335695251,0.9498143328005075
393,3.052646871715415,2.6197822812713,2.5716508598935794,0.9157077979729205,0.9907286831845974
394,2.609701528377803,2.2522107539876814,2.163840960104352,0.9153211630001763,0.979988958552878
397,1.1649445840550283,1.1438609999430087,0.9598212627968363,0.9045254840747301,0.9125154304878351
398,3.651371719069009,2.9023224739622573,3.288063714614905,0.9417608022084025,0.9376870474794547
403,2.403060073308884,2.1164182648474994,2.0511089747767937,0.9232178350477482,0.984329007030895
404,2.238993521826439,1.9032763660112735,2.0225654844656735,0.9064452403148038,0.9696143851439386
406,2.6708276130823263,2.3372547029802493,2.272434084510148,0.9491779035098185,0.985938179027181
408,2.619716417485574,2.1226124256292005,2.2148063682741634,0.9302211289311396,0.9787445144161431
419,1.094530218830155,0.8444582866142584,1.1685934900174642,0.9209193014473092,0.8389831761080904
435,2.6058554409291963,2.2976429715664963,2.0964573139205087,0.9087475475008973,0.9542145958046359
444,1.9504166298968304,1.757125275374791,1.7397230267016122,0.9080604890397834,0.9950234476391654
445,2.041407411526874,1.6596727484012275,1.8769814991126148,0.9046988228540883,0.9385552741368064
460,2.3595111993004263,1.7967982194560708,2.364784139306671,0.899968141654363,0.8635168378550448
462,2.319662745384065,1.9541722395358985,2.110491156941639,0.9217480161783347,0.9615419772419022
471,2.4804421442887423,2.04664639631538,2.0861686449919525,0.913698306288361,0.9904369665030859
489,2.089087359086181,2.1631900704106153,1.4101982312022339,0.9133001723304046,0.7892779133830716
490,3.1004988556396613,2.2324790547077065,2.9878381540376977,0.9415477305042095,0.855303984580752
498,3.4612856158150374,2.809974162506106,3.013364446178689,0.9274615479356167,0.9650732513872281
510,2.3855177373231355,1.9027612911945888,2.0365661587395962,0.9305358993862819,0.9660335757193165
512,1.767176667788772,1.9361017469663617,1.4761359516562844,0.8893265921405679,0.8652011272556589
516,2.196651501063219,1.9529128151285189,1.9357129751796283,0.9209797020279301,0.9955768847720553
526,2.4678468880164246,2.0905992350619353,2.206907568013001,0.9078732630129719,0.9729358583288699
533,1.819559707241556,1.5546830189093108,1.590961399070229,0.9457343871591615,0.9884671071041717
539,3.11796120112243,2.3429192831557675,2.8154198178980034,0.942098497427604,0.9084006449584303
545,3.2343287538321244,2.626743457533886,2.8521837204287794,0.9196386663510469,0.9588532105698249
547,3.126718335047396,2.6699664839327375,2.5456982614103616,0.9401769148800158,0.976174039438917
551,2.2461764684438847,2.057732462026931,1.7791987907457303,0.8990832199839977,0.9274071770037773
554,2.2759349365809474,2.196419349432717,1.7016512123221839,0.914511131954991,0.8730735810775601
555,1.3465441198803139,1.0524297434467003,1.290022602382177,0.8925552140109212,0.8985708890263873
559,2.9302115940247058,2.475168982245701,2.4154595039499145,0.9374289870351273,0.987791041894856
562,3.0721683443026735,2.854793875328378,2.319506902318837,0.9020349119298543,0.8965489259298647
566,2.8300640156386736,2.5867172682524577,2.2454523508345434,0.9202951905001396,0.9293764614408562
567,2.757594422876056,2.288315714348151,2.382509531690204,0.9417437625657561,0.9798335813522578
585,3.3455027841239495,3.260787063026529,2.380651642697908,0.9418896017334216,0.8439874177068455
586,2.86268447150358,2.4143546006851473,2.369046731395107,0.9104572779915462,0.9905281062272197
606,2.0218777200821574,1.8226931445911052,1.5813818622065852,0.9286103938967246,0.9291110560423496
607,1.090431552884337,1.038935393825784,0.8878689837461224,0.9211314129853959,0.9215974325997587
627,1.8053999412497175,1.636185818290251,1.394324240671926,0.8922963972783418,0.9201911318845276
634,3.3982615864530406,2.6260564935709985,3.136316798722595,0.9326038347698289,0.9114496268691926
637,2.372800138978925,2.059562487176002,2.104020256817608,0.9006670770860946,0.9893222322275831
641,2.480423520598435,1.9123618989646052,2.205690145214282,0.9185571458792086,0.9287701459081087
656,1.9254182510807354,1.592837835544367,1.723296399172338,0.9169204657724035,0.9606594442823826
662,2.613675563869209,2.1588740901771133,2.200912753620279,0.9448311979298122,0.9903576333088455
666,2.2260734073959987,1.85987523115148,1.9766223188253422,0.8971349338464505,0.9695693569061271
670,2.773685541659681,2.3366763127958996,2.272241073857526,0.9168308653363252,0.9860194415450001
672,2.497793873598033,1.940004903503739,2.1693693138613885,0.9120321523625053,0.9441850758228792
680,1.4862376323592974,1.4408560675358997,1.1306431300883732,0.8705524791834471,0.8793649487683596
683,2.9276621741540185,2.5980667068769745,2.4089954534955718,0.9399474890360091,0.9622390840525664
690,2.238229155468907,1.909191881964297,1.7636075027092377,0.9192133823395461,0.96036146709712
692,2.0601777594046022,1.5958197812803896,1.7874976801347158,0.9029317192624235,0.9433461680612865
