sample_id,K_H_cross,log_knn_radius,local_label_variance,local_evaluation_count,r2_G,mse_G,field
0,0.018409484316046477,-0.6934431614192684,0.03018922199743173,2048.0,0.23863376880477594,0.02298505417490055,smooth_fraction
1,0.027592433196754564,-0.5463986608567116,0.009190389985477963,2048.0,0.05807791519395433,0.008656631295302007,smooth_fraction
8,0.03174145218784237,-0.34079673550714534,0.046150241799464864,2048.0,0.2064441262761788,0.036622795453739955,smooth_fraction
11,0.02909703044841653,-0.6233459042053935,0.01127873956719835,2048.0,0.1451466878020844,0.009641667876437195,smooth_fraction
16,0.024801922770464245,-0.49384145228166476,0.04924115668865719,2048.0,0.30991230823223626,0.03398071615925022,smooth_fraction
18,0.024159531040015697,-0.6647120349634996,0.03259309749064342,2048.0,0.3110131777388139,0.022456214667727452,smooth_fraction
19,0.016726139041649185,-0.6801415116093494,0.020344663007896564,2048.0,0.25856914290464006,0.015084160931261014,smooth_fraction
22,0.04458245513766817,-0.35245908299031536,0.04468522666733822,2048.0,0.17343487058544615,0.03693525016320709,smooth_fraction
25,0.022673802132395168,-0.5991005284888595,0.054121841043003285,2048.0,0.3236527783644818,0.03660515681923443,smooth_fraction
26,0.019790274739566696,-0.6300767409452693,0.014803128816217757,2048.0,0.13360356065016277,0.012825378097608036,smooth_fraction
28,0.02137312419225435,-0.6914869012995923,0.00978469752728718,2048.0,0.09470234724467941,0.008858063704373873,smooth_fraction
30,0.03438518884701256,-0.5485804541225677,0.035671410663136546,2048.0,0.27974346973126696,0.025692566474021815,smooth_fraction
32,0.01981439821948261,-0.7041498884644614,0.016799653409962652,2048.0,0.21882707122146006,0.01312343445672491,smooth_fraction
38,0.023023505868899338,-0.6051127166693007,0.019382981851330368,2048.0,0.32196264130082664,0.013142385818190055,smooth_fraction
42,0.017650420896457734,-0.7416743946703287,0.022579082947534784,2048.0,0.19609513683886393,0.01815143458724189,smooth_fraction
46,0.015484370483828383,-0.571047396854663,0.03786189623822172,2048.0,0.2841234770675515,0.02710444263064732,smooth_fraction
48,0.01778713035636717,-0.7424189857633153,0.014754782245185002,2048.0,0.09909952105263264,0.013292590391451281,smooth_fraction
55,0.018841415304581104,-0.6515362364779997,0.020551776360089487,2048.0,0.21087706609246648,0.016217878058285305,smooth_fraction
58,0.024348679130171948,-0.18696311624588854,0.04460200849848969,2048.0,0.3295589648860391,0.029903016745889112,smooth_fraction
74,0.012821946220980587,-0.708107658870025,0.01940740855065189,2048.0,0.257092796045966,0.014417903622358405,smooth_fraction
85,0.02306573466755512,-0.6599470082033794,0.011820365036387065,2048.0,0.10349576843228236,0.010597007273796102,smooth_fraction
90,0.017600365704882506,-0.6839860763395473,0.01204075252120275,2048.0,0.19398767198332167,0.009704994970687317,smooth_fraction
108,0.019074630481160253,-0.7066476367674747,0.012646431717413104,2048.0,0.09794679072956725,0.011407754316511882,smooth_fraction
109,0.03890661928270798,-0.4987670497213439,0.013877740964566709,2048.0,0.19547500853697697,0.011164989431044077,smooth_fraction
111,0.014084403161732947,-0.8478156309447991,0.007206404670254138,2048.0,-0.058662433862357366,0.0076291499076083045,smooth_fraction
114,0.032578553880094965,-0.41053395664023556,0.040227803621852215,2048.0,0.17832854522783037,0.033054037924256464,smooth_fraction
117,0.017645229438862133,-0.780272463094127,0.02679807511743907,2048.0,0.230425915744911,0.02062310411830226,smooth_fraction
119,0.013860579383592402,-0.8033251643777719,0.014938248571155183,2048.0,0.21602426921708284,0.011711224340188254,smooth_fraction
120,0.04538025486875343,-0.3669655065898474,0.04371597997200924,2048.0,0.31075552305697784,0.03013099774985914,smooth_fraction
133,0.016008894820170767,-0.8990420369240117,0.008239909208096946,2048.0,-0.007978837627861779,0.008305654105736675,smooth_fraction
136,0.02873104422043583,-0.33098159716522274,0.060925077183524176,2048.0,0.3021926404816103,0.0425139672378891,smooth_fraction
146,0.016050392223828574,-0.8100078202921229,0.010697517556423754,2048.0,0.11963832664878293,0.009417684456677239,smooth_fraction
149,0.034569467904659666,-0.41441964061349323,0.04249580123934183,2048.0,0.15467766524587834,0.035922649920887534,smooth_fraction
160,0.01912071742663491,-0.5621589816429253,0.04441291588384247,2048.0,0.31277243415091294,0.030521780075113317,smooth_fraction
161,0.01617100823496893,-0.792420124907325,0.011589198396751243,2048.0,0.1784386295242012,0.009521237717550882,smooth_fraction
163,0.020694443178929867,-0.7955299415637669,0.007406852146668751,2048.0,-0.020326694243320897,0.007557408965559571,smooth_fraction
166,0.017677197903681666,-0.7729371815714913,0.009628149145025761,2048.0,0.08428578772028072,0.008816633010048917,smooth_fraction
168,0.030922839160215154,-0.5090655186474305,0.014279488404811691,2048.0,0.18023649676554,0.011705803439124283,smooth_fraction
170,0.037589704729405926,-0.28716015146086704,0.021948196895521244,2048.0,0.29260706414015736,0.015525999438752656,smooth_fraction
189,0.03155061044237605,-0.7498055943772087,0.02783094318806683,2048.0,0.22749589136405102,0.0214995179599953,smooth_fraction
193,0.02852134922492387,-0.5134177691421462,0.03885422364530984,2048.0,0.27527073459819007,0.028158792960223035,smooth_fraction
197,0.03009574252235502,-0.6258937653353132,0.027874920366893857,2048.0,0.28648610456017465,0.019889143016057362,smooth_fraction
204,0.02178433543560814,-0.34961964278757746,0.018186914719364598,2048.0,0.2038650416183707,0.014479238593191574,smooth_fraction
207,0.029509056982666076,-0.6193299936224118,0.0396457086707163,2048.0,0.3714215833194624,0.02492043678441671,smooth_fraction
208,0.01964657504587483,-0.7929707088120921,0.0071568974189851805,2048.0,-0.02869312791784462,0.007362251192123014,smooth_fraction
209,0.016224574305177843,-0.6587710104060139,0.02312517113392691,2048.0,0.27605611641988337,0.016741326199149857,smooth_fraction
213,0.0430435708294744,-0.4023022178603781,0.037653276420602774,2048.0,0.3032193851488495,0.02623607309550793,smooth_fraction
227,0.03330577465103887,-0.4287650345036859,0.045439674804585835,2048.0,0.39330296966489253,0.02756811576333523,smooth_fraction
234,0.03133064587950407,-0.39466583997301347,0.0374345860115884,2048.0,0.30533282347751656,0.02600457816895817,smooth_fraction
236,0.03736826134749958,-0.3691116818748802,0.039442963601043914,2048.0,0.20524456933207702,0.031347509523566866,smooth_fraction
240,0.042253673330592344,-0.3155675145642246,0.011486741044103924,2048.0,0.06421539216553385,0.010749115463252856,smooth_fraction
241,0.018556537158156923,-0.7000532227776782,0.012400990465033804,2048.0,0.08387995696267714,0.011360795918532198,smooth_fraction
242,0.020067812863948785,-0.7560450754014395,0.029355357376258943,2048.0,0.22807033751092043,0.02266027111170188,smooth_fraction
248,0.024054379178987575,-0.7064321604245327,0.025697196503696864,2048.0,0.21374900041927503,0.02020444643745397,smooth_fraction
255,0.020463616484723345,-0.43383836502430356,0.054029510066590104,2048.0,0.4317832045759241,0.03070047506837068,smooth_fraction
263,0.026628450992203866,-0.5128250325032225,0.011954541499332505,2048.0,0.11753013283544167,0.010549522648929156,smooth_fraction
