estimator,target,cell,fixture,condition,q_top_precision,q_top_recall,q_top_jaccard,q_p_high_above_low,q_roc_auc_top_bottom,q_chance_precision,q_chance_roc_auc,q_n_high,q_n_low
Q K_H vs T2,K_H_T2,F4_S0_N2,F4,moderate normal noise,0.3125,0.3125,0.18518518518518517,0.58203125,0.58203125,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F4_S0_N2,F4,moderate normal noise,0.5,0.5,0.3333333333333333,0.75390625,0.75390625,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F4_S0_N2,F4,moderate normal noise,0.3125,0.3125,0.18518518518518517,0.5703125,0.5703125,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F4_S0_N2,F4,moderate normal noise,0.3125,0.3125,0.18518518518518517,0.6640625,0.6640625,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N2,F4,moderate normal noise,0.3125,0.3125,0.18518518518518517,0.6640625,0.6640625,0.25,0.5,16,16
D-full,H_E_norm,F4_S0_N3,F4,moderate isotropic noise,0.3125,0.3125,0.18518518518518517,0.61328125,0.61328125,0.25,0.5,16,16
D-full residualized,H_S_from_HE,F4_S0_N3,F4,moderate isotropic noise,0.3125,0.3125,0.18518518518518517,0.63671875,0.63671875,0.25,0.5,16,16
D-residual,H_S_norm,F4_S0_N3,F4,moderate isotropic noise,0.75,0.75,0.6,0.9375,0.9375,0.25,0.5,16,16
D-residual Scal,Scal,F4_S0_N3,F4,moderate isotropic noise,0.8125,0.8125,0.6842105263157895,0.9453125,0.9453125,0.25,0.5,16,16
Q K_H vs T2,K_H_T2,F4_S0_N3,F4,moderate isotropic noise,0.375,0.375,0.23076923076923078,0.71875,0.71875,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F4_S0_N3,F4,moderate isotropic noise,0.375,0.375,0.23076923076923078,0.6953125,0.6953125,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F4_S0_N3,F4,moderate isotropic noise,0.375,0.375,0.23076923076923078,0.72265625,0.72265625,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F4_S0_N3,F4,moderate isotropic noise,0.5,0.5,0.3333333333333333,0.6875,0.6875,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N3,F4,moderate isotropic noise,0.5,0.5,0.3333333333333333,0.6875,0.6875,0.25,0.5,16,16
D-full,H_E_norm,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.4375,0.4375,0.28,0.74609375,0.74609375,0.25,0.5,16,16
D-full residualized,H_S_from_HE,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.4375,0.4375,0.28,0.666015625,0.666015625,0.25,0.5,16,16
D-residual,H_S_norm,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.875,0.875,0.7777777777777778,0.96875,0.96875,0.25,0.5,16,16
D-residual Scal,Scal,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.8125,0.8125,0.6842105263157895,0.94921875,0.94921875,0.25,0.5,16,16
Q K_H vs T2,K_H_T2,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.3125,0.3125,0.18518518518518517,0.5390625,0.5390625,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.3125,0.3125,0.18518518518518517,0.50390625,0.50390625,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.25,0.25,0.14285714285714285,0.56640625,0.56640625,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.375,0.375,0.23076923076923078,0.65625,0.65625,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.375,0.375,0.23076923076923078,0.65625,0.65625,0.25,0.5,16,16
D-full,H_E_norm,F0_S0_N0,F0,F0_S0_N0,0.5,0.20512820512820512,0.1702127659574468,0.37333333333333335,0.37333333333333335,0.25,0.5,39,25
D-full residualized,H_S_from_HE,F0_S0_N0,F0,F0_S0_N0,1.0,0.25,0.25,0.4935344827586207,0.4935344827586207,0.25,0.5,64,58
D-residual,H_S_norm,F0_S0_N0,F0,F0_S0_N0,0.25,0.25,0.14285714285714285,0.52734375,0.52734375,0.25,0.5,16,16
D-residual Scal,Scal,F0_S0_N0,F0,F0_S0_N0,1.0,0.25,0.25,0.5,0.5,0.25,0.5,64,64
Q K_H vs T2,K_H_T2,F0_S0_N0,F0,F0_S0_N0,0.0,0.0,0.0,0.20703125,0.20703125,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F0_S0_N0,F0,F0_S0_N0,0.125,0.125,0.06666666666666667,0.2421875,0.2421875,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F0_S0_N0,F0,F0_S0_N0,0.0625,0.0625,0.03225806451612903,0.2421875,0.2421875,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F0_S0_N0,F0,F0_S0_N0,0.125,0.125,0.06666666666666667,0.43359375,0.43359375,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F0_S0_N0,F0,F0_S0_N0,0.125,0.125,0.06666666666666667,0.43359375,0.43359375,0.25,0.5,16,16
D-full,H_E_norm,F1_S0_N0,F1,F1_S0_N0,0.875,0.3111111111111111,0.2978723404255319,0.5859649122807018,0.5859649122807018,0.25,0.5,45,19
D-full residualized,H_S_from_HE,F1_S0_N0,F1,F1_S0_N0,0.875,0.3111111111111111,0.2978723404255319,0.5859649122807018,0.5859649122807018,0.25,0.5,45,19
D-residual,H_S_norm,F1_S0_N0,F1,F1_S0_N0,0.75,0.3870967741935484,0.34285714285714286,0.6050830889540567,0.6050830889540567,0.25,0.5,31,33
D-residual Scal,Scal,F1_S0_N0,F1,F1_S0_N0,0.9375,0.36585365853658536,0.35714285714285715,0.6214209968186638,0.6214209968186638,0.25,0.5,41,23
Q K_H vs T2,K_H_T2,F1_S0_N0,F1,F1_S0_N0,0.3125,0.3125,0.18518518518518517,0.44140625,0.44140625,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F1_S0_N0,F1,F1_S0_N0,0.3125,0.3125,0.18518518518518517,0.4453125,0.4453125,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F1_S0_N0,F1,F1_S0_N0,0.0,0.0,0.0,0.38671875,0.38671875,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F1_S0_N0,F1,F1_S0_N0,0.375,0.3,0.2,0.5289473684210526,0.5289473684210526,0.25,0.5,20,19
Q K_H vs pointwise H_S2,H_S2_pw,F1_S0_N0,F1,F1_S0_N0,0.4375,0.22580645161290322,0.175,0.4916911045943304,0.4916911045943304,0.25,0.5,31,33
D-full,H_E_norm,F2_S0_N0,F2,F2_S0_N0,0.625,0.3125,0.2631578947368421,0.5087890625,0.5087890625,0.25,0.5,32,32
D-full residualized,H_S_from_HE,F2_S0_N0,F2,F2_S0_N0,1.0,0.25,0.25,0.5020491803278688,0.5020491803278688,0.25,0.5,64,61
D-residual,H_S_norm,F2_S0_N0,F2,F2_S0_N0,0.25,0.25,0.14285714285714285,0.4140625,0.4140625,0.25,0.5,16,16
D-residual Scal,Scal,F2_S0_N0,F2,F2_S0_N0,1.0,0.25,0.25,0.5,0.5,0.25,0.5,64,64
Q K_H vs T2,K_H_T2,F2_S0_N0,F2,F2_S0_N0,0.1875,0.1875,0.10344827586206896,0.42578125,0.42578125,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F2_S0_N0,F2,F2_S0_N0,0.3125,0.3125,0.18518518518518517,0.5859375,0.5859375,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F2_S0_N0,F2,F2_S0_N0,0.25,0.25,0.14285714285714285,0.53125,0.53125,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F2_S0_N0,F2,F2_S0_N0,0.375,0.375,0.23076923076923078,0.61328125,0.61328125,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F2_S0_N0,F2,F2_S0_N0,0.3125,0.3125,0.18518518518518517,0.55078125,0.55078125,0.25,0.5,16,16
D-full,H_E_norm,F0_S3_N4,F0,F0_S3_N4,0.4375,0.1794871794871795,0.14583333333333334,0.4348717948717949,0.4348717948717949,0.25,0.5,39,25
D-full residualized,H_S_from_HE,F0_S3_N4,F0,F0_S3_N4,1.0,0.25,0.25,0.5036368534482759,0.5036368534482759,0.25,0.5,64,58
D-residual,H_S_norm,F0_S3_N4,F0,F0_S3_N4,0.4375,0.4375,0.28,0.53125,0.53125,0.25,0.5,16,16
D-residual Scal,Scal,F0_S3_N4,F0,F0_S3_N4,1.0,0.25,0.25,0.5,0.5,0.25,0.5,64,64
Q K_H vs T2,K_H_T2,F0_S3_N4,F0,F0_S3_N4,0.3125,0.3125,0.18518518518518517,0.49609375,0.49609375,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F0_S3_N4,F0,F0_S3_N4,0.3125,0.3125,0.18518518518518517,0.578125,0.578125,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F0_S3_N4,F0,F0_S3_N4,0.25,0.25,0.14285714285714285,0.3671875,0.3671875,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F0_S3_N4,F0,F0_S3_N4,0.1875,0.1875,0.10344827586206896,0.4765625,0.4765625,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F0_S3_N4,F0,F0_S3_N4,0.1875,0.1875,0.10344827586206896,0.4765625,0.4765625,0.25,0.5,16,16
D-full,H_E_norm,F2_S3_N4,F2,F2_S3_N4,0.4375,0.21875,0.17073170731707318,0.4794921875,0.4794921875,0.25,0.5,32,32
D-full residualized,H_S_from_HE,F2_S3_N4,F2,F2_S3_N4,1.0,0.25,0.25,0.5092213114754098,0.5092213114754098,0.25,0.5,64,61
D-residual,H_S_norm,F2_S3_N4,F2,F2_S3_N4,0.0,0.0,0.0,0.47265625,0.47265625,0.25,0.5,16,16
D-residual Scal,Scal,F2_S3_N4,F2,F2_S3_N4,1.0,0.25,0.25,0.5,0.5,0.25,0.5,64,64
Q K_H vs T2,K_H_T2,F2_S3_N4,F2,F2_S3_N4,0.3125,0.3125,0.18518518518518517,0.55078125,0.55078125,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F2_S3_N4,F2,F2_S3_N4,0.25,0.25,0.14285714285714285,0.30078125,0.30078125,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F2_S3_N4,F2,F2_S3_N4,0.375,0.375,0.23076923076923078,0.546875,0.546875,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F2_S3_N4,F2,F2_S3_N4,0.1875,0.1875,0.10344827586206896,0.4296875,0.4296875,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F2_S3_N4,F2,F2_S3_N4,0.1875,0.1875,0.10344827586206896,0.48828125,0.48828125,0.25,0.5,16,16
