global_scale_factor,median_est_over_truth,log_slope,rel_abs_err_calibrated,rel_sq_err_calibrated,spearman_test_raw,spearman_test_calibrated,n_train,n_test,estimator,target,cell,scope,global_scale_factor_applied
1.005007781342296,1.000370115391925,-0.28643704325905267,0.008054454751222895,6.487733926931422e-05,-0.22580645161290322,-0.22580645161290322,32,32,D-full,H_E_norm,F4_S0_N0,fit_on_clean_F4,
2.570617345138963,1.1238949111597034,-4.306638626589449,0.7948936957363494,0.6319267552497007,-0.17871850566350775,-0.17871850566350775,32,32,D-full residualized,H_S_from_HE,F4_S0_N0,fit_on_clean_F4,
1.020424254827753,0.9966697742387809,0.8890382655927086,0.0853056311990424,0.007281427520839513,0.912390029325513,0.912390029325513,32,32,D-residual,H_S_norm,F4_S0_N0,fit_on_clean_F4,
1.0000790113751137,1.000000603802666,0.7727718749348649,0.00027711674409018486,7.68018326779841e-08,0.9428152492668621,0.9428152492668621,32,32,D-residual Scal,Scal,F4_S0_N0,fit_on_clean_F4,
0.021143094257287227,0.010994323596116306,0.2655743544466392,0.7306811469350514,0.53520270360032,0.5267595307917888,0.5267595307917888,32,32,Q K_H vs T2,K_H_T2,F4_S0_N0,fit_on_clean_F4,
0.6434630059223523,0.5062399283450325,0.07254965662779872,0.3927671839133311,0.15648514608752434,0.013563049853372432,0.013563049853372432,32,32,Q K_dir vs T2,K_dir_T2,F4_S0_N0,fit_on_clean_F4,
0.015991461902212328,0.00741824322860952,0.27195618216558676,0.7106455613681857,0.5050771873067694,0.49010263929618764,0.49010263929618764,32,32,Q K_H vs T3,K_H_T3,F4_S0_N0,fit_on_clean_F4,
0.006947273404217768,0.003109879258755211,0.6478003253949924,0.6126543680816645,0.37604794827172994,0.48753665689149556,0.48753665689149556,32,32,Q K_H vs pointwise,K_H_pw,F4_S0_N0,fit_on_clean_F4,
0.006947273404217767,0.0031098792587552094,0.6478003253949928,0.6126543680816645,0.37604794827172994,0.48753665689149556,0.48753665689149556,32,32,Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N0,fit_on_clean_F4,
1.0007474201459114,1.0005609691621187,0.5605065218731005,0.013329361700515307,0.00017767198477920871,0.018328445747800584,0.018328445747800584,32,32,D-full,H_E_norm,F4_S1_N0,apply_clean_factor,1.005007781342296
1.1299843423362583,1.0514839455390965,1.680622626288754,1.0,1.0,-0.06926680267384588,-0.06926680267384588,32,32,D-full residualized,H_S_from_HE,F4_S1_N0,apply_clean_factor,2.570617345138963
0.9789239406996457,1.0324635731916239,0.738547134829851,0.13703536508759329,0.01878155460143085,0.782624633431085,0.782624633431085,32,32,D-residual,H_S_norm,F4_S1_N0,apply_clean_factor,1.020424254827753
1.0000442604321431,1.0002992087617812,0.6219709301405015,0.0007275192746810602,5.299905074377244e-07,0.7624633431085043,0.7624633431085043,32,32,D-residual Scal,Scal,F4_S1_N0,apply_clean_factor,1.0000790113751137
0.20025458101634272,0.19687635643340612,0.09198462222912815,0.961576504983385,0.9246568585220807,0.12133431085043987,0.12133431085043987,32,32,Q K_H vs T2,K_H_T2,F4_S1_N0,apply_clean_factor,0.021143094257287227
0.19299355853164524,0.25300293516863853,-0.1272762045511769,0.708878021120189,0.5030755873785477,-0.3350439882697947,-0.3350439882697947,32,32,Q K_dir vs T2,K_dir_T2,F4_S1_N0,apply_clean_factor,0.6434630059223523
0.14127446005746835,0.11059571384209191,0.15841366577630292,0.6834249706844291,0.4685905763333318,0.05168621700879765,0.05168621700879765,32,32,Q K_H vs T3,K_H_T3,F4_S1_N0,apply_clean_factor,0.015991461902212328
0.038973316261522624,0.0335420138284755,0.11057943476324308,0.608275656376289,0.3700382757328724,0.06598240469208211,0.06598240469208211,32,32,Q K_H vs pointwise,K_H_pw,F4_S1_N0,apply_clean_factor,0.006947273404217768
0.03897331626152259,0.03354201382847549,0.11057943476324293,0.6082756563762883,0.37003827573287174,0.06598240469208211,0.06598240469208211,32,32,Q K_H vs pointwise H_S2,H_S2_pw,F4_S1_N0,apply_clean_factor,0.006947273404217767
1.0033165453010455,0.9975344430318394,-0.561311020089271,0.00937318611457617,8.798160394523486e-05,-0.2320381231671554,-0.2320381231671554,32,32,D-full,H_E_norm,F4_S2_N0,apply_clean_factor,1.005007781342296
2.0818962873669924,0.2612476263620457,-7.934701091600824,1.0,1.0,-0.35065795126690036,-0.35065795126690036,32,32,D-full residualized,H_S_from_HE,F4_S2_N0,apply_clean_factor,2.570617345138963
1.0533730787022741,1.013122900386273,1.1336112019835312,0.10105984202308405,0.010225371093965877,0.8376099706744866,0.8376099706744866,32,32,D-residual,H_S_norm,F4_S2_N0,apply_clean_factor,1.020424254827753
1.000129744976566,1.000087940462004,1.0606987975795807,0.0005998233215879385,3.6081369858149493e-07,0.8845307917888563,0.8845307917888563,32,32,D-residual Scal,Scal,F4_S2_N0,apply_clean_factor,1.0000790113751137
0.010023372391024292,0.006021239063420328,0.16841702402556294,0.6346890618705974,0.40348651958402115,0.25146627565982405,0.25146627565982405,32,32,Q K_H vs T2,K_H_T2,F4_S2_N0,apply_clean_factor,0.021143094257287227
0.5812925657589844,0.5302280612407309,0.13048560168984422,0.3785940447892281,0.14371916726685932,0.23717008797653957,0.23717008797653957,32,32,Q K_dir vs T2,K_dir_T2,F4_S2_N0,apply_clean_factor,0.6434630059223523
