estimator,target,cell,fixture,sampling,noise,condition,n,mean,sd,median_abs,iqr,cv,r_iqr,tol,analytic_constant,rank_target_degenerate,spearman,kendall_tau,pairwise_acc,rank_rmse,pearson,rank_band,pair_band,q_top_precision,q_top_recall,q_top_jaccard,q_p_high_above_low,q_roc_auc_top_bottom,q_chance_precision,q_chance_roc_auc,q_n_high,q_n_low
D-full residualized,H_S_from_HE,F0_S0_N0,F0,S0,N0,F0_S0_N0,64,3.161013638317053e-08,9.90568363474389e-08,0.0,0.0,3.1336056744918483,0.0,1e-06,False,True,-0.0755326793251451,-0.06745592760094087,0.25862068965517243,20.027910213000258,-0.07577033310255388,degenerate_target,weak,1.0,0.25,0.25,0.4935344827586207,0.4935344827586207,0.25,0.5,64,58
D-residual,H_S_norm,F0_S0_N0,F0,S0,N0,F0_S0_N0,64,7.62382159837328e-15,2.181445885372187e-15,7.231099004867118e-15,1.7687390393850654e-15,0.0021649407632223336,0.0017560409335380524,1e-06,False,True,0.0619047619047619,0.0615079365079365,0.535899333826795,25.30316185775999,0.3737976441776929,degenerate_target,weak,0.25,0.25,0.14285714285714285,0.52734375,0.52734375,0.25,0.5,16,16
D-residual Scal,Scal,F0_S0_N0,F0,S0,N0,F0_S0_N0,64,240.0,0.0,240.0,0.0,0.0,0.0,0.024,False,True,,,,18.472953201911167,,degenerate_target,not_estimable,1.0,0.25,0.25,0.5,0.5,0.25,0.5,64,64
Q K_H vs T2,K_H_T2,F0_S0_N0,F0,S0,N0,F0_S0_N0,64,1.3406371176958678e-32,1.7072632899456596e-32,7.366777933534234e-33,8.848651737780054e-33,1.7072632899456596e-20,8.848651737780054e-21,1e-06,False,True,,,,29.8103379719184,,degenerate_target,not_estimable,0.0,0.0,0.0,0.20703125,0.20703125,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F0_S0_N0,F0,S0,N0,F0_S0_N0,64,3.135142676192095e-32,3.094528962751441e-32,2.0861050495984878e-32,2.0201737578587313e-32,3.094528962751441e-20,2.0201737578587315e-20,1e-06,False,True,,,,29.278298277051555,,degenerate_target,not_estimable,0.125,0.125,0.06666666666666667,0.2421875,0.2421875,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F0_S0_N0,F0,S0,N0,F0_S0_N0,64,3.6379944681935156e-32,2.2729213223571072e-32,2.864799025194482e-32,3.25304145796857e-32,2.2729213223571073e-20,3.25304145796857e-20,1e-06,False,True,,,,30.062435031114827,,degenerate_target,not_estimable,0.0625,0.0625,0.03225806451612903,0.2421875,0.2421875,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F0_S0_N0,F0,S0,N0,F0_S0_N0,64,2.4533987160556183e-31,1.5876253152676367e-31,2.0425754298814737e-31,1.018022620489467e-31,1.5876253152676366e-19,1.0180226204894671e-19,1e-06,False,True,,,,27.235087662792644,,degenerate_target,not_estimable,0.125,0.125,0.06666666666666667,0.43359375,0.43359375,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F0_S0_N0,F0,S0,N0,F0_S0_N0,64,2.453398716055618e-31,1.587625315267636e-31,2.0425754298814763e-31,1.0180226204894677e-31,1.5876253152676362e-19,1.0180226204894677e-19,1e-06,False,True,,,,27.235087662792644,,degenerate_target,not_estimable,0.125,0.125,0.06666666666666667,0.43359375,0.43359375,0.25,0.5,16,16
D-full,H_E_norm,F1_S0_N0,F1,S0,N0,F1_S0_N0,64,20.0,3.068589978470803e-15,20.0,3.552713678800501e-15,1.534294989235325e-16,1.7763568394001618e-16,0.002,True,True,0.14654801299552678,0.1051639465710649,0.5659640905542545,23.04225059537371,0.11741005720840265,degenerate_target,weak,0.875,0.3111111111111111,0.2978723404255319,0.5859649122807018,0.5859649122807018,0.25,0.5,45,19
D-full residualized,H_S_from_HE,F1_S0_N0,F1,S0,N0,F1_S0_N0,64,12.0,5.281867900766682e-15,12.0,5.329070518200751e-15,4.4015565839718677e-16,4.440892098500256e-16,0.0012000000000000001,False,True,0.14654801299552678,0.1051639465710649,0.5659640905542545,23.04225059537371,0.10998872350864038,degenerate_target,weak,0.875,0.3111111111111111,0.2978723404255319,0.5859649122807018,0.5859649122807018,0.25,0.5,45,19
D-residual,H_S_norm,F1_S0_N0,F1,S0,N0,F1_S0_N0,64,12.0,2.347233421472374e-15,11.999999999999998,1.7763568394002505e-15,1.9560278512268153e-16,1.4802973661667523e-16,0.0012000000000000001,False,True,0.2189059254277324,0.1619915371785278,0.5921644187540142,22.72199512586868,0.2035136170303658,degenerate_target,weak,0.75,0.3870967741935484,0.34285714285714286,0.6050830889540567,0.6050830889540567,0.25,0.5,31,33
D-residual Scal,Scal,F1_S0_N0,F1,S0,N0,F1_S0_N0,64,375.0,5.729278094338152e-14,375.0,5.684341886080802e-14,1.527807491823503e-16,1.5158245029548762e-16,0.0375,False,True,0.23663935207125086,0.18446900030920155,0.6220677671589921,21.452709619066773,0.22267525942031174,degenerate_target,weak,0.9375,0.36585365853658536,0.35714285714285715,0.6214209968186638,0.6214209968186638,0.25,0.5,41,23
Q K_H vs T2,K_H_T2,F1_S0_N0,F1,S0,N0,F1_S0_N0,64,0.16950494065857136,0.06599642432332453,0.18741794669130363,0.07672622386572053,0.38934808664881204,0.4093856816801382,1.8741794669130364e-05,False,False,-0.08539377289377288,-0.06448412698412698,0.4677579365079365,27.217296890029324,-0.097871253417566,weak,weak,0.3125,0.3125,0.18518518518518517,0.44140625,0.44140625,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F1_S0_N0,F1,S0,N0,F1_S0_N0,64,0.1829868015362977,0.05566356068302972,0.196669659361269,0.06142626393684661,0.3041944020846988,0.3123321824832082,1.9666965936126902e-05,False,False,-0.04130036630036629,-0.04563492063492063,0.4771825396825397,26.65872277510684,-0.09805426086122292,weak,weak,0.3125,0.3125,0.18518518518518517,0.4453125,0.4453125,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F1_S0_N0,F1,S0,N0,F1_S0_N0,64,0.2940210604411254,0.019762230777993627,0.2952936021836426,0.02585616079716002,0.06721365724032409,0.08756085674010831,2.952936021836426e-05,False,False,-0.17010073260073258,-0.0992063492063492,0.4503968253968254,28.259401090610538,-0.19846605223340458,weak,weak,0.0,0.0,0.0,0.38671875,0.38671875,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F1_S0_N0,F1,S0,N0,F1_S0_N0,64,0.5624999999999999,4.594631412399727e-16,0.5624999999999998,5.551115123125783e-16,8.16823362202944e-16,9.86864910776163e-16,5.624999999999999e-05,False,True,,,0.5124378109452736,24.80864264727113,,degenerate_target,weak,0.375,0.3,0.2,0.5289473684210526,0.5289473684210526,0.25,0.5,20,19
Q K_H vs pointwise H_S2,H_S2_pw,F1_S0_N0,F1,S0,N0,F1_S0_N0,64,0.5625,2.0934566115783667e-16,0.5624999999999999,1.1102230246251565e-16,3.721700642799369e-16,1.9737298215523255e-16,5.6250000000000005e-05,False,True,,,,25.811667662125203,,degenerate_target,not_estimable,0.4375,0.22580645161290322,0.175,0.4916911045943304,0.4916911045943304,0.25,0.5,31,33
D-full,H_E_norm,F2_S0_N0,F2,S0,N0,F2_S0_N0,64,16.0,1.9638363766907457e-15,16.0,1.7763568394002505e-15,1.2273977354316394e-16,1.1102230246250873e-16,0.0016,True,True,0.03546145770483731,0.03404603217224131,0.5208643815201193,24.788480187377363,-0.03474680422488825,degenerate_target,weak,0.625,0.3125,0.2631578947368421,0.5087890625,0.5087890625,0.25,0.5,32,32
D-full residualized,H_S_from_HE,F2_S0_N0,F2,S0,N0,F2_S0_N0,64,1.5805068191585264e-08,7.183239990667936e-08,0.0,0.0,4.544609009400645,0.0,1e-06,False,True,0.034221682739866,0.030337000856010633,0.45901639344262296,18.340528890956225,0.005438256583096815,degenerate_target,weak,1.0,0.25,0.25,0.5020491803278688,0.5020491803278688,0.25,0.5,64,61
D-residual,H_S_norm,F2_S0_N0,F2,S0,N0,F2_S0_N0,64,7.587694221467885e-15,1.2920601595234628e-15,7.462975680770538e-15,1.6231293613272618e-15,0.0012823302298484282,0.0016111057185307165,1e-06,False,True,-0.05718864468864469,-0.04265873015873015,0.48045178105994785,26.861333734570962,0.008581020146407728,degenerate_target,weak,0.25,0.25,0.14285714285714285,0.4140625,0.4140625,0.25,0.5,16,16
D-residual Scal,Scal,F2_S0_N0,F2,S0,N0,F2_S0_N0,64,224.0,0.0,224.0,0.0,0.0,0.0,0.0224,False,True,,,,18.472953201911167,,degenerate_target,not_estimable,1.0,0.25,0.25,0.5,0.5,0.25,0.5,64,64
Q K_H vs T2,K_H_T2,F2_S0_N0,F2,S0,N0,F2_S0_N0,64,0.046853688498818054,0.19397661262627552,0.0015472535863565542,0.008184907049925949,4.140049990451207,5.289958360290291,4.685368849881805e-06,False,False,-0.10132783882783881,-0.05952380952380952,0.47023809523809523,27.416350048830353,0.05205381946810157,weak,weak,0.1875,0.1875,0.10344827586206896,0.42578125,0.42578125,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F2_S0_N0,F2,S0,N0,F2_S0_N0,64,0.10419322872668463,0.28402880667622016,0.03135013979954775,0.028276672952750038,2.725981430314889,0.9019632171546486,1.0419322872668463e-05,False,False,0.05082417582417582,0.03571428571428571,0.5178571428571429,25.452161008448773,-0.05759962036193028,weak,weak,0.3125,0.3125,0.18518518518518517,0.5859375,0.5859375,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F2_S0_N0,F2,S0,N0,F2_S0_N0,64,0.09581625458687473,0.6638713553187379,0.0010286326663847844,0.0041027361584806315,6.928588037323981,3.9885337969204375,9.581625458687474e-06,False,False,-0.013186813186813185,-0.018849206349206348,0.4905753968253968,26.296387584609413,0.09079069693413887,weak,weak,0.25,0.25,0.14285714285714285,0.53125,0.53125,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F2_S0_N0,F2,S0,N0,F2_S0_N0,64,3.67354312596728e-31,2.3692620369312553e-31,3.078009505686059e-31,1.3310709817766917e-31,2.3692620369312556e-19,1.3310709817766917e-19,1e-06,False,True,,,,24.747474618635334,,degenerate_target,not_estimable,0.375,0.375,0.23076923076923078,0.61328125,0.61328125,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F2_S0_N0,F2,S0,N0,F2_S0_N0,64,2.3131421240362352e-31,8.103614647785951e-32,2.1756334686069964e-31,9.430286173910309e-32,8.103614647785952e-20,9.43028617391031e-20,1e-06,False,True,,,,24.50446387905681,,degenerate_target,not_estimable,0.3125,0.3125,0.18518518518518517,0.55078125,0.55078125,0.25,0.5,16,16
D-full,H_E_norm,F0_S3_N4,F0,S3,N4,F0_S3_N4,64,16.0,2.087466737751964e-15,16.0,1.7763568394002505e-15,1.304666711094896e-16,1.1102230246250873e-16,0.0016,True,True,-0.07149223615347083,-0.05631981819858727,0.4648648648648649,25.90547722007838,-0.08696280920881103,degenerate_target,weak,0.4375,0.1794871794871795,0.14583333333333334,0.4348717948717949,0.4348717948717949,0.25,0.5,39,25
D-full residualized,H_S_from_HE,F0_S3_N4,F0,S3,N4,F0_S3_N4,64,3.161013638317053e-08,9.90568363474389e-08,0.0,0.0,3.1336056744918483,0.0,1e-06,False,True,0.0440536277772756,0.0399431010603904,0.3879310344827586,18.529748041999923,0.03627315467010581,degenerate_target,weak,1.0,0.25,0.25,0.5036368534482759,0.5036368534482759,0.25,0.5,64,58
D-residual,H_S_norm,F0_S3_N4,F0,S3,N4,F0_S3_N4,64,7.62382159837328e-15,2.181445885372187e-15,7.231099004867118e-15,1.7687390393850654e-15,0.0021649407632223336,0.0017560409335380524,1e-06,False,True,0.07568681318681318,0.06944444444444443,0.5255366395262768,25.116603074460528,-0.02703372480221401,degenerate_target,weak,0.4375,0.4375,0.28,0.53125,0.53125,0.25,0.5,16,16
D-residual Scal,Scal,F0_S3_N4,F0,S3,N4,F0_S3_N4,64,240.0,0.0,240.0,0.0,0.0,0.0,0.024,False,True,,,,18.472953201911167,,degenerate_target,not_estimable,1.0,0.25,0.25,0.5,0.5,0.25,0.5,64,64
Q K_H vs T2,K_H_T2,F0_S3_N4,F0,S3,N4,F0_S3_N4,64,1.2203565324244226e-32,1.6051947844227223e-32,5.896721143639115e-33,1.248055218758043e-32,1.6051947844227223e-20,1.248055218758043e-20,1e-06,False,True,,,,26.97684192043242,,degenerate_target,not_estimable,0.3125,0.3125,0.18518518518518517,0.49609375,0.49609375,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F0_S3_N4,F0,S3,N4,F0_S3_N4,64,3.2026775201276307e-32,3.7922932276955625e-32,1.8183260246834133e-32,2.731595656692556e-32,3.7922932276955627e-20,2.731595656692556e-20,1e-06,False,True,,,,24.51593869302173,,degenerate_target,not_estimable,0.3125,0.3125,0.18518518518518517,0.578125,0.578125,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F0_S3_N4,F0,S3,N4,F0_S3_N4,64,2.1793147861462351e-32,1.5492133970109514e-32,1.6362097433617623e-32,1.998114556177881e-32,1.5492133970109513e-20,1.998114556177881e-20,1e-06,False,True,,,,27.033543977806534,,degenerate_target,not_estimable,0.25,0.25,0.14285714285714285,0.3671875,0.3671875,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F0_S3_N4,F0,S3,N4,F0_S3_N4,64,2.4533987160556183e-31,1.5876253152676367e-31,2.0425754298814737e-31,1.018022620489467e-31,1.5876253152676366e-19,1.0180226204894671e-19,1e-06,False,True,,,,26.478765076944203,,degenerate_target,not_estimable,0.1875,0.1875,0.10344827586206896,0.4765625,0.4765625,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F0_S3_N4,F0,S3,N4,F0_S3_N4,64,2.453398716055618e-31,1.587625315267636e-31,2.0425754298814763e-31,1.0180226204894677e-31,1.5876253152676362e-19,1.0180226204894677e-19,1e-06,False,True,,,,26.478765076944203,,degenerate_target,not_estimable,0.1875,0.1875,0.10344827586206896,0.4765625,0.4765625,0.25,0.5,16,16
D-full,H_E_norm,F2_S3_N4,F2,S3,N4,F2_S3_N4,64,16.0,1.9638363766907457e-15,16.0,1.7763568394002505e-15,1.2273977354316394e-16,1.1102230246250873e-16,0.0016,True,True,0.01273858189397068,0.008511508043060327,0.5052160953800298,25.078003309673598,0.07689350528684077,degenerate_target,weak,0.4375,0.21875,0.17073170731707318,0.4794921875,0.4794921875,0.25,0.5,32,32
D-full residualized,H_S_from_HE,F2_S3_N4,F2,S3,N4,F2_S3_N4,64,1.5805068191585264e-08,7.183239990667936e-08,0.0,0.0,4.544609009400645,0.0,1e-06,False,True,0.15399757232939698,0.13651650385204786,0.6120218579234973,17.560609328835945,0.1952124457495524,degenerate_target,weak,1.0,0.25,0.25,0.5092213114754098,0.5092213114754098,0.25,0.5,64,61
D-residual,H_S_norm,F2_S3_N4,F2,S3,N4,F2_S3_N4,64,7.587694221467885e-15,1.2920601595234628e-15,7.462975680770538e-15,1.6231293613272618e-15,0.0012823302298484282,0.0016111057185307165,1e-06,False,True,-0.02289377289377289,-0.02380952380952381,0.48740225890529976,26.4220551812307,-0.06286317406093035,degenerate_target,weak,0.0,0.0,0.0,0.47265625,0.47265625,0.25,0.5,16,16
D-residual Scal,Scal,F2_S3_N4,F2,S3,N4,F2_S3_N4,64,224.0,0.0,224.0,0.0,0.0,0.0,0.0224,False,True,,,,18.472953201911167,,degenerate_target,not_estimable,1.0,0.25,0.25,0.5,0.5,0.25,0.5,64,64
Q K_H vs T2,K_H_T2,F2_S3_N4,F2,S3,N4,F2_S3_N4,64,0.15122988494754977,0.6366351620552223,0.0034337162793289713,0.021922141037854722,4.209717955361887,6.384377522232106,1.5122988494754978e-05,False,False,0.06382783882783882,0.04365079365079365,0.5218253968253969,25.277213058404996,0.0512794634734747,weak,weak,0.3125,0.3125,0.18518518518518517,0.55078125,0.55078125,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F2_S3_N4,F2,S3,N4,F2_S3_N4,64,0.25271309716391954,0.8987127397444606,0.024158666658177952,0.09552748306432995,3.5562570750259312,3.954170336136443,2.5271309716391957e-05,False,False,-0.18896520146520146,-0.11507936507936509,0.44246031746031744,28.486290562303825,-0.020301704001643557,weak,weak,0.25,0.25,0.14285714285714285,0.30078125,0.30078125,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F2_S3_N4,F2,S3,N4,F2_S3_N4,64,0.09131960245383292,0.6284245206642889,0.0010329268553154255,0.004837688560627714,6.881595011050453,4.68347640595224,9.131960245383292e-06,False,False,0.08905677655677655,0.05158730158730158,0.5257936507936508,24.934288640344242,0.10458351182040199,weak,weak,0.375,0.375,0.23076923076923078,0.546875,0.546875,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F2_S3_N4,F2,S3,N4,F2_S3_N4,64,3.67354312596728e-31,2.3692620369312553e-31,3.078009505686059e-31,1.3310709817766917e-31,2.3692620369312556e-19,1.3310709817766917e-19,1e-06,False,True,,,,28.357097876898475,,degenerate_target,not_estimable,0.1875,0.1875,0.10344827586206896,0.4296875,0.4296875,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F2_S3_N4,F2,S3,N4,F2_S3_N4,64,2.3131421240362352e-31,8.103614647785951e-32,2.1756334686069964e-31,9.430286173910309e-32,8.103614647785952e-20,9.43028617391031e-20,1e-06,False,True,,,,26.931046210646922,,degenerate_target,not_estimable,0.1875,0.1875,0.10344827586206896,0.48828125,0.48828125,0.25,0.5,16,16
