estimator,target,cell,n,mean,sd,median_abs,iqr,cv,r_iqr,tol,analytic_constant,rank_target_degenerate
D-full residualized,H_S_from_HE,F0_S0_N0,64,3.161013638317053e-08,9.90568363474389e-08,0.0,0.0,3.1336056744918483,0.0,1e-06,False,True
D-residual,H_S_norm,F0_S0_N0,64,7.62382159837328e-15,2.181445885372187e-15,7.231099004867118e-15,1.7687390393850654e-15,0.0021649407632223336,0.0017560409335380524,1e-06,False,True
D-residual Scal,Scal,F0_S0_N0,64,240.0,0.0,240.0,0.0,0.0,0.0,0.024,False,True
Q K_H vs T2,K_H_T2,F0_S0_N0,64,1.3406371176958678e-32,1.7072632899456596e-32,7.366777933534234e-33,8.848651737780054e-33,1.7072632899456596e-20,8.848651737780054e-21,1e-06,False,True
Q K_dir vs T2,K_dir_T2,F0_S0_N0,64,3.135142676192095e-32,3.094528962751441e-32,2.0861050495984878e-32,2.0201737578587313e-32,3.094528962751441e-20,2.0201737578587315e-20,1e-06,False,True
Q K_H vs T3,K_H_T3,F0_S0_N0,64,3.6379944681935156e-32,2.2729213223571072e-32,2.864799025194482e-32,3.25304145796857e-32,2.2729213223571073e-20,3.25304145796857e-20,1e-06,False,True
Q K_H vs pointwise,K_H_pw,F0_S0_N0,64,2.4533987160556183e-31,1.5876253152676367e-31,2.0425754298814737e-31,1.018022620489467e-31,1.5876253152676366e-19,1.0180226204894671e-19,1e-06,False,True
Q K_H vs pointwise H_S2,H_S2_pw,F0_S0_N0,64,2.453398716055618e-31,1.587625315267636e-31,2.0425754298814763e-31,1.0180226204894677e-31,1.5876253152676362e-19,1.0180226204894677e-19,1e-06,False,True
D-full,H_E_norm,F1_S0_N0,64,20.0,3.068589978470803e-15,20.0,3.552713678800501e-15,1.534294989235325e-16,1.7763568394001618e-16,0.002,True,True
D-full residualized,H_S_from_HE,F1_S0_N0,64,12.0,5.281867900766682e-15,12.0,5.329070518200751e-15,4.4015565839718677e-16,4.440892098500256e-16,0.0012000000000000001,False,True
D-residual,H_S_norm,F1_S0_N0,64,12.0,2.347233421472374e-15,11.999999999999998,1.7763568394002505e-15,1.9560278512268153e-16,1.4802973661667523e-16,0.0012000000000000001,False,True
D-residual Scal,Scal,F1_S0_N0,64,375.0,5.729278094338152e-14,375.0,5.684341886080802e-14,1.527807491823503e-16,1.5158245029548762e-16,0.0375,False,True
Q K_H vs T2,K_H_T2,F1_S0_N0,64,0.16950494065857136,0.06599642432332453,0.18741794669130363,0.07672622386572053,0.38934808664881204,0.4093856816801382,1.8741794669130364e-05,False,False
Q K_dir vs T2,K_dir_T2,F1_S0_N0,64,0.1829868015362977,0.05566356068302972,0.196669659361269,0.06142626393684661,0.3041944020846988,0.3123321824832082,1.9666965936126902e-05,False,False
Q K_H vs T3,K_H_T3,F1_S0_N0,64,0.2940210604411254,0.019762230777993627,0.2952936021836426,0.02585616079716002,0.06721365724032409,0.08756085674010831,2.952936021836426e-05,False,False
Q K_H vs pointwise,K_H_pw,F1_S0_N0,64,0.5624999999999999,4.594631412399727e-16,0.5624999999999998,5.551115123125783e-16,8.16823362202944e-16,9.86864910776163e-16,5.624999999999999e-05,False,True
Q K_H vs pointwise H_S2,H_S2_pw,F1_S0_N0,64,0.5625,2.0934566115783667e-16,0.5624999999999999,1.1102230246251565e-16,3.721700642799369e-16,1.9737298215523255e-16,5.6250000000000005e-05,False,True
D-full,H_E_norm,F2_S0_N0,64,16.0,1.9638363766907457e-15,16.0,1.7763568394002505e-15,1.2273977354316394e-16,1.1102230246250873e-16,0.0016,True,True
D-full residualized,H_S_from_HE,F2_S0_N0,64,1.5805068191585264e-08,7.183239990667936e-08,0.0,0.0,4.544609009400645,0.0,1e-06,False,True
D-residual,H_S_norm,F2_S0_N0,64,7.587694221467885e-15,1.2920601595234628e-15,7.462975680770538e-15,1.6231293613272618e-15,0.0012823302298484282,0.0016111057185307165,1e-06,False,True
D-residual Scal,Scal,F2_S0_N0,64,224.0,0.0,224.0,0.0,0.0,0.0,0.0224,False,True
Q K_H vs T2,K_H_T2,F2_S0_N0,64,0.046853688498818054,0.19397661262627552,0.0015472535863565542,0.008184907049925949,4.140049990451207,5.289958360290291,4.685368849881805e-06,False,False
Q K_dir vs T2,K_dir_T2,F2_S0_N0,64,0.10419322872668463,0.28402880667622016,0.03135013979954775,0.028276672952750038,2.725981430314889,0.9019632171546486,1.0419322872668463e-05,False,False
Q K_H vs T3,K_H_T3,F2_S0_N0,64,0.09581625458687473,0.6638713553187379,0.0010286326663847844,0.0041027361584806315,6.928588037323981,3.9885337969204375,9.581625458687474e-06,False,False
Q K_H vs pointwise,K_H_pw,F2_S0_N0,64,3.67354312596728e-31,2.3692620369312553e-31,3.078009505686059e-31,1.3310709817766917e-31,2.3692620369312556e-19,1.3310709817766917e-19,1e-06,False,True
Q K_H vs pointwise H_S2,H_S2_pw,F2_S0_N0,64,2.3131421240362352e-31,8.103614647785951e-32,2.1756334686069964e-31,9.430286173910309e-32,8.103614647785952e-20,9.43028617391031e-20,1e-06,False,True
D-full,H_E_norm,F0_S3_N4,64,16.0,2.087466737751964e-15,16.0,1.7763568394002505e-15,1.304666711094896e-16,1.1102230246250873e-16,0.0016,True,True
D-full residualized,H_S_from_HE,F0_S3_N4,64,3.161013638317053e-08,9.90568363474389e-08,0.0,0.0,3.1336056744918483,0.0,1e-06,False,True
D-residual,H_S_norm,F0_S3_N4,64,7.62382159837328e-15,2.181445885372187e-15,7.231099004867118e-15,1.7687390393850654e-15,0.0021649407632223336,0.0017560409335380524,1e-06,False,True
