cell,fixture,sampling,noise,anchor_i,sample_id,K_H_T2,K_dir_T2,K_H_T3,K_dir_T3,K_H_pw,K_dir_pw,q_n_eff,q_design_cond,radius_lat,s_x,rms_eps
F1_S0_N0,F1,S0,N0,13,100035,0.0747475200424748,0.09661262585288237,0.25439297009803746,0.26099908472472916,0.5625000000000003,0.5625000000000004,1024,293.5562656661429,1.4103598958389896,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,14,100208,0.22247077965056694,0.22823731639678982,0.288403924052805,0.2940910436612482,0.5624999999999999,0.5624999999999999,1024,80.80007986133276,0.9974421755838143,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,15,100052,0.21154995518444095,0.21810887059950473,0.2929798082945561,0.29905169244089286,0.5625000000000014,0.5625000000000013,1024,89.5916009622606,1.0235732309268522,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,16,100134,0.12589961296797422,0.14048656115534935,0.28227901814327805,0.29170344437086,0.5624999999999996,0.5624999999999996,1024,271.8810131724774,1.3127445369867967,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,17,100222,0.16985537589620386,0.17939402228808318,0.28846866287692535,0.29715103040336444,0.5624999999999998,0.5624999999999998,1024,133.33522680965802,1.1670624369059146,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,18,100221,0.07387636508452539,0.09560136324653168,0.24870398970744031,0.25432638366178084,0.5625000000000004,0.5625000000000004,1024,337.38474391588807,1.4399493173840345,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,19,100230,0.23626656996806933,0.24063370498595177,0.29518880894724003,0.29818796640124745,0.5625000000000006,0.5625000000000006,1024,63.657459651464386,0.8980453915813672,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,20,100214,0.23057526237070103,0.2358395851053804,0.2833935769983187,0.28637100658261483,0.5625,0.5625,1024,85.05293387349535,0.983570650454517,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,21,100046,0.17218200685361765,0.1818298949467734,0.2953625853241132,0.3047377864009772,0.5624999999999998,0.5624999999999998,1024,145.12237941472026,1.1771875065680075,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,22,100253,0.17583622446076486,0.18552116785906508,0.30651463314876465,0.3162857027209969,0.5624999999999999,0.5624999999999999,1024,127.10565541283088,1.1735225281735027,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,23,100147,0.24522491454167747,0.24884258963944916,0.3096822264376902,0.3120941083470024,0.5624999999999992,0.5624999999999992,1024,59.99172291709444,0.8581862006608101,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,24,100139,0.23739570760306056,0.24157210552937228,0.2875374559596446,0.29076719112164584,0.5624999999999993,0.5624999999999993,1024,63.18813890233191,0.893640206049287,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,25,100014,0.18433903814509248,0.19322148360172212,0.28113816603294833,0.28598793301451125,0.5624999999999997,0.5624999999999996,1024,140.59445807334492,1.14258934820813,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,26,100108,0.2494770144905346,0.2522380757642999,0.32228351266916844,0.3268011412365337,0.5624999999999993,0.5624999999999993,1024,50.901275350430545,0.8171239909271455,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,27,100084,0.22380889814978738,0.22969190815717852,0.30470903034650154,0.30795421635225545,0.5624999999999996,0.5624999999999996,1024,75.9485129647474,0.9753054559834958,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,28,100236,0.0012678740200330954,0.05219476591554424,0.3043972084508016,0.3128703694396509,0.5624999999999999,0.5624999999999999,1024,632.9264153978206,1.7189833213135302,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,29,100189,0.19220396173008805,0.20073999133526263,0.32340079263287347,0.3291900683406314,0.5625000000000006,0.5625000000000006,1024,111.11189203054221,1.094249292076182,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,30,100184,0.20611899679552975,0.21345180169273387,0.2851915172381261,0.29194839593810545,0.5624999999999996,0.5624999999999996,1024,101.23671447063064,1.05561230623001,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,31,100204,0.12143287242660507,0.20789254430517523,0.27902051488684737,0.2887547220516063,0.5625000000000002,0.5625000000000002,1024,962.271358774948,1.8814988474106167,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,32,100252,0.09473706536124187,0.11242776088115616,0.27868770699507406,0.28507718064606136,0.5624999999999998,0.5624999999999998,1024,254.55648511774473,1.3619645555955748,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,33,100081,0.2220237129266016,0.22792639456511365,0.2897892638546946,0.2935289000775191,0.5624999999999999,0.5624999999999999,1024,81.9647560284825,0.9845984041234607,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,34,100176,0.21636447763228367,0.22296622617726916,0.33393276124725857,0.34566899132256257,0.5625,0.5625,1024,99.55035308083534,1.0518066551470548,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,35,100168,0.16974214900822163,0.17993219669313998,0.3016076290703541,0.3139679593957309,0.5624999999999992,0.5624999999999992,1024,161.59541852974502,1.191401544396128,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,36,100038,0.22711043689680638,0.2331456603569167,0.28716859970128344,0.29171225976840837,0.5624999999999989,0.5624999999999989,1024,72.18760660743533,0.9535741005483072,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,37,100135,0.08814563220804084,0.10608638607497138,0.30467043298556595,0.3209110543592467,0.5625,0.5625,1024,256.3544508700619,1.387797561186059,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,38,100106,0.16951330561240258,0.17994393749571413,0.318303806284793,0.3288211049123945,0.5625000000000001,0.5625000000000001,1024,151.58247582676407,1.1879029044344622,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,39,100065,0.14739250462678527,0.1600789937944036,0.30874384965310436,0.3157046290677849,0.5625000000000003,0.5625000000000003,1024,173.44317885015334,1.241451233455781,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,40,100092,0.18692070238156913,0.19534578332877664,0.2722560609924686,0.2763433960294757,0.5624999999999994,0.5624999999999996,1024,117.4476718080889,1.1138547873101579,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,41,100238,0.19458663632628406,0.20267213118570165,0.29410757534405346,0.30193489500745285,0.5624999999999998,0.5624999999999998,1024,122.94557156848786,1.1065694827302186,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,42,100112,0.19986077177443065,0.2073143087011753,0.2995744659540155,0.3074341344196539,0.5625,0.5625,1024,111.57474493422458,1.0748985818210528,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,43,100071,0.23181367628518948,0.2370561979803848,0.30687686284008564,0.31276076446562573,0.5624999999999996,0.5624999999999996,1024,73.92530658085153,0.9450920938125791,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,44,100045,0.20443180789868032,0.21185712107889268,0.33630817957335957,0.34996596078425835,0.5625000000000003,0.5625000000000003,1024,108.07324061827916,1.0545641423063916,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,45,100215,0.22802847127151404,0.23294986527172248,0.31348119828723187,0.3196355557924833,0.5625000000000001,0.5625000000000001,1024,78.0351540121988,0.9610633593649749,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,46,100072,0.15544542543567733,0.16645370313607077,0.28362402300081957,0.2937383120851134,0.5625000000000003,0.5625000000000004,1024,188.71918030035582,1.2344950082669532,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,47,100120,0.20462232498656768,0.21224344181020272,0.2902525689980355,0.2965698973600082,0.5625000000000003,0.5625000000000003,1024,110.8271737231771,1.0647403120859518,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,48,100037,0.03381546933930513,0.09728116533812917,0.31984181253916194,0.3289819014901497,0.5624999999999999,0.5624999999999999,1024,745.7601489415972,1.7849593950337739,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,49,100026,0.21560397286101504,0.22194381198218197,0.3130634157430285,0.3222566637952594,0.5624999999999992,0.5624999999999992,1024,108.77196870886792,1.028695619277768,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,50,100021,0.1888662261345727,0.19708180023238972,0.3026219112349003,0.3114601951811971,0.5624999999999992,0.5624999999999992,1024,133.00414768486166,1.1297933786805394,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,51,100033,0.020919542433690774,0.05234117270173565,0.30337083293697387,0.3211312812591417,0.5625000000000001,0.5625000000000001,1024,440.9397808685633,1.5549261369504894,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,52,100223,0.16132935494976394,0.17212729630921186,0.296711261593249,0.3106241485476764,0.5624999999999998,0.5624999999999998,1024,158.72434811237534,1.2177780868429722,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,53,100036,0.13280196252104537,0.14708498785864255,0.26986517045379266,0.2781784509421906,0.5624999999999999,0.5624999999999999,1024,214.99175247210576,1.3157507889655746,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,54,100217,0.12281026220233479,0.13651385664138316,0.2981931662550656,0.3112632723152948,0.5624999999999997,0.5624999999999997,1024,206.16665343048848,1.3077661714756577,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,55,100023,0.1753401128127529,0.18488391029727702,0.3246314653490666,0.3383173137825936,0.5624999999999997,0.5624999999999996,1024,135.5731172681385,1.1846477723906115,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,56,100060,0.16906790793757415,0.1790041056994649,0.295224619043172,0.30035575364972567,0.5624999999999997,0.5624999999999997,1024,141.03168512443852,1.1813439518883033,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,57,100246,0.23321209591140404,0.23791943968951657,0.30691883216880755,0.3124457716968256,0.5624999999999998,0.5624999999999998,1024,63.76060471803479,0.8913081494048858,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,58,100241,0.20357039478892222,0.21110475325483435,0.276583461495279,0.28174063861318616,0.5624999999999992,0.5624999999999992,1024,104.36379508428095,1.0533171505089993,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,59,100039,0.00857140088875957,0.06711947275633047,0.2510965119001214,0.2575582643841666,0.5625000000000001,0.5625000000000001,1024,762.9655909920298,1.7520270621622394,0.7999234138894432,0.0
