estimator_target,target,cell,fixture,condition,spearman,kendall_tau,pairwise_acc,r_retained,delta_rho,rank_target_degenerate,rank_band
D-full residualized,H_S_from_HE,F4_S0_N2,F4,moderate normal noise,-0.01104815506730009,0.0,0.4479166666666667,,0.0232260408921969,False,weak
D-residual,H_S_norm,F4_S0_N2,F4,moderate normal noise,0.7308150183150182,0.5863095238095237,0.7931547619047619,0.8919749636749746,-0.08850732600732614,False,moderate
D-residual Scal,Scal,F4_S0_N2,F4,moderate normal noise,0.7701465201465202,0.6438492063492063,0.8219246031746031,0.8936825885978429,-0.09162087912087913,False,strong
Q K_H vs T2,K_H_T2,F4_S0_N2,F4,moderate normal noise,0.15274725274725273,0.10714285714285714,0.5535714285714286,0.29194014176949334,-0.37046703296703287,False,weak
Q K_dir vs T2,K_dir_T2,F4_S0_N2,F4,moderate normal noise,0.37715201465201464,0.27777777777777773,0.6388888888888888,2.269771286855883,0.210989010989011,False,weak
Q K_H vs T3,K_H_T3,F4_S0_N2,F4,moderate normal noise,0.21117216117216114,0.14781746031746032,0.5739087301587301,0.48629270350063264,-0.22307692307692306,False,weak
Q K_H vs pointwise,K_H_pw,F4_S0_N2,F4,moderate normal noise,0.1927197802197802,0.14285714285714285,0.5714285714285714,0.4143940139805061,-0.27234432234432226,False,weak
Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N2,F4,moderate normal noise,0.1927197802197802,0.14285714285714285,0.5714285714285714,0.4143940139805061,-0.27234432234432226,False,weak
D-full,H_E_norm,F4_S0_N3,F4,moderate isotropic noise,0.16277472527472525,0.10813492063492063,0.5540674603174603,,0.24139194139194137,True,degenerate_target
D-full residualized,H_S_from_HE,F4_S0_N3,F4,moderate isotropic noise,0.18149319252199464,0.1279619826583191,0.43253968253968256,,0.21576738848149163,False,weak
D-residual,H_S_norm,F4_S0_N3,F4,moderate isotropic noise,0.7616758241758241,0.6279761904761905,0.8139880952380952,0.929641220520845,-0.057646520146520164,False,strong
D-residual Scal,Scal,F4_S0_N3,F4,moderate isotropic noise,0.7807692307692307,0.6646825396825397,0.8323412698412699,0.9060092449922956,-0.08099816849816865,False,strong
Q K_H vs T2,K_H_T2,F4_S0_N3,F4,moderate isotropic noise,0.3754578754578754,0.26884920634920634,0.6344246031746031,0.7175986698170999,-0.14775641025641023,False,weak
Q K_dir vs T2,K_dir_T2,F4_S0_N3,F4,moderate isotropic noise,0.22889194139194136,0.1626984126984127,0.5813492063492064,1.3775144667952604,0.0627289377289377,False,weak
Q K_H vs T3,K_H_T3,F4_S0_N3,F4,moderate isotropic noise,0.3363095238095238,0.2361111111111111,0.6180555555555556,0.7744622522142556,-0.09793956043956042,False,weak
Q K_H vs pointwise,K_H_pw,F4_S0_N3,F4,moderate isotropic noise,0.3674450549450549,0.26686507936507936,0.6334325396825397,0.7900955006399528,-0.09761904761904755,False,weak
Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N3,F4,moderate isotropic noise,0.3674450549450549,0.26686507936507936,0.6334325396825397,0.7900955006399528,-0.09761904761904755,False,weak
D-full,H_E_norm,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.3344322344322344,0.23115079365079363,0.6155753968253969,,0.4130494505494505,True,degenerate_target
D-full residualized,H_S_from_HE,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.2637635971528983,0.19835349756503895,0.373015873015873,,0.2980377931123953,False,weak
D-residual,H_S_norm,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.7369047619047618,0.5714285714285714,0.7857142857142857,0.8994076226668156,-0.08241758241758246,False,moderate
D-residual Scal,Scal,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.7635073260073258,0.5753968253968254,0.7876984126984127,0.8859784283513095,-0.09826007326007347,False,strong
Q K_H vs T2,K_H_T2,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.0695970695970696,0.04761904761904762,0.5238095238095238,0.13301829001487708,-0.45361721611721606,False,weak
Q K_dir vs T2,K_dir_T2,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,-0.04812271062271061,-0.03670634920634921,0.4816468253968254,-0.2896114632130063,-0.21428571428571427,False,weak
Q K_H vs T3,K_H_T3,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.13076923076923075,0.0873015873015873,0.5436507936507936,0.3011387600168705,-0.30347985347985346,False,weak
Q K_H vs pointwise,K_H_pw,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.22449633699633695,0.1498015873015873,0.5749007936507936,0.4827212759673132,-0.24056776556776552,False,weak
Q K_H vs pointwise H_S2,H_S2_pw,F4_S3_N4,F4,non-uniform sparse + heteroscedastic noise,0.22449633699633695,0.1498015873015873,0.5749007936507936,0.4827212759673132,-0.24056776556776552,False,weak
