family,n,mean_S_sae,median_S_sae,n_pos_S_sae,n_neg_S_sae,mean_S_bsf,median_S_bsf,n_pos_S_bsf,n_neg_S_bsf,dense_ridge_wins_vs_sae,dense_ridge_wins_vs_bsf
astropt,3,-0.013782931543078034,-0.0148611534940494,0,3,-0.0099989828094802,-0.01547146780592,1,2,3,2
convnext,4,-0.011901129081476976,-0.011397619774183701,0,4,-0.01155019835215135,-0.01176380836130605,0,4,4,4
dinov2,4,-0.005797985962770801,-0.005813243820567551,0,4,-0.0035245651510528,-0.0030057979859627985,1,3,4,3
ijepa,2,0.0014800122062862478,0.0014800122062862478,1,1,0.007689960329569749,0.007689960329569749,2,0,1,0
vit,3,-0.008717322754551933,-0.009978638999084494,0,3,-0.007913742243922267,-0.009246261824839695,0,3,3,3
