profile,snr_db,method,population_value,sample_mean,sample_std,relative_error_percent
flat,,pca_explained_variance_95,95.0,94.2,0.4472135954999579,0.8421052631578885
flat,30.0,pca_explained_variance_95,96.0,95.0,0.0,1.041666666666663
flat,20.0,pca_explained_variance_95,96.0,95.0,0.0,1.041666666666663
flat,10.0,pca_explained_variance_95,116.0,112.0,0.0,3.4482758620689613
power_0.5,,pca_explained_variance_95,91.0,91.0,0.0,0.0
power_0.5,30.0,pca_explained_variance_95,92.0,91.0,0.0,1.0869565217391353
power_0.5,20.0,pca_explained_variance_95,92.0,92.0,0.0,0.0
power_0.5,10.0,pca_explained_variance_95,116.0,111.4,0.5477225575051661,3.9655172413793016
power_1.0,,pca_explained_variance_95,78.0,77.0,0.0,1.2820512820512775
power_1.0,30.0,pca_explained_variance_95,78.0,77.0,0.0,1.2820512820512775
power_1.0,20.0,pca_explained_variance_95,80.0,80.0,0.0,0.0
power_1.0,10.0,pca_explained_variance_95,116.0,111.4,0.5477225575051661,3.9655172413793016
power_2.0,,pca_explained_variance_95,11.0,11.0,0.0,0.0
power_2.0,30.0,pca_explained_variance_95,11.0,11.0,0.0,0.0
power_2.0,20.0,pca_explained_variance_95,13.0,13.0,0.0,0.0
power_2.0,10.0,pca_explained_variance_95,116.0,109.4,1.3416407864998738,5.689655172413788
exp_10,,pca_explained_variance_95,30.0,30.0,0.0,0.0
exp_10,30.0,pca_explained_variance_95,31.0,31.0,0.0,0.0
exp_10,20.0,pca_explained_variance_95,32.0,32.0,0.0,0.0
exp_10,10.0,pca_explained_variance_95,116.0,108.0,0.0,6.896551724137934
exp_25,,pca_explained_variance_95,68.0,68.0,0.0,0.0
exp_25,30.0,pca_explained_variance_95,68.0,68.0,0.0,0.0
exp_25,20.0,pca_explained_variance_95,71.0,70.0,0.0,1.4084507042253502
exp_25,10.0,pca_explained_variance_95,116.0,111.8,0.4472135954999579,3.6206896551724155
flat,,participation_ratio,99.99999999999999,98.98031777158671,0.016020369622557762,1.0196822284132767
flat,30.0,participation_ratio,100.12184070185756,99.12549336131242,0.018679148961954616,0.9951348612457722
flat,20.0,participation_ratio,101.21530173249099,100.19042169251038,0.018748915722039218,1.0125742080869693
flat,10.0,participation_ratio,111.82671480144408,110.58780660382493,0.014398745095473965,1.1078821369463587
power_0.5,,participation_ratio,66.61812624728219,66.1199760234008,0.1320193359521778,0.7477697917114834
power_0.5,30.0,participation_ratio,66.71668878144648,66.41568086803238,0.271335855421253,0.4511733404518159
power_0.5,20.0,participation_ratio,67.60354592353357,67.24559566230778,0.24726141401779517,0.5294844469115212
power_0.5,10.0,participation_ratio,76.43114772722494,75.54641148235672,0.1885811795266733,1.1575598053633285
power_1.0,,participation_ratio,16.458196014939343,16.41084147278496,0.20766676606329953,0.2877262010453574
power_1.0,30.0,participation_ratio,16.489007654151774,16.49524032276863,0.14235817760979594,0.03779893094590925
power_1.0,20.0,participation_ratio,16.767338571590837,16.736324227281873,0.0900152921261013,0.18496879618994377
power_1.0,10.0,participation_ratio,19.649136855277426,19.620124955566048,0.15648014989440928,0.14764974118232077
power_2.0,,participation_ratio,2.46984734469147,2.460313119171654,0.025490610171109988,0.3860248909839825
power_2.0,30.0,participation_ratio,2.4747417335218183,2.4765272730254795,0.013793505526295768,0.07215053916436176
power_2.0,20.0,participation_ratio,2.519002787248902,2.5274004891487443,0.018157266657813777,0.33337406144808845
power_2.0,10.0,participation_ratio,2.98247265833871,2.985263721754112,0.03204381428166645,0.09358219622226382
exp_10,,participation_ratio,20.01484646179185,19.989056462454748,0.03788373158829836,0.1288543451299362
exp_10,30.0,participation_ratio,20.05175918871901,20.072259632862195,0.05039044353971575,0.10223763386665308
exp_10,20.0,participation_ratio,20.38511011993927,20.355547309870797,0.08320743485244317,0.14502158631733986
exp_10,10.0,participation_ratio,23.8267661565651,23.74710684638743,0.09436357953912948,0.3343269903025359
exp_25,,participation_ratio,48.20780568294853,47.96823144694842,0.053116915731701735,0.49696150365302616
exp_25,30.0,participation_ratio,48.28607473968963,48.09043034499705,0.07108129219327564,0.4051776744067537
exp_25,20.0,participation_ratio,48.99134709533035,48.71994167050419,0.11484035244110548,0.5539864505012315
exp_25,10.0,participation_ratio,56.112451842344306,55.81607680637874,0.12724932757622778,0.5281805129426109
flat,,shannon_entropy,99.99999999999987,99.48628253651468,0.008225721076739186,0.5137174634851971
flat,30.0,shannon_entropy,100.54011762454321,100.0321112566348,0.009707547201309194,0.5052772762863755
flat,20.0,shannon_entropy,104.03233455297602,103.47308334662588,0.014583597991852736,0.5375744077581568
flat,10.0,shannon_entropy,126.96564349874146,126.07074897619775,0.029386690435579073,0.7048320300543143
power_0.5,,shannon_entropy,84.4121758406537,84.00334354691098,0.0577672930545112,0.4843285813583065
power_0.5,30.0,shannon_entropy,84.88697702204888,84.56130446544095,0.11667478860652625,0.3836543225273936
power_0.5,20.0,shannon_entropy,88.00957874453725,87.6191712009552,0.12281839865775401,0.4435966506728617
power_0.5,10.0,shannon_entropy,109.34759408332222,108.44326397475629,0.11862026381985018,0.8270233251559511
power_1.0,,shannon_entropy,39.67724085355532,39.49862683103635,0.2601749479516739,0.4501674478278761
power_1.0,30.0,shannon_entropy,39.93896797884242,39.87237487806202,0.1798008990136263,0.16673715959730773
power_1.0,20.0,shannon_entropy,41.765620581308376,41.61253294004302,0.14476371528966656,0.3665398457741831
power_1.0,10.0,shannon_entropy,56.06976999176057,55.72140467301208,0.29897620843172906,0.6213068446681458
power_2.0,,shannon_entropy,4.80764638580355,4.7816348875726655,0.06402532262471973,0.5410443311241409
power_2.0,30.0,shannon_entropy,4.8542555979603215,4.859417278561186,0.022139122461403715,0.10633310291765508
power_2.0,20.0,shannon_entropy,5.21557149409066,5.233176447928454,0.04025117492778513,0.33754601691762254
power_2.0,10.0,shannon_entropy,8.820701006690872,8.814815545011921,0.11790413373542352,0.06672328734967925
exp_10,,shannon_entropy,27.180566054620904,27.158621229809267,0.034115509020729656,0.08073718835559518
exp_10,30.0,shannon_entropy,27.391366985032967,27.39325204387897,0.04746581461480759,0.0068819451290336175
exp_10,20.0,shannon_entropy,28.918218584454443,28.86993561238304,0.06622673520178282,0.16696385335907005
exp_10,10.0,shannon_entropy,41.579239013434616,41.38815525561766,0.10684162721298875,0.4595653079538464
exp_25,,shannon_entropy,61.91903227882094,61.68924829737472,0.024016526960870997,0.3711039610753475
exp_25,30.0,shannon_entropy,62.297742048121165,62.09088974498361,0.05752556153891574,0.33203820288987274
exp_25,20.0,shannon_entropy,64.87029821507325,64.58602940468761,0.09686532686529667,0.4382110429694164
exp_25,10.0,shannon_entropy,83.75226044252116,83.32548968355118,0.07521815452933174,0.5095632723404186
flat,,renyi_eff_dimensionality_alpha_2,99.99999999999999,98.98031777158671,0.016020369622537032,1.0196822284132767
flat,30.0,renyi_eff_dimensionality_alpha_2,100.12184070185756,99.12549336131237,0.018679148962005353,0.9951348612458277
flat,20.0,renyi_eff_dimensionality_alpha_2,101.21530173249099,100.19042169251041,0.018748915722033483,1.012574208086936
flat,10.0,renyi_eff_dimensionality_alpha_2,111.82671480144408,110.58780660382499,0.01439874509549493,1.1078821369463143
power_0.5,,renyi_eff_dimensionality_alpha_2,66.61812624728219,66.11997602340078,0.1320193359521586,0.7477697917115056
power_0.5,30.0,renyi_eff_dimensionality_alpha_2,66.71668878144648,66.41568086803235,0.2713358554212901,0.4511733404518603
power_0.5,20.0,renyi_eff_dimensionality_alpha_2,67.60354592353357,67.24559566230786,0.24726141401778534,0.529484446911388
power_0.5,10.0,renyi_eff_dimensionality_alpha_2,76.43114772722494,75.54641148235667,0.18858117952657497,1.157559805363384
power_1.0,,renyi_eff_dimensionality_alpha_2,16.458196014939343,16.410841472784963,0.2076667660632993,0.2877262010453352
power_1.0,30.0,renyi_eff_dimensionality_alpha_2,16.489007654151774,16.495240322768616,0.1423581776098036,0.03779893094582043
power_1.0,20.0,renyi_eff_dimensionality_alpha_2,16.767338571590837,16.73632422728188,0.09001529212607963,0.18496879618991047
power_1.0,10.0,renyi_eff_dimensionality_alpha_2,19.649136855277426,19.62012495556606,0.1564801498944177,0.14764974118227636
power_2.0,,renyi_eff_dimensionality_alpha_2,2.46984734469147,2.460313119171656,0.025490610171109172,0.3860248909839159
power_2.0,30.0,renyi_eff_dimensionality_alpha_2,2.4747417335218183,2.476527273025476,0.013793505526295612,0.07215053916420633
power_2.0,20.0,renyi_eff_dimensionality_alpha_2,2.519002787248902,2.527400489148747,0.018157266657810704,0.3333740614481995
power_2.0,10.0,renyi_eff_dimensionality_alpha_2,2.98247265833871,2.9852637217541105,0.032043814281667624,0.09358219622221942
exp_10,,renyi_eff_dimensionality_alpha_2,20.01484646179185,19.989056462454744,0.037883731588309266,0.1288543451299473
exp_10,30.0,renyi_eff_dimensionality_alpha_2,20.05175918871901,20.0722596328622,0.050390443539696364,0.10223763386667528
exp_10,20.0,renyi_eff_dimensionality_alpha_2,20.38511011993927,20.355547309870765,0.08320743485242413,0.1450215863174953
exp_10,10.0,renyi_eff_dimensionality_alpha_2,23.8267661565651,23.747106846387414,0.09436357953913427,0.3343269903026136
exp_25,,renyi_eff_dimensionality_alpha_2,48.20780568294853,47.968231446948394,0.053116915731679336,0.49696150365308167
exp_25,30.0,renyi_eff_dimensionality_alpha_2,48.28607473968963,48.09043034499702,0.07108129219326295,0.4051776744068203
exp_25,20.0,renyi_eff_dimensionality_alpha_2,48.99134709533035,48.71994167050424,0.11484035244109184,0.5539864505011205
exp_25,10.0,renyi_eff_dimensionality_alpha_2,56.112451842344306,55.8160768063787,0.12724932757623184,0.5281805129426664
flat,,renyi_eff_dimensionality_alpha_3,99.99999999999997,98.48441661998952,0.023323508473567317,1.5155833800104546
flat,30.0,renyi_eff_dimensionality_alpha_3,100.09138446661353,98.61194145074086,0.02720246938307794,1.4780922691364662
flat,20.0,renyi_eff_dimensionality_alpha_3,100.91188150637727,99.40181282211293,0.026305306912452694,1.4964230789502264
flat,10.0,renyi_eff_dimensionality_alpha_3,108.92022331843714,107.21932738450255,0.00912958755614906,1.5615979127786783
power_0.5,,renyi_eff_dimensionality_alpha_3,51.59859435549928,51.22998977716028,0.23204153955981482,0.7143694182818683
power_0.5,30.0,renyi_eff_dimensionality_alpha_3,51.66391162892652,51.555533315346494,0.3720963493515635,0.20977566382980317
power_0.5,20.0,renyi_eff_dimensionality_alpha_3,52.25196982308413,52.073456697201756,0.360250941375394,0.341639035785235
power_0.5,10.0,renyi_eff_dimensionality_alpha_3,58.14693586856918,57.40297752309683,0.2520078111533632,1.2794454847181225
power_1.0,,renyi_eff_dimensionality_alpha_3,10.776263753354538,10.758935190831334,0.15013703535053283,0.1608030660701809
power_1.0,30.0,renyi_eff_dimensionality_alpha_3,10.791985993266723,10.808278587102802,0.11221502156788979,0.1509693752961061
power_1.0,20.0,renyi_eff_dimensionality_alpha_3,10.933788775231882,10.925513285626696,0.06938856172977831,0.07568730085524278
power_1.0,10.0,renyi_eff_dimensionality_alpha_3,12.381044215841023,12.389270591469257,0.0979261765567523,0.0664433103123141
power_2.0,,renyi_eff_dimensionality_alpha_3,2.072700283972485,2.066477128580293,0.01782145990045059,0.30024386257451186
power_2.0,30.0,renyi_eff_dimensionality_alpha_3,2.075788955248386,2.0768026506567616,0.011569114749260975,0.048834223046267944
power_2.0,20.0,renyi_eff_dimensionality_alpha_3,2.1036539737684508,2.1098322576946744,0.013813745665335327,0.29369297437999986
