cell,fixture,d,D,n,historical_var_explained,new_var_explained,abs_diff_var_explained,historical_rho,new_rho,abs_diff_rho,historical_cosine,new_cosine,abs_diff_cosine,historical_ratio,new_ratio,abs_diff_ratio,t_train_s,t_curv_s,seed_torch_init,seed_data,max_epochs,checkpoint,backend,pass_var_explained,pass_rho,pass_cosine,pass_ratio,pass_all_available,rho_tolerance_used
R1,swiss_roll,2,3,3000,,0.995986240835866,,0.553,0.6537508583199816,0.10075085831998154,0.9998,0.9994989533510157,0.00030104664898433775,1.046,1.012345606265254,0.03365439373474599,14.372848749160767,0.06359601020812988,0,0,300,in-memory (no .pt written historically),torch 2.8.0+cu128 cpu,,False,True,True,False,0.05
R2,cubic,16,28,5000,0.9989458270763205,0.9993844194509388,0.00043859237461829625,0.9422766741710669,0.9392535779861431,0.0030230961849238014,0.9932794885913858,0.9935515167974374,0.00027202820605154443,0.9610396277738668,0.9492971802502119,0.011742447523654831,40.50252079963684,13.11947226524353,0,20260816,400,in-memory (07 sweep wrote JSONL only),torch 2.8.0+cu128 cpu,True,True,True,True,True,0.03
R3,ridge,16,28,5000,0.9994405376046311,0.9995474598167484,0.00010692221211727748,0.987230725569229,0.9897837249033489,0.0025529993341198987,0.9995659766206267,0.9997382354988921,0.00017225887826533004,0.9923055974100696,0.9906685464943505,0.001637050915719085,40.71086025238037,12.56848430633545,0,20260816,400,in-memory (07 sweep wrote JSONL only),torch 2.8.0+cu128 cpu,True,True,True,True,True,0.03
R4,ridge,16,768,5000,0.9993710455021906,0.9988265510118862,0.0005444944903043591,0.9881738890309554,0.9868540024501599,0.0013198865807955151,0.9994735427208619,0.9994161040012942,5.7438719567648455e-05,0.9853165903890537,0.9887155932618301,0.003399002872776391,56.193814754486084,647.2361168861389,0,20260816,400,in-memory (07 sweep wrote JSONL only),torch 2.8.0+cu128 cpu,True,True,True,True,True,0.03
