cell,var_explained,rho,median_cosine,median_ratio,t_train_s,t_curv_s,seed_torch_init,seed_data,max_epochs,epochs_run,checkpoint,backend,n_eval,sample_ids,ii_cv
R1,0.995986240835866,0.6537508583199816,0.9994989533510157,1.012345606265254,14.372848749160767,0.06359601020812988,0,0,300,300,in-memory (no .pt written historically),torch 2.8.0+cu128 cpu,256,"[1, 10, 13, 23, 27, 34, 35, 38, 55, 58, 64, 83, 109, 125, 134, 138]",
R2,0.9993844194509388,0.9392535779861431,0.9935515167974374,0.9492971802502119,40.50252079963684,13.11947226524353,0,20260816,400,400,in-memory (07 sweep wrote JSONL only),torch 2.8.0+cu128 cpu,5000,,0.11440970121338638
R3,0.9995474598167484,0.9897837249033489,0.9997382354988921,0.9906685464943505,40.71086025238037,12.56848430633545,0,20260816,400,400,in-memory (07 sweep wrote JSONL only),torch 2.8.0+cu128 cpu,5000,,0.48850984933786046
R4,0.9988265510118862,0.9868540024501599,0.9994161040012942,0.9887155932618301,56.193814754486084,647.2361168861389,0,20260816,400,400,in-memory (07 sweep wrote JSONL only),torch 2.8.0+cu128 cpu,5000,,0.48850984933786046
