family,model,pair,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,reference_model,comparison_mode,representation,Z,hidden,n_trainable,input_dim_a,input_dim_b,n,n_common_ids,metric,k_or_keff,score,seed_std,seed_best,seed_worst,null_score,bootstrap_low,bootstrap_high
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,cka,-1,0.31964685952007693,0.003598981554196079,0.323245841074273,0.31604787796588085,,,
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,distance_spearman,-1,0.2456697285537987,0.006552728324335885,0.2522224568781346,0.23911700022946283,,,
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,top1,-1,0.00034674063800277393,0.00034674063800277393,0.0006934812760055479,0.0,,,
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,top10,-1,0.004680998613037448,0.00017337031900138689,0.0048543689320388345,0.004507628294036061,,,
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mrr,-1,0.003956350669164199,0.0009919313830503728,0.004948282052214572,0.0029644192861138265,,,
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,median_rank,-1,1199.0,172.5,1371.5,1026.5,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,3680768,768,768,16384,16384,mknn,10,0.011529126213592231,0.000918862690707351,0.012447988904299583,0.010610263522884881,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,3680768,768,768,16384,16384,mknn,100,0.0676629680998613,0.00149098474341193,0.06915395284327323,0.06617198335644937,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,3680768,768,768,16384,16384,mknn,5,0.0063800277392510405,0.0006241331484049925,0.007004160887656033,0.0057558945908460475,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,3680768,768,768,16384,16384,mknn,20,0.019192094313453537,0.0008668515950069344,0.02005894590846047,0.018325242718446603,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,3680768,768,768,16384,16384,mknn,50,0.03962205270457697,0.001813453536754505,0.04143550624133148,0.03780859916782247,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,3680768,768,768,16384,16384,cka,-1,0.2644921431025578,0.04384354126495742,0.30833568436751524,0.2206486018376004,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,3680768,768,768,16384,16384,distance_spearman,-1,0.21641551191463088,0.03098734839981858,0.24740286031444944,0.18542816351481228,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,3680768,768,768,16384,16384,top1,-1,0.00034674063800277393,0.0,0.00034674063800277393,0.00034674063800277393,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,3680768,768,768,16384,16384,top10,-1,0.0031206657420249657,0.000346740638002774,0.0034674063800277394,0.0027739251040221915,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,3680768,768,768,16384,16384,mrr,-1,0.002985716281149931,0.0005943170944260809,0.003580033375576012,0.00239139918672385,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,3680768,768,768,16384,16384,median_rank,-1,1451.0,262.5,1713.5,1188.5,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mknn,10,0.024635922330097086,0.0002253814147018026,0.02486130374479889,0.024410540915395285,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mknn,100,0.09590325936199723,0.0011147711511789171,0.09701803051317615,0.09478848821081831,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mknn,5,0.0170249653259362,0.00017337031900138689,0.017198335644937588,0.016851595006934814,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mknn,20,0.03739597780859917,0.0005374479889042987,0.037933425797503466,0.03685852981969487,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mknn,50,0.06304091539528432,0.0005998613037447968,0.06364077669902912,0.06244105409153953,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,cka,-1,0.3328854965490261,0.0043124358709003,0.3371979324199264,0.3285730606781258,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,distance_spearman,-1,0.2691186292153592,0.01815706460360489,0.28727569381896406,0.2509615646117543,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,top1,-1,0.00034674063800277393,0.00034674063800277393,0.0006934812760055479,0.0,,,
