sample_id,K_H_cross,log_knn_radius,local_label_variance,local_evaluation_count,r2_G,mse_G,field
0,0.018409484316046477,-0.6934431614192684,0.3702073475241887,2048.0,0.3383033714930954,0.24496495370523963,mag_r_desi
1,0.027592433196754564,-0.5463986608567116,0.4431068547027163,2048.0,0.4441666492408607,0.2462935677937539,mag_r_desi
8,0.03174145218784237,-0.34079673550714534,1.0011097295510027,2048.0,0.19707531724888894,0.8038157119987894,mag_r_desi
11,0.02909703044841653,-0.6233459042053935,0.35300978904199876,2048.0,0.3681526883091729,0.2230482862067329,mag_r_desi
16,0.024801922770464245,-0.49384145228166476,0.5684038609424997,2048.0,0.3350800253031888,0.3779430808354567,mag_r_desi
18,0.024159531040015697,-0.6647120349634996,0.7154303967336095,2048.0,0.29953442291190757,0.5011343657143708,mag_r_desi
19,0.016726139041649185,-0.6801415116093494,0.5516501580518867,2048.0,0.36401319530011156,0.3508422213316078,mag_r_desi
22,0.04458245513766817,-0.35245908299031536,0.6168523625636331,2048.0,0.13202312361909418,0.5354135868461642,mag_r_desi
25,0.022673802132395168,-0.5991005284888595,0.7373857889443158,2048.0,0.29678566170484566,0.5185402596407274,mag_r_desi
26,0.019790274739566696,-0.6300767409452693,0.26780578155141566,2048.0,0.30181496451666945,0.1869779890951162,mag_r_desi
28,0.02137312419225435,-0.6914869012995923,0.2572027670136967,2048.0,0.30786461511335217,0.17801913614093579,mag_r_desi
30,0.03438518884701256,-0.5485804541225677,0.3717842639571868,2048.0,0.3502841473077424,0.241554130074507,mag_r_desi
32,0.01981439821948261,-0.7041498884644614,0.30389095241912734,2048.0,0.3305474662838105,0.20344056807041078,mag_r_desi
38,0.023023505868899338,-0.6051127166693007,0.27842149820004336,2048.0,0.29367699890356913,0.19665550817841915,mag_r_desi
42,0.017650420896457734,-0.7416743946703287,0.3504504256180695,2048.0,0.35832909732129214,0.22487384095048402,mag_r_desi
46,0.015484370483828383,-0.571047396854663,0.43555571853439534,2048.0,0.25441792212695924,0.3247425376543598,mag_r_desi
48,0.01778713035636717,-0.7424189857633153,0.30211544659654155,2048.0,0.29295910446516604,0.21360797591652503,mag_r_desi
55,0.018841415304581104,-0.6515362364779997,0.39116773818356443,2048.0,0.3855059268795822,0.24037025670971968,mag_r_desi
58,0.024348679130171948,-0.18696311624588854,0.4218512553074857,2048.0,0.3369031528523221,0.2797282373596839,mag_r_desi
74,0.012821946220980587,-0.708107658870025,0.5839098082367093,2048.0,0.36200610935299526,0.37253089034388465,mag_r_desi
85,0.02306573466755512,-0.6599470082033794,0.24489010739659844,2048.0,0.24970035887463526,0.18374095969481985,mag_r_desi
90,0.017600365704882506,-0.6839860763395473,0.6661164443990669,2048.0,0.3821414651639192,0.41156573036662714,mag_r_desi
108,0.019074630481160253,-0.7066476367674747,0.32436330568018773,2048.0,0.37990669814948463,0.20113551321837564,mag_r_desi
109,0.03890661928270798,-0.4987670497213439,0.2683019180110452,2048.0,0.26096739597519747,0.1982838651325518,mag_r_desi
111,0.014084403161732947,-0.8478156309447991,0.2868520090541705,2048.0,0.3467751928255821,0.1873788483020049,mag_r_desi
114,0.032578553880094965,-0.41053395664023556,0.7422450173962961,2048.0,0.16111487661978852,0.6226583029968391,mag_r_desi
117,0.017645229438862133,-0.780272463094127,0.4403566681659338,2048.0,0.3283395019269686,0.2957701790701117,mag_r_desi
119,0.013860579383592402,-0.8033251643777719,0.5031623855653875,2048.0,0.3968095978177554,0.30350272171216375,mag_r_desi
120,0.04538025486875343,-0.3669655065898474,0.581199572757415,2048.0,0.36800252206882966,0.36731666415736,mag_r_desi
133,0.016008894820170767,-0.8990420369240117,0.3213895729898798,2048.0,0.38874303759941975,0.19645161413301349,mag_r_desi
136,0.02873104422043583,-0.33098159716522274,0.8036379418233349,2048.0,0.35147784341598964,0.5211770111440046,mag_r_desi
146,0.016050392223828574,-0.8100078202921229,0.4381553506813194,2048.0,0.393805318767693,0.2656074431364921,mag_r_desi
149,0.034569467904659666,-0.41441964061349323,0.7399938051359543,2048.0,0.16326865257910006,0.6191760136545259,mag_r_desi
160,0.01912071742663491,-0.5621589816429253,0.6080411895096115,2048.0,0.3199709710074681,0.4134856596896852,mag_r_desi
