sample_id,K_H_cross,log_knn_radius,local_label_variance,local_evaluation_count,r2_G,mse_G,field
0,0.018409484316046477,-0.6934431614192684,0.005093105298624797,2021.0,0.26412082149102056,0.0037479101432117464,photo_z
1,0.027592433196754564,-0.5463986608567116,0.005513773526076045,2024.0,0.34032860365948747,0.0036372786810519365,photo_z
8,0.03174145218784237,-0.34079673550714534,0.008110374418888058,1826.0,0.13498088899778105,0.0070156288697216865,photo_z
11,0.02909703044841653,-0.6233459042053935,0.005671647238531897,2006.0,0.18397831193225278,0.004628187153711575,photo_z
16,0.024801922770464245,-0.49384145228166476,0.00520550218598188,1997.0,0.29153189305502925,0.0036879322794004894,photo_z
18,0.024159531040015697,-0.6647120349634996,0.00791285145995422,1942.0,0.25241561304281834,0.005915524207773116,photo_z
19,0.016726139041649185,-0.6801415116093494,0.005175447531421175,1992.0,0.3004704682946733,0.0036203783880205433,photo_z
22,0.04458245513766817,-0.35245908299031536,0.007772994891913299,1792.0,0.11988903380343552,0.006841098044562774,photo_z
25,0.022673802132395168,-0.5991005284888595,0.0058437787385817366,1975.0,0.27524753564077686,0.004235293041957146,photo_z
26,0.019790274739566696,-0.6300767409452693,0.0042365431849908305,2034.0,0.3322769337439231,0.0028288376058083634,photo_z
28,0.02137312419225435,-0.6914869012995923,0.004543741619292914,2025.0,0.30571198695747137,0.0031546653406375187,photo_z
30,0.03438518884701256,-0.5485804541225677,0.005135689004778196,2010.0,0.2866749732079722,0.003663415496928929,photo_z
32,0.01981439821948261,-0.7041498884644614,0.005590657068389918,2036.0,0.2118761286091153,0.004406130292358276,photo_z
38,0.023023505868899338,-0.6051127166693007,0.005175740681337696,1961.0,0.14943858459193193,0.004402285319703709,photo_z
42,0.017650420896457734,-0.7416743946703287,0.004013266548933818,2026.0,0.3066766916977788,0.0027824912408054335,photo_z
46,0.015484370483828383,-0.571047396854663,0.006633376820878724,1876.0,0.20984515870799436,0.005241394809131498,photo_z
48,0.01778713035636717,-0.7424189857633153,0.004708216831853356,2009.0,0.26063689688182545,0.003481081806952318,photo_z
55,0.018841415304581104,-0.6515362364779997,0.004175856710293783,2021.0,0.2815697166516965,0.0030000619195982773,photo_z
58,0.024348679130171948,-0.18696311624588854,0.0060144010672337055,1933.0,0.3481484640607484,0.003920496573430965,photo_z
74,0.012821946220980587,-0.708107658870025,0.005491838845340897,2006.0,0.3122146860302357,0.003777206104514137,photo_z
85,0.02306573466755512,-0.6599470082033794,0.004544258507900213,2028.0,0.32275814410786274,0.0030775620655439746,photo_z
90,0.017600365704882506,-0.6839860763395473,0.005918356170836615,1987.0,0.2771043812630052,0.004278353746022846,photo_z
