family,beta_dense,beta_dense_ridge,delta_beta,n_rungs,two_point_only
astropt,0.004964559398779918,0.010098119969477421,0.005133560570697503,3,False
convnext,0.002756206282588367,0.005675025878201515,0.0029188195956131482,4,False
dinov2,4.1683117538154286e-05,0.0031672815304280163,0.003125598412889862,4,False
vit,0.012970861058539843,0.023259293521161444,0.010288432462621601,3,False
ijepa,0.06615355642128168,0.08075296197632315,0.014599405555041467,2,True
