family,model,parameter_count,log10_params,mode,k,k_frac,energy_retained,mknn,mknn_dense,mknn_full_ridge,lift,lift_frac_of_full
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,rank,8,0.020833333333333332,0.576460024601401,0.02645712541959109,0.017485505035093073,0.03201098565761367,0.008971620384498016,0.6176470588235294
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,rank,16,0.041666666666666664,0.7346869375652711,0.030973451327433628,0.017485505035093073,0.03201098565761367,0.013487946292340555,0.9285714285714286
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,rank,32,0.08333333333333333,0.8532208467946384,0.030973451327433628,0.017485505035093073,0.03201098565761367,0.013487946292340555,0.9285714285714286
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,rank,64,0.16666666666666666,0.937112102176118,0.0320415013732072,0.017485505035093073,0.03201098565761367,0.014555996338114129,1.0021008403361344
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,rank,128,0.3333333333333333,0.9862517791636932,0.03143118706133659,0.017485505035093073,0.03201098565761367,0.013945682026243515,0.9600840336134454
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,rank,256,0.6666666666666666,0.9995510846187036,0.03198046994202014,0.017485505035093073,0.03201098565761367,0.014494964906927067,0.9978991596638656
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,rank,384,1.0,1.0,0.03201098565761367,0.017485505035093073,0.03201098565761367,0.014525480622520598,1.0
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,energy,6,0.015625,0.5,0.02377174244736039,0.017485505035093073,0.03201098565761367,0.006286237412267318,0.4327731092436975
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,energy,18,0.046875,0.75,0.03152273420811718,0.017485505035093073,0.03201098565761367,0.014037229173024107,0.9663865546218487
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,energy,46,0.11979166666666667,0.9,0.03182789136405249,0.017485505035093073,0.03201098565761367,0.014342386328959414,0.9873949579831933
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,energy,74,0.19270833333333334,0.95,0.03207201708880073,0.017485505035093073,0.03201098565761367,0.01458651205370766,1.004201680672269
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,energy,142,0.3697916666666667,0.99,0.03167531278608483,0.017485505035093073,0.03201098565761367,0.01418980775099176,0.976890756302521
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,energy,384,1.0,1.0,0.03201098565761367,0.017485505035093073,0.03201098565761367,0.014525480622520598,1.0
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,rank,8,0.010416666666666666,0.48544352965752585,0.033567287152883735,0.02187976808056149,0.048245346353371986,0.011687519072322246,0.44328703703703703
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,rank,16,0.020833333333333332,0.6118849966685833,0.04214220323466585,0.02187976808056149,0.048245346353371986,0.020262435154104363,0.7685185185185185
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,rank,32,0.041666666666666664,0.7361136494306662,0.04516325907842539,0.02187976808056149,0.048245346353371986,0.0232834909978639,0.8831018518518519
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,rank,64,0.08333333333333333,0.8489870994671394,0.04693317058285017,0.02187976808056149,0.048245346353371986,0.02505340250228868,0.9502314814814815
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,rank,128,0.16666666666666666,0.9383541540182004,0.047757094903875495,0.02187976808056149,0.048245346353371986,0.025877326823314006,0.9814814814814815
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,rank,256,0.3333333333333333,0.987904698518615,0.04812328349099786,0.02187976808056149,0.048245346353371986,0.026243515410436374,0.9953703703703703
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,rank,768,1.0,1.0,0.048245346353371986,0.02187976808056149,0.048245346353371986,0.026365578272810497,1.0
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,energy,9,0.01171875,0.5,0.03509307293256027,0.02187976808056149,0.048245346353371986,0.01321330485199878,0.5011574074074074
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,energy,35,0.045572916666666664,0.75,0.04562099481232835,0.02187976808056149,0.048245346353371986,0.02374122673176686,0.9004629629629629
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,energy,93,0.12109375,0.9,0.04760451632590784,0.02187976808056149,0.048245346353371986,0.025724748245346353,0.9756944444444444
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,energy,144,0.1875,0.95,0.04787915776624962,0.02187976808056149,0.048245346353371986,0.02599938968568813,0.9861111111111112
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,energy,272,0.3541666666666667,0.99,0.0480622520598108,0.02187976808056149,0.048245346353371986,0.026182483979249313,0.9930555555555556
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,energy,768,1.0,1.0,0.048245346353371986,0.02187976808056149,0.048245346353371986,0.026365578272810497,1.0
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,rank,8,0.00390625,0.3908153654884128,0.02285627097955447,0.026212999694842844,0.050167836435764425,-0.0033567287152883735,-0.14012738853503182
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,rank,16,0.0078125,0.4938727876349354,0.0309429356118401,0.026212999694842844,0.050167836435764425,0.004729935916997257,0.19745222929936315
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,rank,32,0.015625,0.6015913388200721,0.040402807445834604,0.026212999694842844,0.050167836435764425,0.01418980775099176,0.592356687898089
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,rank,64,0.03125,0.7179974022234566,0.04531583765639304,0.026212999694842844,0.050167836435764425,0.019102837961550198,0.7974522292993629
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,rank,128,0.0625,0.8342972450618735,0.04714678059200488,0.026212999694842844,0.050167836435764425,0.020933780897162038,0.873885350318471
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,rank,256,0.125,0.9287308395509711,0.04934391211473909,0.026212999694842844,0.050167836435764425,0.023130912419896246,0.965605095541401
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,rank,2048,1.0,1.0,0.050167836435764425,0.026212999694842844,0.050167836435764425,0.02395483674092158,1.0
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,energy,17,0.00830078125,0.5,0.031736344217271895,0.026212999694842844,0.050167836435764425,0.005523344522429051,0.23057324840764323
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,energy,77,0.03759765625,0.75,0.04659749771132133,0.026212999694842844,0.050167836435764425,0.020384498016478486,0.8509554140127386
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,energy,202,0.0986328125,0.9,0.04842844064693317,0.026212999694842844,0.050167836435764425,0.022215440952090326,0.9273885350318468
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,energy,318,0.1552734375,0.95,0.049618553555080866,0.026212999694842844,0.050167836435764425,0.023405553860238022,0.9770700636942672
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,energy,627,0.30615234375,0.99,0.04986267927982911,0.026212999694842844,0.050167836435764425,0.023649679584986268,0.987261146496815
