family,model,parameter_count,log10_params,intercept_l2,n_active,A_log,kappa_raw,kappa_95_5,D_sim,geom_mean,stable_rank,sigma_max,sigma_min_active
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,3.0789730326896967e-06,384,1.7851678560936988,91665.70111084737,296.75663117309466,0.8815120614091644,0.12103034567590032,14.303303011738866,7.5075087464097,8.190095810570623e-05
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,4.608049738127295e-06,768,1.8630065529653046,860170.232195821,368.62369949016085,0.8872874027034117,0.16386634072778003,20.07304984075728,14.546929911563948,1.69116872068787e-05
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,1.918594474974773e-05,2047,1.9886840872376765,989004.4726490976,624.169758497939,0.9061494396787491,0.2681656707043464,25.116988345883023,49.93221093400816,5.048734592702322e-05
convnext,official_legacy_cross_convnext_nano,15000000,7.176091259055681,3.997253723506346e-06,640,1.8596213842317921,165582.84540607737,430.52450737328115,0.9045290548940254,0.19458899467912252,16.466276249080114,17.832296306332317,0.00010769410480053159
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,4.0833531924664206e-06,768,1.9012688867768912,1547929.5264964188,454.4174572942213,0.9103354174582547,0.21560167841791908,16.19268234863727,23.771766874927753,1.5357137691360364e-05
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,6.682679713571158e-06,1024,1.9074240793729171,1959159.435891568,472.72485995185946,0.9199025177372877,0.2398652266343115,16.82503615684873,32.25554293631275,1.646397038719516e-05
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,1.2785684137873103e-05,1536,1.888314210942963,5585548.935500184,431.83736539617547,0.9222387124688883,0.2783588975242484,16.17962996105714,49.16536063578584,8.802243289518883e-06
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,2.155414117759816e-06,384,1.8419089871787167,44400.92756569315,395.0647685614486,0.8844512049481033,0.15599284903531882,16.938983710744555,8.852476991770349,0.00019937594724057768
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,4.120693940532242e-06,768,1.8339916798749198,224051.84026721385,368.0575882533954,0.8993402186655429,0.20434244670445112,17.095660153111336,19.5739484312516,8.736347984424886e-05
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,5.178882251040161e-06,1024,1.8008404249841197,1874917.8854438327,320.12826196674285,0.9022271328710034,0.23481304988004048,20.432953085080864,21.283968191869324,1.1351946854371683e-05
dinov2,official_legacy_cross_dino_giant,1100000000,9.041392685158225,1.2830404036669943e-05,1535,1.9433418728092284,1896760.6502461475,536.2994640620711,0.9279394620383776,0.2824972218804268,18.91700338228716,50.151765232427984,2.6440745291673812e-05
ijepa,official_legacy_cross_ijepa_huge,630000000,8.799340549453582,1.8408934918234058e-05,1280,2.0595572498459083,9629607.68389916,760.4185300715703,0.9508925076032909,0.2179683036268323,7.275029154366115,74.17136496673821,7.702428530993404e-06
ijepa,official_legacy_cross_ijepa_giant,1000000000,9.0,1.0232645338942208e-05,1408,2.023763088422389,15960674.523800425,679.2707257634007,0.9392907937394016,0.22568417894973136,10.289071942425807,59.21191157814272,3.7098627310422507e-06
vit,official_legacy_cross_vit_base,86000000,7.9344984512435675,4.323989123251699e-06,768,1.858029794192519,274495.09654553776,421.445813549773,0.9101174388072693,0.19295148788306402,16.468986543323435,20.28164103693775,7.388707955871662e-05
vit,official_legacy_cross_vit_large,307000000,8.487138375477187,3.8674179635424895e-06,1024,1.7070436787161178,1456068.9651402293,221.50229099126946,0.8646051566505168,0.20796467910663943,42.379299343493216,10.1686151273956,6.983608174367135e-06
vit,official_legacy_cross_vit_huge,632000000,8.800717078282386,6.179642673219621e-06,1280,1.7170432209586053,668465.2221058327,242.94732602545534,0.8840581908868799,0.20116210429646522,26.601451992585986,17.83433321323074,2.667952291825763e-05
