x,y,spearman,n
D_align,delta_H_norm,0.5454545454545455,11
D_align,delta_A_log,-0.4272727272727273,11
D_align,delta_D_sim,-0.5818181818181819,11
D_align,delta_r90_frac,0.7000000000000001,11
