boot_id,T
0,0.010461127118243272
1,0.005958065327493263
2,0.006892795951317007
3,0.007281506094072382
4,0.009435891053181145
5,0.004187209820300857
6,0.0059062795200526
7,0.004398603509854931
8,0.008105252613156765
9,0.005897153826634982
10,0.00924035195615024
11,0.009120137764630531
12,0.009368326747295312
13,0.006710805367968703
14,0.00839616118537809
15,0.006949238895357463
16,0.005870494038681977
17,0.007906044971190164
18,0.008511681934767541
19,0.006462810880607045
20,0.008600598866009354
21,0.010047729482214187
22,0.0038822933664273323
23,0.006130696978859185
24,0.004078535080714065
25,0.0025715732788584543
26,0.010885496478341658
27,0.007864910200459025
28,0.008342169029528827
29,0.008591218952643134
30,0.00877371036719592
31,0.007498167082932586
32,0.010160498719899427
33,0.007033841886553742
34,0.008080048224066529
35,0.007425596929175949
36,0.0028452721596174207
37,0.007617975981837784
38,0.008119588429983273
39,0.008643352524008155
40,0.004283239066518972
41,0.005239993744396988
42,0.0071047760354225565
43,0.006814795527940174
44,0.009752081587122947
45,0.007011606091070844
46,0.005226879784064673
47,0.007957009153607676
48,0.009375279144229105
49,0.005686159607082304
50,0.009368292871640569
51,0.007272669976385006
52,0.005758877703378887
53,0.006800076340275002
54,0.004019542260284205
55,0.004736620023474847
56,0.00787868015864914
57,0.007074773948046159
58,0.007157417714625381
59,0.004981318691585903
60,0.0055347607852053084
61,0.008340714682753768
62,0.0077707241576455855
63,0.00868881507730719
64,0.009454433287966758
65,0.011353158141586535
66,0.009216606795404324
67,0.005976028622871315
68,0.011219321992847999
69,0.005846476441847015
70,0.005704991181397679
71,0.006914735607221135
72,0.008608480033426638
73,0.00959969605499979
74,0.006036515504281153
75,0.004309631937837498
76,0.009023357289686413
77,0.004769483451095485
78,0.00733271282348121
79,0.009027385643228997
80,0.0045756209099560834
81,0.008062776750712704
82,0.005263515439946495
83,0.008803652801937322
84,0.007732272433420602
85,0.00819021245485369
86,0.00972265716807233
87,0.005387012661044189
88,0.008171779840953805
89,0.005977041838678773
90,0.007029336343450471
91,0.007471103285023821
92,0.0036521533887286205
93,0.008963156233151701
94,0.006550197144571374
95,0.009931725704125056
96,0.0058681125709580725
97,0.01049484728625253
98,0.008126370125377558
99,0.008982605172481149
100,0.008965398331591632
101,0.00819267723078979
102,0.0084375056245275
103,0.006158791093369196
104,0.007107066465074169
105,0.008392202514176866
106,0.006209157427066826
107,0.010756036949460288
108,0.006529147682021494
109,0.0055868666316607075
110,0.007316809954101956
111,0.008713352443026973
112,0.006231830503957441
113,0.006892559955622715
114,0.005517438473426112
115,0.005334152640447912
116,0.013061227906845834
117,0.008764929439865964
118,0.005549854308654355
119,0.007280442804396955
120,0.007147481435921312
121,0.010573059804465957
122,0.004730957764774037
123,0.006921785910368743
124,0.006826551160713942
125,0.007339435035506591
126,0.01003092229876163
127,0.008338922217400959
128,0.01403886371357806
129,0.007031787081861101
130,0.005372980545449911
131,0.005614252823194839
132,0.007027939464813794
133,0.005263868720932678
134,0.007896798747982593
135,0.004631844804711671
136,0.005843241077138824
137,0.005654489207921967
138,0.010258001110544191
139,0.009082397348126395
140,0.007542494526002394
141,0.009880123747778535
142,0.004114566407423007
143,0.005155726762229701
144,0.008998704628665487
145,0.0086903457180214
146,0.006733985485910544
147,0.003824014183946294
148,0.008739612039355454
149,0.006444138926257846
150,0.006694002814533503
151,0.007654683171781968
152,0.008424222896440079
153,0.007519796080035912
154,0.007939694012745257
155,0.004119504333588983
156,0.004623741161199674
157,0.00747258792446971
158,0.008640788826519863
159,0.008354000199603653
160,0.005418578252214225
161,0.005829775099067716
162,0.006274505813254605
163,0.006541804647378776
164,0.009836225274745725
165,0.0051618452854272495
166,0.00541139014193442
167,0.008242262169636968
168,0.008205382847675202
169,0.009702268206790177
170,0.008525898537446676
171,0.004383523672272507
172,0.008012962222500197
173,0.008306081191828747
174,0.005401364198116719
175,0.004546675528073913
176,0.0032444551782695617
177,0.005768277313586709
178,0.008363877812538886
179,0.007182811378701315
180,0.007420934154476019
181,0.00837562887749661
182,0.006663664159339104
183,0.008851793463096686
184,0.006540173227205404
185,0.004629711667430631
186,0.010924219842451031
187,0.008117415915256127
188,0.00843180340121628
189,0.004367553374408796
190,0.005465040350452352
191,0.007992726586670152
192,0.011602745099253058
193,0.004919767088283355
194,0.009318237000505578
195,0.008224383342188727
196,0.008863525644332857
197,0.007102187716368359
198,0.010151776989688346
199,0.005972385112532397
200,0.007960073876638803
201,0.006112646632110362
202,0.00285090599632471
203,0.006651942802133206
204,0.006605924070017875
205,0.0049637510870877925
206,0.005901324365642919
207,0.00810178347165758
208,0.006662916560652414
209,0.007075931846351638
210,0.007550219339686461
211,0.008835877235461413
212,0.006886305986043564
213,0.008059092681993158
214,0.007165746354738571
215,0.006417867735108653
216,0.002142621631961914
217,0.004980284889274096
218,0.010322265150762669
219,0.009921145493837472
220,0.010259410642788671
221,0.010022676589747457
222,0.007952467170098789
223,0.0097644295684494
224,0.006906840633713366
225,0.0002909925919946599
226,0.006445006906980176
227,0.007963824825834307
228,0.005468979150473931
229,0.009763813033448584
230,0.009866439708438004
231,0.005489571122275319
232,0.005954456206071804
233,0.0059679976083079666
234,0.006826510320368501
235,0.006799807523649384
236,0.006289211944136447
237,0.006884331291490525
238,0.0072031307825228055
239,0.007433100719908187
240,0.0063340272963754345
241,0.005728582421070286
242,0.005677663553808427
243,0.00782556913437194
244,0.004960831050641865
245,0.00592036087866028
246,0.0074440331378597315
247,0.006307107360021072
248,0.01115050882802802
249,0.007134873865589267
250,0.009790990727436662
251,0.00912111689351304
252,0.006412844979795497
253,0.005406739247694756
254,0.006890282141465719
255,0.006785053413337047
256,0.008661592974335993
257,0.007218727829706101
258,0.003242221804584436
259,0.006647143050622056
260,0.006732437544271404
261,0.009587293944280591
262,0.008192825777797222
263,0.005295971065252236
264,0.0071806924963920635
265,0.008145099861116029
266,0.004867997972953392
267,0.011646034587192523
268,0.009862272470896822
269,0.007587769351843432
270,0.008817614260644202
271,0.012583366020472598
272,0.007771251675062115
273,0.005676092844446061
274,0.00763838336967476
275,0.009085122796646935
276,0.00527091314100812
277,0.008203475389785577
278,0.002556792587965691
279,0.0050084318327787425
280,0.006535864355800665
281,0.007560343271477922
282,0.005817828127401546
283,0.00903917733752356
284,0.004050831970293279
285,0.005694939050627487
286,0.005238758404833753
287,0.004892616826161579
288,0.008345270799688198
289,0.009363132763598337
290,0.009248613497883963
291,0.007236395848376963
292,0.009160980439673777
293,0.008526675535368513
294,0.005681878078271021
295,0.008761844794042555
296,0.005774930250731961
297,0.00662701939568842
298,0.005304312414331984
299,0.00944367208763135
300,0.008986781869727983
301,0.006757181741480043
302,0.009443579438308985
303,0.004174883947736192
304,0.009274788534332657
305,0.005999849920213252
306,0.008072594367890708
307,0.009515379182298656
308,0.010667246540198877
309,0.005287789863569739
310,0.004985261292452265
311,0.008303252164603285
312,0.006269292413839586
313,0.007908882576187963
314,0.0063474726270154
315,0.007967126208908604
316,0.007151875217110931
317,0.008249429859226073
318,0.01167020672780256
319,0.005758012697727655
320,0.007469118343357474
321,0.005413254563527137
322,0.007119834896973513
323,0.007058604479067118
324,0.010601640868727369
325,0.007007549395719107
326,0.0042585473047483694
327,0.005559598616045581
328,0.007459610737479273
329,0.006507441452697338
330,0.009097273619585075
331,0.008690415921651738
332,0.008056039957124716
333,0.0046302045657062975
334,0.005092765841617492
335,0.008675215705475699
336,0.0029162426701862853
337,0.008712163420168732
338,0.008045273740957043
339,0.011153807938282042
340,0.006574652147626149
341,0.004294621615655536
342,0.0075062483230897755
343,0.008779642617406404
344,0.007356768678167844
345,0.008626421360689272
346,0.007975408237627168
347,0.009014172861390996
348,0.009902773360855117
349,0.00585413567884527
350,0.0084381235784618
351,0.003033274257955981
352,0.007391921941401642
353,0.010268285934291941
354,0.006814680974933755
