dataset_id,label,canonical_label,is_discovery,d,k,raw,controlled,n,p_raw_pointwise,p_raw_fwer,p_ctl_pointwise,p_ctl_fwer,raw_lo,raw_hi,ctl_lo,ctl_hi,r2_L,missing_controls
physics_vit_base,mag_r_desi,mag_r,True,6,2048,0.06908467098031608,0.15522986261315389,512,0.12018798120187982,0.6642335766423357,0.0007999200079992001,0.009499050094990502,-0.015859926554821928,0.14956139703532212,0.0666357327421018,0.23925123004268065,0.7215365386574848,
physics_vit_base,mag_r_desi,mag_r,True,7,2048,0.10609867156159772,0.22109872998706812,512,0.016798320167983202,0.1653834616538346,9.999000099990002e-05,9.999000099990002e-05,0.018647559911419313,0.19166204478775833,0.13529160704536358,0.3035938352590925,0.7412757937167269,
physics_vit_base,mag_r_desi,mag_r,True,8,2048,0.1556695712345033,0.17588196733271533,512,0.0005999400059994001,0.007099290070992901,0.00019998000199980003,0.000999900009999,0.06679908464654037,0.2473276555513753,0.09462081412581629,0.2638970669792284,0.757537660741841,
physics_vit_base,mag_r_desi,mag_r,True,9,2048,0.12649538476111855,0.08942054050651745,512,0.0037996200379962005,0.0560943905609439,0.0461953804619538,0.45035496450354967,0.04109887743452524,0.21274148303097412,0.00780169991784129,0.18058059022189318,0.7714904072668071,
physics_vit_base,mag_r_desi,mag_r,True,10,2048,0.07930759223856035,0.04687517881461645,512,0.0724927507249275,0.49205079492050796,0.29147085291470853,0.9861013898610139,-0.005829107949738565,0.16915062129510725,-0.03545880871242122,0.134384688178475,0.7837459385167271,
physics_vit_base,mag_r_desi,mag_r,True,11,2048,0.012933169756698795,0.010100433017475194,512,0.7729227077292271,1.0,0.8261173882611739,1.0,-0.07343832559440605,0.09837026206550557,-0.07119368400405884,0.09578542952877434,0.7943981556439847,
physics_vit_base,mag_r_desi,mag_r,True,12,2048,-0.0008211614407460542,0.00045195394307687023,512,0.9834016598340166,1.0,0.9912008799120088,1.0,-0.08533445013515022,0.08521276935963902,-0.07840492615744707,0.0906531206922436,0.8035780890495257,
physics_vit_base,mag_r_desi,mag_r,True,13,2048,0.01623904975586105,-0.05140526830775569,512,0.7155284471552845,1.0,0.25537446255374463,0.9668033196680332,-0.07365400880060381,0.10802911216931639,-0.13062061882649947,0.04225704492842932,0.8117047566859739,
physics_vit_base,mag_r_desi,mag_r,True,14,2048,0.06580369091705102,0.02314120418054268,512,0.1424857514248575,0.7196280371962803,0.6149385061493851,1.0,-0.020364162207817702,0.15317678196985143,-0.060518150016566664,0.11469574903835666,0.8189712422222322,
physics_vit_base,mag_r_desi,mag_r,True,15,2048,0.07273830071259192,0.06069012785960334,512,0.10318968103189681,0.6036396360363964,0.17748225177482252,0.8964103589641036,-0.014645815946616876,0.1607065543061201,-0.026357793687164406,0.14685958686240977,0.8255782197645625,
physics_vit_base,mag_r_desi,mag_r,True,16,2048,0.053520557009330845,0.06924542377633583,512,0.22547745225477453,0.8896110388961104,0.11658834116588342,0.7884211578842116,-0.03501462402954026,0.1393161433704834,-0.018271689378126107,0.15062170064449476,0.8315724591458216,
