dataset_id,d,n,valid_frac,median_R_H,median_dS,median_df_ratio,m_d,fail_reliability
desi_vit_base_hsc,26,512,1.0,0.4982267513170073,0.0046663108344849,0.3427734375,351,False
desi_vit_base_hsc,27,512,1.0,0.4939543267060666,0.0045215953997512,0.369140625,378,False
desi_vit_base_hsc,28,512,1.0,0.4848851238959457,0.0044115365089586,0.396484375,406,False
desi_vit_base_hsc,29,512,1.0,0.4835442925730593,0.0042716829328431,0.4248046875,435,False
desi_vit_base_hsc,30,512,1.0,0.4724077700038309,0.0041561037008553,0.4541015625,465,False
desi_vit_base_hsc,31,512,1.0,0.4692033827264533,0.0040448671235253,0.484375,496,False
desi_vit_base_hsc,32,512,1.0,0.4660698593998992,0.0039393260543268,0.515625,528,False
desi_vit_base_hsc,33,512,1.0,0.4613157032961268,0.0038157227387121,0.5478515625,561,False
desi_vit_base_hsc,34,512,1.0,0.461681741096057,0.0037223375020403,0.5810546875,595,False
desi_vit_base_hsc,35,512,1.0,0.455296663060061,0.0036124491934591,0.615234375,630,False
desi_vit_base_hsc,36,512,1.0,0.4510191527214433,0.0035217484719017,0.650390625,666,False
desi_vit_base_hsc,37,512,1.0,0.4537976474257855,0.0034173917770961,0.6865234375,703,False
