dataset_id,label,d,raw,raw_lo,raw_hi,controlled,ctl_lo,ctl_hi
physics_vit_base,mag_r_desi,6.0,0.06908467098031608,-0.015859926554821928,0.14956139703532212,0.15522986261315389,0.0666357327421018,0.23925123004268065
physics_vit_base,mag_r_desi,7.0,0.10609867156159772,0.018647559911419313,0.19166204478775833,0.22109872998706812,0.13529160704536358,0.3035938352590925
physics_vit_base,mag_r_desi,8.0,0.1556695712345033,0.06679908464654037,0.2473276555513753,0.17588196733271533,0.09462081412581629,0.2638970669792284
physics_vit_base,mag_r_desi,9.0,0.12649538476111855,0.04109887743452524,0.21274148303097412,0.08942054050651745,0.00780169991784129,0.18058059022189318
physics_vit_base,mag_r_desi,10.0,0.07930759223856035,-0.005829107949738565,0.16915062129510725,0.04687517881461645,-0.03545880871242122,0.134384688178475
physics_vit_base,mag_r_desi,11.0,0.012933169756698795,-0.07343832559440605,0.09837026206550557,0.010100433017475194,-0.07119368400405884,0.09578542952877434
physics_vit_base,mag_r_desi,12.0,-0.0008211614407460542,-0.08533445013515022,0.08521276935963902,0.00045195394307687023,-0.07840492615744707,0.0906531206922436
physics_vit_base,mag_r_desi,13.0,0.01623904975586105,-0.07365400880060381,0.10802911216931639,-0.05140526830775569,-0.13062061882649947,0.04225704492842932
physics_vit_base,mag_r_desi,14.0,0.06580369091705102,-0.020364162207817702,0.15317678196985143,0.02314120418054268,-0.060518150016566664,0.11469574903835666
physics_vit_base,mag_r_desi,15.0,0.07273830071259192,-0.014645815946616876,0.1607065543061201,0.06069012785960334,-0.026357793687164406,0.14685958686240977
physics_vit_base,mag_r_desi,16.0,0.053520557009330845,-0.03501462402954026,0.1393161433704834,0.06924542377633583,-0.018271689378126107,0.15062170064449476
physics_vit_base,mag_r_desi,17.0,0.024816697691375848,-0.060075066214553004,0.11127984570593086,0.0821289274842357,-0.004828808605573819,0.16598416978913577
