dataset_id,d,source,lin_nmse,quad_nmse,quad_close_nmse,stage,ok,quadN_nmse,lin_r2,quad_r2,lam,df,df_frac,n_tr,n_te,m_d,energy,test_sse_lin,sample_id,k
physics_vit_base,4.0,reused_qpd,0.3616749055971178,0.3397543893056055,0.3397543893056055,reuse,,,,,,,,,,,,,,
physics_vit_base,5.0,reused_qpd,0.3277980695417177,0.3038592697445295,0.3038592697445295,reuse,,,,,,,,,,,,,,
physics_vit_base,6.0,reused_qpd,0.3010556061258316,0.2757073692809131,0.2757073692809131,reuse,,,,,,,,,,,,,,
physics_vit_base,7.0,reused_qpd,0.280527381615903,0.2534827090994891,0.2534827090994891,reuse,,,,,,,,,,,,,,
physics_vit_base,8.0,reused_qpd,0.2625857435481567,0.2330533125020035,0.2330533125020035,reuse,,,,,,,,,,,,,,
physics_vit_base,9.0,reused_qpd,0.2478158837407194,0.2171080852880228,0.2171080852880228,reuse,,,,,,,,,,,,,,
physics_vit_base,10.0,reused_qpd,0.2339233971351247,0.2029871543569155,0.2029871543569155,reuse,,,,,,,,,,,,,,
physics_vit_base,11.0,reused_qpd,0.2213462314998766,0.1906083878598152,0.1906083878598152,reuse,,,,,,,,,,,,,,
physics_vit_base,12.0,reused_qpd,0.210716243074312,0.1794413711346111,0.1794413711346111,reuse,,,,,,,,,,,,,,
physics_vit_base,13.0,reused_qpd,0.201732210603565,0.1717276673832248,0.1717276673832248,reuse,,,,,,,,,,,,,,
physics_vit_base,14.0,reused_qpd,0.1937986295077276,0.1636870699540564,0.1636870699540564,reuse,,,,,,,,,,,,,,
physics_vit_base,15.0,reused_qpd,0.1871929411766431,0.1574238762476094,0.1574238762476094,reuse,,,,,,,,,,,,,,
physics_vit_base,16.0,reused_qpd,0.180704988189857,0.1515271686414471,0.1515271686414471,reuse,,,,,,,,,,,,,,
physics_vit_base,17.0,reused_qpd,0.1747816968179626,0.1464459764923444,0.1464459764923444,reuse,,,,,,,,,,,,,,
physics_vit_base,18.0,reused_qpd,0.1689527996268918,0.1419002582541937,0.1419002582541937,reuse,,,,,,,,,,,,,,
physics_vit_base,19.0,reused_qpd,0.1638545958352883,0.1378565205260856,0.1378565205260856,reuse,,,,,,,,,,,,,,
