pair,family,method,k,b,mknn,dense,lift_vs_dense
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,0,0.0047299359169972535,0.017485505035093,-0.012755569118095746
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,0,0.007262740311260299,0.017485505035093,-0.010222764723832701
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,0,0.003021055843759536,0.017485505035093,-0.014464449191333464
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,1,0.0049130302105584375,0.017485505035093,-0.012572474824534562
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,1,0.007201708880073238,0.017485505035093,-0.010283796155019762
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,1,0.003936527311565456,0.017485505035093,-0.013548977723527544
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,2,0.004516325907842539,0.017485505035093,-0.012969179127250461
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,2,0.007415318889227952,0.017485505035093,-0.010070186145865048
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,2,0.0033567287152883735,0.017485505035093,-0.014128776319804626
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,3,0.0044552944766554775,0.017485505035093,-0.013030210558437522
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,3,0.006988098870918523,0.017485505035093,-0.010497406164174477
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,3,0.004943545926151968,0.017485505035093,-0.012541959108941032
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,4,0.0039060115959719255,0.017485505035093,-0.013579493439121074
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,4,0.00732377174244736,0.017485505035093,-0.01016173329264564
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,4,0.0028989929813854134,0.017485505035093,-0.014586512053707586
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,5,0.004241684467500763,0.017485505035093,-0.013243820567592237
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,5,0.007628928898382667,0.017485505035093,-0.009856576136710333
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,5,0.003295697284101312,0.017485505035093,-0.014189807750991688
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,6,0.004150137320720171,0.017485505035093,-0.013335367714372829
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,6,0.008361306072627403,0.017485505035093,-0.009124198962465597
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,6,0.003967043027158987,0.017485505035093,-0.013518462007934013
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,7,0.00411962160512664,0.017485505035093,-0.01336588342996636
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,7,0.007842538907537382,0.017485505035093,-0.009642966127555618
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,7,0.00320415013732072,0.017485505035093,-0.01428135489777228
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,8,0.003387244430881904,0.017485505035093,-0.014098260604211096
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,8,0.007812023191943851,0.017485505035093,-0.009673481843149149
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,8,0.0039060115959719255,0.017485505035093,-0.013579493439121074
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,9,0.0040891058895331095,0.017485505035093,-0.01339639914555989
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,9,0.00683552029295087,0.017485505035093,-0.01064998474214213
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,9,0.003417760146475435,0.017485505035093,-0.014067744888617565
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,10,0.004241684467500763,0.017485505035093,-0.013243820567592237
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,10,0.007262740311260299,0.017485505035093,-0.010222764723832701
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,10,0.002563320109856576,0.017485505035093,-0.014922184925236424
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,11,0.0045773573390296,0.017485505035093,-0.0129081476960634
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,11,0.007628928898382667,0.017485505035093,-0.009856576136710333
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,11,0.003692401586817211,0.017485505035093,-0.013793103448275789
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,12,0.003417760146475435,0.017485505035093,-0.014067744888617565
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,12,0.0068660360085444,0.017485505035093,-0.0106194690265486
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,12,0.003021055843759536,0.017485505035093,-0.014464449191333464
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,13,0.003936527311565456,0.017485505035093,-0.013548977723527544
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,13,0.006774488861763808,0.017485505035093,-0.010711016173329192
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,13,0.0040891058895331095,0.017485505035093,-0.01339639914555989
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,14,0.004760451632590784,0.017485505035093,-0.012725053402502216
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,14,0.007171193164479707,0.017485505035093,-0.010314311870613293
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,14,0.003234665852914251,0.017485505035093,-0.014250839182178749
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,15,0.003326212999694843,0.017485505035093,-0.014159292035398157
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,15,0.006652425999389686,0.017485505035093,-0.010833079035703314
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,15,0.003875495880378395,0.017485505035093,-0.013610009154714605
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,16,0.0039975587427525175,0.017485505035093,-0.013487946292340482
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,16,0.007049130302105584,0.017485505035093,-0.010436374732987416
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,16,0.003295697284101312,0.017485505035093,-0.014189807750991688
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,17,0.0041806530363137015,0.017485505035093,-0.013304851998779298
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,17,0.007415318889227952,0.017485505035093,-0.010070186145865048
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,17,0.0026243515410436374,0.017485505035093,-0.014861153494049362
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,18,0.00411962160512664,0.017485505035093,-0.01336588342996636
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,18,0.007506866036008544,0.017485505035093,-0.009978638999084456
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,18,0.0033567287152883735,0.017485505035093,-0.014128776319804626
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,19,0.003143118706133659,0.017485505035093,-0.014342386328959341
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,19,0.007201708880073238,0.017485505035093,-0.010283796155019762
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,19,0.00366188587122368,0.017485505035093,-0.01382361916386932
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,0,0.003692401586817211,0.0218797680805614,-0.018187366493744188
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,0,0.009765028989929814,0.0218797680805614,-0.012114739090631585
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,0,0.003478791577662496,0.0218797680805614,-0.018400976502898903
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,1,0.005218187366493744,0.0218797680805614,-0.016661580714067654
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,1,0.009429356118400976,0.0218797680805614,-0.012450411962160422
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,1,0.003387244430881904,0.0218797680805614,-0.018492523649679495
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,2,0.004211168751907232,0.0218797680805614,-0.017668599328654166
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,2,0.009826060421116875,0.0218797680805614,-0.012053707659444524
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,2,0.003387244430881904,0.0218797680805614,-0.018492523649679495
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,3,0.0039060115959719255,0.0218797680805614,-0.017973756484589473
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,3,0.009246261824839792,0.0218797680805614,-0.012633506255721606
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,3,0.003387244430881904,0.0218797680805614,-0.018492523649679495
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,4,0.003570338724443088,0.0218797680805614,-0.01830942935611831
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,4,0.009734513274336283,0.0218797680805614,-0.012145254806225116
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,4,0.003417760146475435,0.0218797680805614,-0.018462007934085964
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,5,0.004028074458346048,0.0218797680805614,-0.01785169362221535
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,5,0.010344827586206896,0.0218797680805614,-0.011534940494354502
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,5,0.003967043027158987,0.0218797680805614,-0.017912725053402412
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,6,0.003844980164784864,0.0218797680805614,-0.018034787915776535
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,6,0.009368324687213915,0.0218797680805614,-0.012511443393347484
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,6,0.003112602990540128,0.0218797680805614,-0.01876716509002127
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,7,0.004516325907842539,0.0218797680805614,-0.01736344217271886
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,7,0.010009154714678059,0.0218797680805614,-0.01187061336588334
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,7,0.003509307293256027,0.0218797680805614,-0.018370460787305372
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,8,0.003936527311565456,0.0218797680805614,-0.017943240768995943
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,8,0.009093683246872139,0.0218797680805614,-0.01278608483368926
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,8,0.003875495880378395,0.0218797680805614,-0.018004272200183004
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,9,0.004394263045468416,0.0218797680805614,-0.017485505035092982
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,9,0.009826060421116875,0.0218797680805614,-0.012053707659444524
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,9,0.003783948733597803,0.0218797680805614,-0.018095819346963596
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,10,0.0035398230088495575,0.0218797680805614,-0.01833994507171184
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,10,0.009978638999084528,0.0218797680805614,-0.01190112908147687
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,10,0.00366188587122368,0.0218797680805614,-0.01821788220933772
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,11,0.004394263045468416,0.0218797680805614,-0.017485505035092982
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,11,0.009368324687213915,0.0218797680805614,-0.012511443393347484
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,11,0.0035398230088495575,0.0218797680805614,-0.01833994507171184
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,12,0.0039060115959719255,0.0218797680805614,-0.017973756484589473
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,12,0.009429356118400976,0.0218797680805614,-0.012450411962160422
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,12,0.002929508696978944,0.0218797680805614,-0.018950259383582455
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,13,0.0043637473298748855,0.0218797680805614,-0.017516020750686513
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,13,0.009459871833994507,0.0218797680805614,-0.012419896246566892
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,13,0.003783948733597803,0.0218797680805614,-0.018095819346963596
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,14,0.003326212999694843,0.0218797680805614,-0.018553555080866556
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,14,0.009520903265181568,0.0218797680805614,-0.01235886481537983
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,14,0.003387244430881904,0.0218797680805614,-0.018492523649679495
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,15,0.00411962160512664,0.0218797680805614,-0.01776014647543476
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,15,0.01007018614586512,0.0218797680805614,-0.011809581934696278
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,15,0.002837961550198352,0.0218797680805614,-0.019041806530363047
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,16,0.004485810192249008,0.0218797680805614,-0.01739395788831239
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,16,0.008941104668904486,0.0218797680805614,-0.012938663411656913
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,16,0.003967043027158987,0.0218797680805614,-0.017912725053402412
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,17,0.00411962160512664,0.0218797680805614,-0.01776014647543476
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,17,0.009337808971620384,0.0218797680805614,-0.012541959108941014
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,17,0.003326212999694843,0.0218797680805614,-0.018553555080866556
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,18,0.003753433018004272,0.0218797680805614,-0.018126335062557127
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,18,0.010588953310955142,0.0218797680805614,-0.011290814769606257
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,18,0.0039975587427525175,0.0218797680805614,-0.01788220933780888
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,19,0.003570338724443088,0.0218797680805614,-0.01830942935611831
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,19,0.010131217577052182,0.0218797680805614,-0.011748550503509217
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,19,0.003570338724443088,0.0218797680805614,-0.01830942935611831
official_legacy_cross_astropt_850m,astropt,dense_ridge,10,0,0.0041806530363137015,0.0262129996948428,-0.022032346658529097
official_legacy_cross_astropt_850m,astropt,sae_ridge,10,0,0.009978638999084528,0.0262129996948428,-0.01623436069575827
official_legacy_cross_astropt_850m,astropt,bsf_ridge,10,0,0.004943545926151968,0.0262129996948428,-0.02126945376869083
official_legacy_cross_astropt_850m,astropt,dense_ridge,10,1,0.00366188587122368,0.0262129996948428,-0.02255111382361912
official_legacy_cross_astropt_850m,astropt,sae_ridge,10,1,0.009490387549588038,0.0262129996948428,-0.01672261214525476
official_legacy_cross_astropt_850m,astropt,bsf_ridge,10,1,0.005065608788526091,0.0262129996948428,-0.021147390906316708
official_legacy_cross_astropt_850m,astropt,dense_ridge,10,2,0.003692401586817211,0.0262129996948428,-0.022520598108025588
official_legacy_cross_astropt_850m,astropt,sae_ridge,10,2,0.009307293256026854,0.0262129996948428,-0.016905706438815945
official_legacy_cross_astropt_850m,astropt,bsf_ridge,10,2,0.0052792187976808055,0.0262129996948428,-0.020933780897161993
official_legacy_cross_astropt_850m,astropt,dense_ridge,10,3,0.003783948733597803,0.0262129996948428,-0.022429050961244996
official_legacy_cross_astropt_850m,astropt,sae_ridge,10,3,0.010283796155019835,0.0262129996948428,-0.015929203539822964
official_legacy_cross_astropt_850m,astropt,bsf_ridge,10,3,0.005126640219713152,0.0262129996948428,-0.021086359475129646
official_legacy_cross_astropt_850m,astropt,dense_ridge,10,4,0.0035398230088495575,0.0262129996948428,-0.02267317668599324
official_legacy_cross_astropt_850m,astropt,sae_ridge,10,4,0.009429356118400976,0.0262129996948428,-0.016783643576441822
official_legacy_cross_astropt_850m,astropt,bsf_ridge,10,4,0.00549282880683552,0.0262129996948428,-0.02072017088800728
official_legacy_cross_astropt_850m,astropt,dense_ridge,10,5,0.004241684467500763,0.0262129996948428,-0.021971315227342036
official_legacy_cross_astropt_850m,astropt,sae_ridge,10,5,0.010466890448581019,0.0262129996948428,-0.01574610924626178
official_legacy_cross_astropt_850m,astropt,bsf_ridge,10,5,0.0047299359169972535,0.0262129996948428,-0.021483063777845545
official_legacy_cross_astropt_850m,astropt,dense_ridge,10,6,0.003783948733597803,0.0262129996948428,-0.022429050961244996
official_legacy_cross_astropt_850m,astropt,sae_ridge,10,6,0.00869697894415624,0.0262129996948428,-0.017516020750686558
