pair,family,method,k,real,null_mean,null_sd,null_p025,null_p50,null_p975,p_emp,B
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,0.0320415013732072,0.0041104668904485804,0.0004937514451066433,0.0032300884955752214,0.0041348794629234055,0.004840555386023802,0.047619047619047616,20
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,0.0240768996032956,0.007310039670430269,0.00041458305278605965,0.006710405859017394,0.007262740311260299,0.008114891669209642,0.047619047619047616,20
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,0.0369240158681721,0.0034681110772047607,0.0005592111424665389,0.00259231003967043,0.0033567287152883735,0.004537686908758009,0.047619047619047616,20
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,0.0482148306377784,0.00404485810192249,0.0004412688875960642,0.003427677754043332,0.003982300884955752,0.00488480317363442,0.047619047619047616,20
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,0.0296917912725053,0.00967348184314922,0.0004268757173656768,0.00901357949343912,0.009627708269758926,0.010472993591699726,0.047619047619047616,20
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,0.0288068355202929,0.003515410436374733,0.00032575850809672723,0.0028814464449191334,0.0034940494354592615,0.00398306377784559,0.047619047619047616,20
official_legacy_cross_astropt_850m,astropt,dense_ridge,10,0.0501983521513579,0.003803783948733598,0.0003129711222148588,0.00333613060726274,0.003738175160207507,0.004320262435154104,0.047619047619047616,20
official_legacy_cross_astropt_850m,astropt,sae_ridge,10,0.0353371986573085,0.009649069270674396,0.0005369743789733982,0.008740463838877022,0.009597192554165395,0.010466890448581019,0.047619047619047616,20
official_legacy_cross_astropt_850m,astropt,bsf_ridge,10,0.0347268843454379,0.004974061641745499,0.00032716969953934077,0.004362221544095209,0.005019835215135795,0.005463838877021666,0.047619047619047616,20
official_legacy_cross_convnext_nano,convnext,dense_ridge,10,0.0411046689044858,0.005280744583460482,0.0005111508210725996,0.00434848947207812,0.0053707659444613975,0.006046689044858102,0.047619047619047616,20
official_legacy_cross_convnext_nano,convnext,sae_ridge,10,0.0306377784559047,0.011473909063167533,0.0003470864803307479,0.010841470857491608,0.011550198352151358,0.011962160512664022,0.047619047619047616,20
official_legacy_cross_convnext_nano,convnext,bsf_ridge,10,0.0291425083918217,0.004063167531278608,0.00041597568093693175,0.0032796765334147087,0.004028074458346048,0.00473146170277693,0.047619047619047616,20
official_legacy_cross_convnext_tiny,convnext,dense_ridge,10,0.0421116875190723,0.0049023497101007025,0.0004173871476247633,0.004173024107415319,0.004928288068355203,0.005617943240768996,0.047619047619047616,20
official_legacy_cross_convnext_tiny,convnext,sae_ridge,10,0.0305462313091242,0.011405248703082087,0.0005819396190524606,0.010526396093988404,0.011382361916386939,0.012466432712847116,0.047619047619047616,20
official_legacy_cross_convnext_tiny,convnext,bsf_ridge,10,0.0301800427220018,0.0042264266097039975,0.00041753096644345705,0.0034772657918828195,0.004333231614281355,0.0048100396704302715,0.047619047619047616,20
official_legacy_cross_convnext_base,convnext,dense_ridge,10,0.0454379005187671,0.005044247787610619,0.000378832409527933,0.004362221544095209,0.0051418980775099175,0.005635489777235276,0.047619047619047616,20
official_legacy_cross_convnext_base,convnext,sae_ridge,10,0.0342081171803478,0.011846200793408607,0.00048387531823865227,0.010987946292340555,0.011809581934696368,0.01271208422337504,0.047619047619047616,20
official_legacy_cross_convnext_base,convnext,bsf_ridge,10,0.0347268843454379,0.005068660360085445,0.00033979420415310624,0.004436222154409521,0.005202929508696979,0.005561489166920964,0.047619047619047616,20
official_legacy_cross_convnext_large,convnext,dense_ridge,10,0.0472383277387854,0.00496032956972841,0.0004545095069010874,0.004229478181263351,0.004882514494964907,0.00580103753433018,0.047619047619047616,20
