dataset_id,label,d,rho,null_mean,null_sd,T,scientific,family,maxT_global_p,survives_maxT
physics_vit_base,photo_z,6,-0.08093915706331477,0.0004997207614394932,0.04564219066298933,-1.7842894182288231,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,7,-0.02425002526470444,0.00022621506643235177,0.04539973973484093,-0.5391273270307559,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,8,-0.06222569552017538,0.0004554513492457848,0.04536480496592217,-1.381713134587638,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,9,-0.18039750833624676,0.0007848725122005856,0.04626754935829379,-3.9159709853093636,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,10,-0.2235843417654422,0.0010213818234327755,0.04638757695180718,-4.841936965628137,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,11,-0.2235178906172084,0.000534353131795072,0.04612960764208792,-4.857016029431426,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,12,-0.2310224476622574,0.0003311938938360535,0.04603269389851826,-5.025854929675112,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,13,-0.17036327438530477,0.0006240537456002372,0.04637565970968538,-3.6870058388666966,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,14,-0.04417022196894862,-0.0004147010173770305,0.04626358285342824,-0.9457875558448927,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,15,-0.005305809068713141,-0.0005583755756980299,0.04586961250328987,-0.1034984433904824,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,16,0.10562205461643091,-0.0009847185467697776,0.045662544495390714,2.334665628937122,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,17,0.21895399037486624,-0.0005978150398076655,0.04576816234478183,4.7970421831827315,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,18,0.20068523185701212,-0.00029940596432778514,0.04567346967787177,4.400467913623705,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,19,0.2341885518713682,0.00039511261202989116,0.04636694939560828,5.042243285504619,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,20,0.25239362343184685,0.0002994040846780018,0.04593039916697659,5.48861372684132,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,21,0.2516638770452524,0.00028354689471904654,0.04594997854087676,5.470738793205469,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,22,0.2574277678230051,5.3007152177994363e-05,0.04607839103404806,5.5855848022264665,True,scientific,9.999000099990002e-05,True
physics_vit_base,photo_z,23,0.2551729620560626,-5.4235359573686633e-05,0.04610278530916668,5.536047241052247,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,24,0.20974658119346257,0.0005358196013859872,0.04604103846261747,4.544006142735964,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,25,0.21221522476520407,0.0005565619569056009,0.04642019432882525,4.5596246605298285,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,26,0.14325551804364278,0.0004948626075519022,0.04613151786701615,3.0946446602435373,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,27,0.09252178016544897,0.0004362255946824927,0.04644388449263913,1.9827272325888476,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,28,0.07952975142847854,0.0008182336311804267,0.046279340571254615,1.7007916885960994,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,29,0.07536466864317369,0.0005697137448174185,0.04596319708636063,1.627279206836361,True,scientific,9.999000099990002e-05,False
physics_vit_base,photo_z,30,0.08027619352785717,0.0003709354176659217,0.04561756596766419,1.751633530093029,True,scientific,9.999000099990002e-05,False
