d,scope,n,rho_oldK_oldy,rho_oldK_newy,rho_newK_oldy,rho_newK_newy,frozen_raw_expected,disagreement_follows
12,original_union_aligned_on_id,512,-0.03842556233620581,-0.0008211614407460542,-0.03842556233620581,-0.0008211614407460542,-0.038426,labels
12,intersection,512,-0.03842556233620581,-0.0008211614407460542,-0.03842556233620581,-0.0008211614407460542,-0.038426,labels
12,frozen_discovery_order,512,-0.03842556233620581,-0.0008211614407460542,-0.03842556233620581,-0.0008211614407460542,-0.038426,labels
16,original_union_aligned_on_id,512,-0.41243045899566266,0.053520557009330845,-0.41243045899566266,0.053520557009330845,-0.41243,labels
16,intersection,512,-0.41243045899566266,0.053520557009330845,-0.41243045899566266,0.053520557009330845,-0.41243,labels
16,frozen_discovery_order,512,-0.41243045899566266,0.053520557009330845,-0.41243045899566266,0.053520557009330845,-0.41243,labels
20,original_union_aligned_on_id,512,-0.3922506930854533,0.027524755710729893,-0.3922506930854533,0.027524755710729893,-0.392251,labels
20,intersection,512,-0.3922506930854533,0.027524755710729893,-0.3922506930854533,0.027524755710729893,-0.392251,labels
20,frozen_discovery_order,512,-0.3922506930854533,0.027524755710729893,-0.3922506930854533,0.027524755710729893,-0.392251,labels
