sample_id,d,K_H_old,K_H_new,K_H_abs_diff,R_H_old,R_H_new,dS_old,dS_new,H_S_cosine,H_S_note,ridge_penalty,whitening
0,12,0.02490252223567605,0.02490252223567605,0.0,0.4568028828676252,0.4568028828676252,0.00394407423427765,0.00394407423427765,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1,12,0.061274774969680444,0.061274774969680444,0.0,0.7117522509399707,0.7117522509399707,0.0045679923082389,0.0045679923082389,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
8,12,0.03439185403575532,0.03439185403575532,0.0,0.49338434102876694,0.49338434102876694,0.008047309097401012,0.008047309097401012,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
11,12,0.03320639738521172,0.03320639738521172,0.0,0.5705858523191847,0.5705858523191847,0.00495960300677325,0.00495960300677325,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
16,12,0.03216458879185433,0.03216458879185433,0.0,0.5415230248187829,0.5415230248187829,0.005487870517481497,0.005487870517481497,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
18,12,0.015879717298340267,0.015879717298340267,0.0,0.35984115321422416,0.35984115321422416,0.004011807100687293,0.004011807100687293,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
19,12,0.027594713514114088,0.027594713514114088,0.0,0.5186945604868622,0.5186945604868622,0.0035721343416298622,0.0035721343416298622,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
22,12,0.04858492837481673,0.04858492837481673,0.0,0.5554081087776893,0.5554081087776893,0.007093227972927707,0.007093227972927707,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
25,12,0.03240036053957615,0.03240036053957615,0.0,0.5211443186337494,0.5211443186337494,0.00456732999846281,0.00456732999846281,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
26,12,0.03520872553727102,0.03520872553727102,0.0,0.5721274037330183,0.5721274037330183,0.004079147852553433,0.004079147852553433,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
28,12,0.030603647070211036,0.030603647070211036,0.0,0.5404080949012917,0.5404080949012917,0.0036925829285792133,0.0036925829285792133,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
30,12,0.028545620572516674,0.028545620572516674,0.0,0.5157563905320837,0.5157563905320837,0.005489763843615947,0.005489763843615947,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
32,12,0.020664676633869988,0.020664676633869988,0.0,0.4253439179617068,0.4253439179617068,0.0035970054782410443,0.0035970054782410443,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
38,12,0.03443064743900011,0.03443064743900011,0.0,0.5697250834717323,0.5697250834717323,0.0037528859757003374,0.0037528859757003374,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
42,12,0.036328838803979635,0.036328838803979635,0.0,0.5669249680178935,0.5669249680178935,0.003977810137621418,0.003977810137621418,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
46,12,0.024209883257991588,0.024209883257991588,0.0,0.4484787911000897,0.4484787911000897,0.0040925207045802384,0.0040925207045802384,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
48,12,0.030384531930349595,0.030384531930349595,0.0,0.5488475860815115,0.5488475860815115,0.0032230389484539045,0.0032230389484539045,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
55,12,0.027782918918956796,0.027782918918956796,0.0,0.45364990667998556,0.45364990667998556,0.004126777030251105,0.004126777030251105,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
58,12,0.02689366987493009,0.02689366987493009,0.0,0.44569026971683723,0.44569026971683723,0.01151101254781679,0.01151101254781679,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
74,12,0.040761844424939006,0.040761844424939006,0.0,0.5911493285882095,0.5911493285882095,0.003943423362989052,0.003943423362989052,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
85,12,0.029818052668137286,0.029818052668137286,0.0,0.5438843420021451,0.5438843420021451,0.0037856311629184346,0.0037856311629184346,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
90,12,0.03204488733073864,0.03204488733073864,0.0,0.5362397887097442,0.5362397887097442,0.0034582957803650062,0.0034582957803650062,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
108,12,0.03480346525561678,0.03480346525561678,0.0,0.5740850798995394,0.5740850798995394,0.0038911259855922255,0.0038911259855922255,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
109,12,0.04338571975391075,0.04338571975391075,0.0,0.6225007143485487,0.6225007143485487,0.005945328661164239,0.005945328661164239,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
111,12,0.020371908744830195,0.020371908744830195,0.0,0.4452098836907946,0.4452098836907946,0.002906077600800927,0.002906077600800927,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
114,12,0.02907970916637328,0.02907970916637328,0.0,0.4406357247386706,0.4406357247386706,0.007134118851809035,0.007134118851809035,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
117,12,0.024810994945467756,0.024810994945467756,0.0,0.4695433207524566,0.4695433207524566,0.0034606605178851167,0.0034606605178851167,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
119,12,0.018561580282173407,0.018561580282173407,0.0,0.4529667357018826,0.4529667357018826,0.0031879108119028388,0.0031879108119028388,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
120,12,0.055632916502681984,0.055632916502681984,0.0,0.6026650393181798,0.6026650393181798,0.010071835898088466,0.010071835898088466,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
133,12,0.03451809278775271,0.03451809278775271,0.0,0.5806805096141602,0.5806805096141602,0.0031825315238620533,0.0031825315238620533,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
136,12,0.04197682204657234,0.04197682204657234,0.0,0.5641757437693681,0.5641757437693681,0.00826779363433161,0.00826779363433161,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
146,12,0.02930825454401853,0.02930825454401853,0.0,0.5705058241236586,0.5705058241236586,0.0032390292446052627,0.0032390292446052627,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
149,12,0.03721945496373572,0.03721945496373572,0.0,0.49677632637592667,0.49677632637592667,0.007360812222668755,0.007360812222668755,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
160,12,0.02623552691033191,0.02623552691033191,0.0,0.4803062440284198,0.4803062440284198,0.004903951305459486,0.004903951305459486,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
161,12,0.022875334296868353,0.022875334296868353,0.0,0.5244431745975018,0.5244431745975018,0.003596210001978761,0.003596210001978761,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
163,12,0.034085373307365684,0.034085373307365684,0.0,0.5678618194689623,0.5678618194689623,0.0036003036431338843,0.0036003036431338843,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
166,12,0.026383021947015688,0.026383021947015688,0.0,0.5332153292869933,0.5332153292869933,0.003589445840771077,0.003589445840771077,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
168,12,0.03346535066836433,0.03346535066836433,0.0,0.5403001138448313,0.5403001138448313,0.004758373886033951,0.004758373886033951,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
170,12,0.02884760795426313,0.02884760795426313,0.0,0.5271139838966453,0.5271139838966453,0.00804494712892847,0.00804494712892847,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
189,12,0.027992696167357868,0.027992696167357868,0.0,0.4852205865933238,0.4852205865933238,0.003480562812274002,0.003480562812274002,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
193,12,0.02746522369175224,0.02746522369175224,0.0,0.4615766320108829,0.4615766320108829,0.004989779530569649,0.004989779530569649,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
197,12,0.028638679527774002,0.028638679527774002,0.0,0.5388393171504152,0.5388393171504152,0.004936564080617245,0.004936564080617245,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
