scheme,replicate,outcome,controlled,estimator
conditional_support,19,delta_adapt,-0.1652747736922214,K_dir
conditional_support,20,r2_G,-0.06746702300843434,K_dir
conditional_support,20,mse_G,0.20778008091003763,K_dir
conditional_support,20,r2_P,-0.16205557415227567,K_dir
conditional_support,20,mse_P,0.20560989731749466,K_dir
conditional_support,20,delta_adapt,-0.15268747639647062,K_dir
conditional_support,21,r2_G,-0.05976172237099599,K_dir
conditional_support,21,mse_G,0.211894784049164,K_dir
conditional_support,21,r2_P,-0.15722605958389124,K_dir
conditional_support,21,mse_P,0.19861761996314986,K_dir
conditional_support,21,delta_adapt,-0.1630029339902267,K_dir
conditional_support,22,r2_G,-0.06857272318925166,K_dir
conditional_support,22,mse_G,0.21624391315045605,K_dir
conditional_support,22,r2_P,-0.1586105317517538,K_dir
conditional_support,22,mse_P,0.20323041121639718,K_dir
conditional_support,22,delta_adapt,-0.1594180585596411,K_dir
conditional_support,23,r2_G,-0.06866883604559344,K_dir
conditional_support,23,mse_G,0.20493469332578018,K_dir
conditional_support,23,r2_P,-0.1598033146507822,K_dir
conditional_support,23,mse_P,0.20597002995502456,K_dir
conditional_support,23,delta_adapt,-0.1664190084228837,K_dir
conditional_support,24,r2_G,-0.07243735408727298,K_dir
conditional_support,24,mse_G,0.20769264056259368,K_dir
conditional_support,24,r2_P,-0.1754048899360273,K_dir
conditional_support,24,mse_P,0.20954176251130108,K_dir
conditional_support,24,delta_adapt,-0.1555516395154553,K_dir
conditional_support,25,r2_G,-0.07595347529783363,K_dir
conditional_support,25,mse_G,0.19792408747324933,K_dir
conditional_support,25,r2_P,-0.17663173701948937,K_dir
conditional_support,25,mse_P,0.21505148788066053,K_dir
conditional_support,25,delta_adapt,-0.14973748226159006,K_dir
conditional_support,26,r2_G,-0.05311357374600886,K_dir
conditional_support,26,mse_G,0.20345348245041828,K_dir
conditional_support,26,r2_P,-0.15452506480241698,K_dir
conditional_support,26,mse_P,0.2003641023220151,K_dir
conditional_support,26,delta_adapt,-0.1694545653517355,K_dir
conditional_support,27,r2_G,-0.05967437143086025,K_dir
conditional_support,27,mse_G,0.1954715556013321,K_dir
conditional_support,27,r2_P,-0.14221287379407424,K_dir
conditional_support,27,mse_P,0.18666788618235086,K_dir
conditional_support,27,delta_adapt,-0.17648162214897975,K_dir
conditional_support,28,r2_G,-0.07900995353681006,K_dir
conditional_support,28,mse_G,0.21253038060333485,K_dir
conditional_support,28,r2_P,-0.1680355819628981,K_dir
conditional_support,28,mse_P,0.21184185492269483,K_dir
conditional_support,28,delta_adapt,-0.16099779628866687,K_dir
conditional_support,29,r2_G,-0.05329632228402055,K_dir
conditional_support,29,mse_G,0.21147841421476063,K_dir
conditional_support,29,r2_P,-0.15720853575147914,K_dir
conditional_support,29,mse_P,0.2024809097515478,K_dir
conditional_support,29,delta_adapt,-0.17322853723921677,K_dir
conditional_support,30,r2_G,-0.08216683618292306,K_dir
conditional_support,30,mse_G,0.2314070349961662,K_dir
conditional_support,30,r2_P,-0.1879053727354917,K_dir
conditional_support,30,mse_P,0.22822592296952424,K_dir
conditional_support,30,delta_adapt,-0.13734849037548208,K_dir
conditional_support,31,r2_G,-0.05972631707693892,K_dir
conditional_support,31,mse_G,0.20294019509389913,K_dir
conditional_support,31,r2_P,-0.15852058799967958,K_dir
conditional_support,31,mse_P,0.20280769346310984,K_dir
conditional_support,31,delta_adapt,-0.1629953343690276,K_dir
object_support,0,r2_G,-0.1410820501596457,K_dir
object_support,0,mse_G,0.22979716700426864,K_dir
object_support,0,r2_P,-0.21762767005985287,K_dir
object_support,0,mse_P,0.2404460244503954,K_dir
object_support,0,delta_adapt,-0.07077562985660499,K_dir
object_support,1,r2_G,-0.12833918414758355,K_dir
object_support,1,mse_G,0.23081605268879962,K_dir
object_support,1,r2_P,-0.2066545323067944,K_dir
object_support,1,mse_P,0.23423597163571028,K_dir
object_support,1,delta_adapt,-0.10475004935283413,K_dir
object_support,2,r2_G,-0.08986087149952507,K_dir
object_support,2,mse_G,0.19169114638765866,K_dir
object_support,2,r2_P,-0.1610157671576201,K_dir
object_support,2,mse_P,0.19569364335496275,K_dir
object_support,2,delta_adapt,-0.13215580332108812,K_dir
object_support,3,r2_G,-0.09332585172978107,K_dir
object_support,3,mse_G,0.20022248114578683,K_dir
object_support,3,r2_P,-0.17393771600805666,K_dir
object_support,3,mse_P,0.21657382611780596,K_dir
object_support,3,delta_adapt,-0.13686899898147195,K_dir
object_support,4,r2_G,-0.11072013295224363,K_dir
object_support,4,mse_G,0.23527863966422904,K_dir
object_support,4,r2_P,-0.1920776541811149,K_dir
object_support,4,mse_P,0.2326015166340509,K_dir
object_support,4,delta_adapt,-0.1341405561563727,K_dir
object_support,5,r2_G,-0.13418561743971802,K_dir
object_support,5,mse_G,0.2519322707453565,K_dir
object_support,5,r2_P,-0.19641176285462517,K_dir
object_support,5,mse_P,0.2363791542211694,K_dir
object_support,5,delta_adapt,-0.09703205287762787,K_dir
object_support,6,r2_G,-0.0881564999828338,K_dir
object_support,6,mse_G,0.19360043945480138,K_dir
object_support,6,r2_P,-0.17032503490461312,K_dir
object_support,6,mse_P,0.20270800431443908,K_dir
object_support,6,delta_adapt,-0.1385600488092377,K_dir
object_support,7,r2_G,-0.11697837630606196,K_dir
object_support,7,mse_G,0.23606202649889563,K_dir
object_support,7,r2_P,-0.1724193116924732,K_dir
object_support,7,mse_P,0.2164541097320928,K_dir
object_support,7,delta_adapt,-0.1204998619551161,K_dir
object_support,8,r2_G,-0.12459605778143991,K_dir
object_support,8,mse_G,0.23641724173447315,K_dir
object_support,8,r2_P,-0.20545084171616254,K_dir
object_support,8,mse_P,0.24202915965713367,K_dir
object_support,8,delta_adapt,-0.09080474445245534,K_dir
object_support,9,r2_G,-0.12597713247158995,K_dir
object_support,9,mse_G,0.23745713813643698,K_dir
object_support,9,r2_P,-0.21092149609182775,K_dir
object_support,9,mse_P,0.24616827099140545,K_dir
object_support,9,delta_adapt,-0.10907816773669333,K_dir
object_support,10,r2_G,-0.12215747344960574,K_dir
object_support,10,mse_G,0.252363392785617,K_dir
object_support,10,r2_P,-0.21229282538538125,K_dir
object_support,10,mse_P,0.24171936333413443,K_dir
object_support,10,delta_adapt,-0.11299107858115609,K_dir
object_support,11,r2_G,-0.11246545301610189,K_dir
object_support,11,mse_G,0.22741723386663007,K_dir
object_support,11,r2_P,-0.17605792091530195,K_dir
object_support,11,mse_P,0.22204492753001223,K_dir
object_support,11,delta_adapt,-0.11698195259839096,K_dir
object_support,12,r2_G,-0.11892227000148775,K_dir
object_support,12,mse_G,0.2091331711127133,K_dir
object_support,12,r2_P,-0.16586253733649192,K_dir
object_support,12,mse_P,0.20713688473466774,K_dir
object_support,12,delta_adapt,-0.11859092651720626,K_dir
object_support,13,r2_G,-0.13659800543024228,K_dir
object_support,13,mse_G,0.24917816802279671,K_dir
object_support,13,r2_P,-0.21642800279809116,K_dir
object_support,13,mse_P,0.23932700258065254,K_dir
object_support,13,delta_adapt,-0.1051211790892757,K_dir
object_support,14,r2_G,-0.10191664234787882,K_dir
object_support,14,mse_G,0.23090796340165484,K_dir
object_support,14,r2_P,-0.17936876294617823,K_dir
object_support,14,mse_P,0.22438364389855917,K_dir
object_support,14,delta_adapt,-0.11698347252263078,K_dir
object_support,15,r2_G,-0.1158758947883407,K_dir
object_support,15,mse_G,0.21737053464139802,K_dir
object_support,15,r2_P,-0.18977782999164577,K_dir
object_support,15,mse_P,0.22690805924628923,K_dir
object_support,15,delta_adapt,-0.12254854101578147,K_dir
object_support,16,r2_G,-0.13833465298520273,K_dir
object_support,16,mse_G,0.2507641642633982,K_dir
object_support,16,r2_P,-0.21048769183232052,K_dir
object_support,16,mse_P,0.2512018130371591,K_dir
object_support,16,delta_adapt,-0.10488818364404161,K_dir
object_support,17,r2_G,-0.10940396796786486,K_dir
object_support,17,mse_G,0.21223381656195284,K_dir
object_support,17,r2_P,-0.16788850694086815,K_dir
object_support,17,mse_P,0.21178740587198588,K_dir
