scheme,replicate,overlap,jaccard,radius,retained_n,k_prime
conditional_support,0,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,1,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,2,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,3,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,4,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,5,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,6,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,7,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,8,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,9,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,10,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,11,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,12,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,13,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,14,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,15,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,16,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,17,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,18,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,19,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,20,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,21,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,22,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,23,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,24,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,25,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,26,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,27,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,28,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,29,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,30,1.0,1.0,0.3544610566832609,16384.0,2048.0
conditional_support,31,1.0,1.0,0.3544610566832609,16384.0,2048.0
object_support,0,0.79833984375,0.7971721111652852,0.3546671435004427,13107.0,1638.0
object_support,1,0.79833984375,0.7971721111652852,0.3538141758449357,13107.0,1638.0
object_support,2,0.7998046875,0.7998046875,0.3539944468025592,13107.0,1638.0
object_support,3,0.7998046875,0.7998046875,0.35479085823205736,13107.0,1638.0
object_support,4,0.7998046875,0.7998046875,0.35392732286906686,13107.0,1638.0
object_support,5,0.7998046875,0.7998046875,0.3549755504527715,13107.0,1638.0
object_support,6,0.796875,0.7945472249269717,0.3544015993180824,13107.0,1638.0
object_support,7,0.7998046875,0.7998046875,0.35575168051675676,13107.0,1638.0
object_support,8,0.799560546875,0.7993654965074426,0.3547428554449167,13107.0,1638.0
object_support,9,0.7998046875,0.7998046875,0.35481285008214974,13107.0,1638.0
object_support,10,0.795166015625,0.7914946379968752,0.35463595494519007,13107.0,1638.0
object_support,11,0.7998046875,0.7998046875,0.3547226401243535,13107.0,1638.0
object_support,12,0.7998046875,0.7998046875,0.35404797635400087,13107.0,1638.0
object_support,13,0.7978515625,0.7962962962962963,0.3548084118847953,13107.0,1638.0
object_support,14,0.7998046875,0.7998046875,0.3539798757997994,13107.0,1638.0
object_support,15,0.7998046875,0.7998046875,0.3541765447701391,13107.0,1638.0
object_support,16,0.798828125,0.7980487804878049,0.3550096240527363,13107.0,1638.0
object_support,17,0.7998046875,0.7998046875,0.3545418815002992,13107.0,1638.0
object_support,18,0.79638671875,0.7936739659367397,0.35475624210835466,13107.0,1638.0
object_support,19,0.7958984375,0.7928015564202334,0.3558593904280072,13107.0,1638.0
object_support,20,0.79736328125,0.7954213346322455,0.3543209883223768,13107.0,1638.0
object_support,21,0.79736328125,0.7954213346322455,0.35575608705926326,13107.0,1638.0
object_support,22,0.7998046875,0.7998046875,0.35473683277816265,13107.0,1638.0
object_support,23,0.79248046875,0.7867183713039263,0.3555502303961595,13107.0,1638.0
object_support,24,0.7998046875,0.7998046875,0.3543962114544763,13107.0,1638.0
object_support,25,0.7998046875,0.7998046875,0.35451319191957,13107.0,1638.0
object_support,26,0.7998046875,0.7998046875,0.3551635431970729,13107.0,1638.0
object_support,27,0.7998046875,0.7998046875,0.35521807130762345,13107.0,1638.0
object_support,28,0.7998046875,0.7998046875,0.3533162091026649,13107.0,1638.0
object_support,29,0.7998046875,0.7998046875,0.3550695331903437,13107.0,1638.0
object_support,30,0.7998046875,0.7998046875,0.35463716606076795,13107.0,1638.0
object_support,31,0.7939453125,0.7893203883495146,0.3558812133916698,13107.0,1638.0
