interval,outcome,original,q025,q975,label
anchor_only,r2_G,-0.2404841119636992,-0.32251517158227805,-0.15574087643871778,anchor_only_bootstrap_interval
conditional_geometry,r2_G,-0.2404841119636992,-0.2595271801793296,-0.18209206485105464,conditional_geometry
object_support_geometry,r2_G,-0.2404841119636992,-0.2831536291141667,-0.11393935707919917,object_support_geometry
combined_A,r2_G,-0.2404841119636992,-0.3194054799633236,-0.1243716883753709,combined_geometry_anchor_resampling_interval
combined_B,r2_G,-0.2404841119636992,-0.32875157793893095,-0.08153899756009499,combined_geometry_anchor_resampling_interval
anchor_only,mse_G,0.22704789227635297,0.12275709269917244,0.3171031407108223,anchor_only_bootstrap_interval
conditional_geometry,mse_G,0.22704789227635297,0.1732246636675879,0.24550038722305192,conditional_geometry
object_support_geometry,mse_G,0.22704789227635297,0.09441566870229225,0.2675307860654776,object_support_geometry
combined_A,mse_G,0.22704789227635297,0.10174020472600119,0.3057239353949538,combined_geometry_anchor_resampling_interval
combined_B,mse_G,0.22704789227635297,0.055519235465138726,0.32364973476823616,combined_geometry_anchor_resampling_interval
anchor_only,r2_P,-0.15795580203362286,-0.2457717538461232,-0.0626550366218926,anchor_only_bootstrap_interval
conditional_geometry,r2_P,-0.15795580203362286,-0.17465714755996728,-0.10407882398633571,conditional_geometry
object_support_geometry,r2_P,-0.15795580203362286,-0.2019423111860702,-0.040028673370784286,object_support_geometry
combined_A,r2_P,-0.15795580203362286,-0.23443175865186844,-0.039977670165626714,combined_geometry_anchor_resampling_interval
combined_B,r2_P,-0.15795580203362286,-0.2507908758543127,-0.005013752458654558,combined_geometry_anchor_resampling_interval
anchor_only,mse_P,0.17477573070804867,0.06978918990846765,0.2655437855084412,anchor_only_bootstrap_interval
conditional_geometry,mse_P,0.17477573070804867,0.13006356054949017,0.19491517168706582,conditional_geometry
object_support_geometry,mse_P,0.17477573070804867,0.06097537517094676,0.22701660642402233,object_support_geometry
combined_A,mse_P,0.17477573070804867,0.049603482485724736,0.25228349766944647,combined_geometry_anchor_resampling_interval
combined_B,mse_P,0.17477573070804867,0.019210714279379693,0.27123408780506997,combined_geometry_anchor_resampling_interval
anchor_only,delta_adapt,0.15334238492921803,0.06876915505107571,0.23092509016990817,anchor_only_bootstrap_interval
conditional_geometry,delta_adapt,0.15334238492921803,0.10948820529849165,0.19302002509126695,conditional_geometry
object_support_geometry,delta_adapt,0.15334238492921803,0.04051911045450384,0.2112929566353097,object_support_geometry
combined_A,delta_adapt,0.15334238492921803,0.0589135680773614,0.2431988487223397,combined_geometry_anchor_resampling_interval
combined_B,delta_adapt,0.15334238492921803,0.007448033484426696,0.2508184621986993,combined_geometry_anchor_resampling_interval
