scheme,replicate,outcome,controlled,analysis
conditional_support,15,r2_P,0.01338311174626063,replicate_radius_sensitivity
conditional_support,15,mse_P,0.02056010459939804,replicate_radius_sensitivity
conditional_support,15,delta_adapt,-0.027305349561117402,replicate_radius_sensitivity
conditional_support,16,r2_G,-0.03147700515558302,replicate_radius_sensitivity
conditional_support,16,mse_G,0.06726666123070232,replicate_radius_sensitivity
conditional_support,16,r2_P,-0.0013227811251873979,replicate_radius_sensitivity
conditional_support,16,mse_P,0.04594346525560477,replicate_radius_sensitivity
conditional_support,16,delta_adapt,-0.007895469982032707,replicate_radius_sensitivity
conditional_support,17,r2_G,-0.06287041447797576,replicate_radius_sensitivity
conditional_support,17,mse_G,0.10239389855918335,replicate_radius_sensitivity
conditional_support,17,r2_P,-0.03737314891109052,replicate_radius_sensitivity
conditional_support,17,mse_P,0.07813715939391859,replicate_radius_sensitivity
conditional_support,17,delta_adapt,-0.03769564107185772,replicate_radius_sensitivity
conditional_support,18,r2_G,-0.016560289851340677,replicate_radius_sensitivity
conditional_support,18,mse_G,0.05331205797026813,replicate_radius_sensitivity
conditional_support,18,r2_P,0.0010223725695517334,replicate_radius_sensitivity
conditional_support,18,mse_P,0.0460925966457239,replicate_radius_sensitivity
conditional_support,18,delta_adapt,-0.03720765598356622,replicate_radius_sensitivity
conditional_support,19,r2_G,-0.01668125793936897,replicate_radius_sensitivity
conditional_support,19,mse_G,0.08008641752783786,replicate_radius_sensitivity
conditional_support,19,r2_P,0.009148334592188233,replicate_radius_sensitivity
conditional_support,19,mse_P,0.045954462354516425,replicate_radius_sensitivity
conditional_support,19,delta_adapt,-0.05610988086654994,replicate_radius_sensitivity
conditional_support,20,r2_G,-0.0028569211270184597,replicate_radius_sensitivity
conditional_support,20,mse_G,0.02226832063034298,replicate_radius_sensitivity
conditional_support,20,r2_P,0.05141036452432451,replicate_radius_sensitivity
conditional_support,20,mse_P,-0.0003179323880477449,replicate_radius_sensitivity
conditional_support,20,delta_adapt,-0.04956723286526819,replicate_radius_sensitivity
conditional_support,21,r2_G,-0.05082242206543756,replicate_radius_sensitivity
conditional_support,21,mse_G,0.08725831416440645,replicate_radius_sensitivity
conditional_support,21,r2_P,-0.009987243365262471,replicate_radius_sensitivity
conditional_support,21,mse_P,0.05368560170403176,replicate_radius_sensitivity
conditional_support,21,delta_adapt,-0.013313910489694556,replicate_radius_sensitivity
conditional_support,22,r2_G,-0.04781243562673808,replicate_radius_sensitivity
conditional_support,22,mse_G,0.09772200907519941,replicate_radius_sensitivity
conditional_support,22,r2_P,-0.03550695016651217,replicate_radius_sensitivity
conditional_support,22,mse_P,0.06509576237969353,replicate_radius_sensitivity
conditional_support,22,delta_adapt,-0.0017932423810668226,replicate_radius_sensitivity
conditional_support,23,r2_G,-0.04834539259106671,replicate_radius_sensitivity
conditional_support,23,mse_G,0.05607706838443139,replicate_radius_sensitivity
conditional_support,23,r2_P,0.0004900414563806777,replicate_radius_sensitivity
conditional_support,23,mse_P,0.041756521011432686,replicate_radius_sensitivity
conditional_support,23,delta_adapt,-0.023688913350728417,replicate_radius_sensitivity
conditional_support,24,r2_G,-0.07283172972385302,replicate_radius_sensitivity
conditional_support,24,mse_G,0.08994294740847553,replicate_radius_sensitivity
conditional_support,24,r2_P,-0.02765716731898239,replicate_radius_sensitivity
conditional_support,24,mse_P,0.06300908521303258,replicate_radius_sensitivity
conditional_support,24,delta_adapt,-0.00017461247296322998,replicate_radius_sensitivity
conditional_support,25,r2_G,-0.04974023600668337,replicate_radius_sensitivity
conditional_support,25,mse_G,0.0593003806605555,replicate_radius_sensitivity
conditional_support,25,r2_P,-0.01014504726427942,replicate_radius_sensitivity
conditional_support,25,mse_P,0.053548540300522994,replicate_radius_sensitivity
conditional_support,25,delta_adapt,-0.01186712142799922,replicate_radius_sensitivity
conditional_support,26,r2_G,-0.006434554565637839,replicate_radius_sensitivity
conditional_support,26,mse_G,0.05282603984275758,replicate_radius_sensitivity
conditional_support,26,r2_P,0.008713189223057643,replicate_radius_sensitivity
conditional_support,26,mse_P,0.04236520596582782,replicate_radius_sensitivity
conditional_support,26,delta_adapt,-0.0637563514951763,replicate_radius_sensitivity
conditional_support,27,r2_G,-0.04943267486638973,replicate_radius_sensitivity
conditional_support,27,mse_G,0.10149016948764605,replicate_radius_sensitivity
conditional_support,27,r2_P,-0.0034906401277165523,replicate_radius_sensitivity
conditional_support,27,mse_P,0.047204734152733435,replicate_radius_sensitivity
conditional_support,27,delta_adapt,-0.026506584669436145,replicate_radius_sensitivity
conditional_support,28,r2_G,-0.041537830735514585,replicate_radius_sensitivity
conditional_support,28,mse_G,0.04848477858458933,replicate_radius_sensitivity
conditional_support,28,r2_P,0.01541480341836326,replicate_radius_sensitivity
conditional_support,28,mse_P,0.022307570438653713,replicate_radius_sensitivity
conditional_support,28,delta_adapt,-0.04840386497064579,replicate_radius_sensitivity
conditional_support,29,r2_G,0.028812220333939875,replicate_radius_sensitivity
conditional_support,29,mse_G,0.03969148041336217,replicate_radius_sensitivity
conditional_support,29,r2_P,0.03163945823462767,replicate_radius_sensitivity
conditional_support,29,mse_P,0.014099532507066755,replicate_radius_sensitivity
conditional_support,29,delta_adapt,-0.07376201276593311,replicate_radius_sensitivity
conditional_support,30,r2_G,-0.05316605583593687,replicate_radius_sensitivity
conditional_support,30,mse_G,0.07648187248944278,replicate_radius_sensitivity
conditional_support,30,r2_P,-0.015365897620764239,replicate_radius_sensitivity
