scheme,replicate,outcome,controlled,raw,n,estimator
conditional_support,0,r2_G,-0.21317205685446491,-0.3934315848124878,512,K_H
conditional_support,0,mse_G,0.222164107471876,0.34548521703802887,512,K_H
conditional_support,0,r2_P,-0.1440780890582621,0.028277564630754967,512,K_H
conditional_support,0,mse_P,0.17091422906581522,0.29310487262677243,512,K_H
conditional_support,0,delta_adapt,0.1392609126984127,0.07346929323880477,512,K_H
conditional_support,1,r2_G,-0.20879065171490369,-0.38909792317551867,512,K_H
conditional_support,1,mse_G,0.19637269186093087,0.36632749110218465,512,K_H
conditional_support,1,r2_P,-0.11357294134308374,0.06604240695917878,512,K_H
conditional_support,1,mse_P,0.13082309798468775,0.3148656279683226,512,K_H
conditional_support,1,delta_adapt,0.14512808848605532,0.05144469693068287,512,K_H
conditional_support,2,r2_G,-0.23604378740801774,-0.41555801604467796,512,K_H
conditional_support,2,mse_G,0.2222109569013859,0.3614050823405546,512,K_H
conditional_support,2,r2_P,-0.12838862638903195,0.05196978605188771,512,K_H
conditional_support,2,mse_P,0.1481279718989254,0.30599687002895365,512,K_H
conditional_support,2,delta_adapt,0.15553053939071423,0.06950291682402353,512,K_H
conditional_support,3,r2_G,-0.25620218497156133,-0.4233661350865749,512,K_H
conditional_support,3,mse_G,0.23219086886737395,0.36916796128448975,512,K_H
conditional_support,3,r2_P,-0.1627766440931095,0.03828072249688147,512,K_H
conditional_support,3,mse_P,0.17770909508359942,0.3152928160870212,512,K_H
conditional_support,3,delta_adapt,0.19725451614195305,0.08518737268399308,512,K_H
conditional_support,4,r2_G,-0.22567253965392936,-0.39451529079548187,512,K_H
conditional_support,4,mse_G,0.21627851377873908,0.37535244360902253,512,K_H
conditional_support,4,r2_P,-0.15174360344354035,0.04325704386537119,512,K_H
conditional_support,4,mse_P,0.16811229343335507,0.3244695822032249,512,K_H
conditional_support,4,delta_adapt,0.15408571728979983,0.056597687140225,512,K_H
conditional_support,5,r2_G,-0.24960267392224858,-0.4020262199448392,512,K_H
conditional_support,5,mse_G,0.1962269579485243,0.3477581296277223,512,K_H
