scheme,replicate,r_b0,support_overlap,jaccard,n_ok
conditional_support,0,0.9341571501527792,1.0,1.0,512
conditional_support,1,0.9332453744235016,1.0,1.0,512
conditional_support,2,0.9350314642199105,1.0,1.0,512
conditional_support,3,0.9384476280598758,1.0,1.0,512
conditional_support,4,0.9353991070713313,1.0,1.0,512
conditional_support,5,0.9290966070999416,1.0,1.0,512
conditional_support,6,0.9359731019901352,1.0,1.0,512
conditional_support,7,0.9400777915107402,1.0,1.0,512
conditional_support,8,0.9401794476201919,1.0,1.0,512
conditional_support,9,0.9303937283276685,1.0,1.0,512
conditional_support,10,0.9317606766631189,1.0,1.0,512
conditional_support,11,0.9303239012199447,1.0,1.0,512
conditional_support,12,0.9383596512685823,1.0,1.0,512
conditional_support,13,0.9423820860656207,1.0,1.0,512
conditional_support,14,0.9255786977432165,1.0,1.0,512
conditional_support,15,0.9388332417802496,1.0,1.0,512
conditional_support,16,0.9210025634863414,1.0,1.0,512
conditional_support,17,0.9379641133369955,1.0,1.0,512
conditional_support,18,0.9368282828933063,1.0,1.0,512
conditional_support,19,0.9444146718108055,1.0,1.0,512
conditional_support,20,0.9166732828074753,1.0,1.0,512
conditional_support,21,0.9326079003158579,1.0,1.0,512
conditional_support,22,0.9422449352548037,1.0,1.0,512
conditional_support,23,0.9186886129421727,1.0,1.0,512
conditional_support,24,0.9399701451116376,1.0,1.0,512
conditional_support,25,0.9212637222336663,1.0,1.0,512
conditional_support,26,0.9339785143509457,1.0,1.0,512
conditional_support,27,0.9334525311566586,1.0,1.0,512
conditional_support,28,0.9346232304505556,1.0,1.0,512
conditional_support,29,0.927397689429052,1.0,1.0,512
conditional_support,30,0.9111950288106111,1.0,1.0,512
conditional_support,31,0.9187167762442635,1.0,1.0,512
object_support,0,0.8072583177406989,0.79833984375,0.7971721111652852,512
object_support,1,0.8482898348897356,0.79833984375,0.7971721111652852,512
object_support,2,0.8601218192456026,0.7998046875,0.7998046875,512
object_support,3,0.8566758827719985,0.7998046875,0.7998046875,512
object_support,4,0.8790607011249585,0.7998046875,0.7998046875,512
object_support,5,0.8733016187729599,0.7998046875,0.7998046875,512
object_support,6,0.8924798440164338,0.796875,0.7945472249269717,512
object_support,7,0.8752174385736031,0.7998046875,0.7998046875,512
object_support,8,0.8734502137192296,0.799560546875,0.7993654965074426,512
object_support,9,0.8712732351712614,0.7998046875,0.7998046875,512
object_support,10,0.8791570822032251,0.795166015625,0.7914946379968752,512
object_support,11,0.904990608656344,0.7998046875,0.7998046875,512
object_support,12,0.8754677790366328,0.7998046875,0.7998046875,512
object_support,13,0.8521204016033234,0.7978515625,0.7962962962962963,512
object_support,14,0.8879084483468948,0.7998046875,0.7998046875,512
object_support,15,0.8757222322358408,0.7998046875,0.7998046875,512
object_support,16,0.8610241178002083,0.798828125,0.7980487804878049,512
object_support,17,0.8718284545553382,0.7998046875,0.7998046875,512
object_support,18,0.8967564637907556,0.79638671875,0.7936739659367397,512
object_support,19,0.8724821113857704,0.7958984375,0.7928015564202334,512
object_support,20,0.8776230316087021,0.79736328125,0.7954213346322455,512
object_support,21,0.8818100652601825,0.79736328125,0.7954213346322455,512
object_support,22,0.8621951747233381,0.7998046875,0.7998046875,512
object_support,23,0.85501317506094,0.79248046875,0.7867183713039263,512
object_support,24,0.8336537691260114,0.7998046875,0.7998046875,512
object_support,25,0.8937873364919148,0.7998046875,0.7998046875,512
object_support,26,0.8906911614080862,0.7998046875,0.7998046875,512
object_support,27,0.8332707482175759,0.7998046875,0.7998046875,512
object_support,28,0.8523810239067989,0.7998046875,0.7998046875,512
object_support,29,0.8890915752566346,0.7998046875,0.7998046875,512
object_support,30,0.8947245038967281,0.7998046875,0.7998046875,512
object_support,31,0.8387276338677744,0.7939453125,0.7893203883495146,512
