family,model,pair,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,reference_model,comparison_mode,representation,metric,k_or_keff,score,bootstrap_low,bootstrap_high,null_score,seed_std,n,protocol,method_raw
dinov2,DINOv2 Base,official_legacy_cross_dino_base,base,1,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.0123046875,,,,,16384,paper_full_catalog,dense_cosine
dinov2,DINOv2 Base,official_legacy_cross_dino_base,base,1,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,50,0.0196826171875,,,,,16384,paper_full_catalog,dense_cosine
dinov2,DINOv2 Large,official_legacy_cross_dino_large,large,2,300000000.0,8.477121254719663,300.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,10,0.01168212890625,,,,,16384,paper_full_catalog,dense_cosine
dinov2,DINOv2 Large,official_legacy_cross_dino_large,large,2,300000000.0,8.477121254719663,300.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.01383056640625,,,,,16384,paper_full_catalog,dense_cosine
dinov2,DINOv2 Large,official_legacy_cross_dino_large,large,2,300000000.0,8.477121254719663,300.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,50,0.021649169921875,,,,,16384,paper_full_catalog,dense_cosine
dinov2,DINOv2 Giant,official_legacy_cross_dino_giant,giant,3,1100000000.0,9.041392685158225,1100.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,10,0.0127197265625,,,,,16384,paper_full_catalog,dense_cosine
dinov2,DINOv2 Giant,official_legacy_cross_dino_giant,giant,3,1100000000.0,9.041392685158225,1100.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.01514892578125,,,,,16384,paper_full_catalog,dense_cosine
dinov2,DINOv2 Giant,official_legacy_cross_dino_giant,giant,3,1100000000.0,9.041392685158225,1100.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,50,0.022960205078125,,,,,16384,paper_full_catalog,dense_cosine
vit,ViT Base,official_legacy_cross_vit_base,base,0,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,10,0.007208251953125,,,,,16384,paper_full_catalog,dense_cosine
vit,ViT Base,official_legacy_cross_vit_base,base,0,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.0088775634765625,,,,,16384,paper_full_catalog,dense_cosine
