pair,family,size_name,paper_model,approx_params_m,k,method,mknn,n,n_test,protocol,sae1_tag,sae2_tag
official_legacy_cross_convnext_large,convnext,large,ConvNeXtv2 Large,198.0,10,dense_cosine,0.0132080078125,16384,3277,paper_full_catalog,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_convnext_large,convnext,large,ConvNeXtv2 Large,198.0,10,dense_cosine_heldout,0.012450411962160512,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_convnext_large,convnext,large,ConvNeXtv2 Large,198.0,10,sae_codes_cosine,0.012511443393347574,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_convnext_large,convnext,large,ConvNeXtv2 Large,198.0,10,sae_idf_cosine,0.013518462007934088,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_convnext_large,convnext,large,ConvNeXtv2 Large,198.0,10,shared_side1_basis_cosine,0.014281354897772353,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_convnext_large,convnext,large,ConvNeXtv2 Large,198.0,10,shared_side1_basis_idf,0.01498321635642356,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_convnext_large,convnext,large,ConvNeXtv2 Large,198.0,10,shared_side2_basis_cosine,0.01507476350320415,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_convnext_large,convnext,large,ConvNeXtv2 Large,198.0,10,shared_side2_basis_idf,0.015013732072017089,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_convnext_large,convnext,large,ConvNeXtv2 Large,198.0,10,dense_cosine_test_subset,0.02108635947512969,16384,3277,test_subset_mknn,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_convnext_large,convnext,large,ConvNeXtv2 Large,198.0,10,shared_best_basis_idf,0.015013732072017089,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,dense_cosine,0.007183837890625,16384,3277,paper_full_catalog,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,dense_cosine_heldout,0.006591394568202624,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,sae_codes_cosine,0.00869697894415624,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,sae_idf_cosine,0.009185230393652731,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,shared_side1_basis_cosine,0.01275556911809582,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,shared_side1_basis_idf,0.011687519072322246,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,shared_side2_basis_cosine,0.009215746109246262,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,shared_side2_basis_idf,0.009673481843149222,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,dense_cosine_test_subset,0.017485505035093073,16384,3277,test_subset_mknn,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_astropt_15m,astropt,15m,AstroPTv2 Small,15.0,10,shared_best_basis_idf,0.011687519072322246,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
