family,model,pair,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,reference_model,comparison_mode,representation,metric,k_or_keff,score,bootstrap_low,bootstrap_high,null_score,seed_std,n,protocol,method_raw
dinov2,DINOv2 Small,official_legacy_cross_dino_small,small,0,22000000.0,7.342422680822207,22.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,50,0.033628318584070796,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
dinov2,DINOv2 Base,official_legacy_cross_dino_base,base,1,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,10,0.016356423558132438,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
dinov2,DINOv2 Base,official_legacy_cross_dino_base,base,1,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,20,0.02245956667683857,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
dinov2,DINOv2 Base,official_legacy_cross_dino_base,base,1,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,50,0.037552639609398836,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
dinov2,DINOv2 Large,official_legacy_cross_dino_large,large,2,300000000.0,8.477121254719663,300.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,10,0.017638083613060726,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
dinov2,DINOv2 Large,official_legacy_cross_dino_large,large,2,300000000.0,8.477121254719663,300.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,20,0.024732987488556606,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
dinov2,DINOv2 Large,official_legacy_cross_dino_large,large,2,300000000.0,8.477121254719663,300.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,50,0.04010985657613671,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
dinov2,DINOv2 Giant,official_legacy_cross_dino_giant,giant,3,1100000000.0,9.041392685158225,1100.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,10,0.020781202319194385,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
dinov2,DINOv2 Giant,official_legacy_cross_dino_giant,giant,3,1100000000.0,9.041392685158225,1100.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,20,0.027387854745193774,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
dinov2,DINOv2 Giant,official_legacy_cross_dino_giant,giant,3,1100000000.0,9.041392685158225,1100.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,50,0.043576441867561794,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
vit,ViT Base,official_legacy_cross_vit_base,base,0,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,10,0.012511443393347574,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
vit,ViT Base,official_legacy_cross_vit_base,base,0,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,20,0.016753127860848337,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
vit,ViT Base,official_legacy_cross_vit_base,base,0,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,50,0.028519987793713765,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
vit,ViT Large,official_legacy_cross_vit_large,large,1,307000000.0,8.487138375477187,307.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,10,0.01922490082392432,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
