dens_q,pw_cos,t2_cos,H_E_est
"(0.519, 0.811]",0.4650742235869912,0.4240822881670413,16.02678841594507
"(0.811, 0.913]",0.4637110716589924,0.4471546559588612,16.066050894261963
"(0.913, 1.034]",0.49927691014684145,0.41334562160215466,16.021697343679893
"(1.034, 1.238]",0.4954489995523224,0.42540802041364145,16.028414221047107
"(1.238, 1.693]",0.4349937493664624,0.4046400794383409,15.97500840464669
