cell,fixture,sampling,noise,rho,median_cosine,median_ratio,median_rel_err,constant_truth,median_tensor_cos,scal_rho,f_res_mean,energy_B_S_mean,energy_II_E_true_mean,energy_frac
F0_S0_N0,F0,S0,N0,,-0.013677842985629083,42843903894.52785,42843903894.52812,True,0.0008060132721714325,,0.0009573965739571433,0.015422149493819873,16.0,0.0009638843433637421
F1_S0_N0,F1,S0,N0,,0.999460670808102,1.0024984816129245,0.036105656627626555,True,0.9809481034998419,0.23663935207125086,0.3621732906294427,9.088495947177712,25.0,0.3635398378871085
F2_S0_N0,F2,S0,N0,,0.015004720225352295,144835471556.13702,144835471556.13678,True,0.9228219414916792,,0.502982512144304,16.209538303364656,32.0,0.5065480719801455
F4_S0_N0,F4,S0,N0,0.8193223443223443,0.9985285924036631,1.0132042569387403,0.10162238238899796,False,0.6975505692829864,0.8617673992673993,0.016676416062576287,0.27574969361974,16.27688842957332,0.016941179809203157
F4_S1_N0,F4,S1,N0,0.8316391941391941,0.9912633850721245,1.0169435757396663,0.20319201548733484,False,0.5767126635860195,0.7944139194139193,0.015050280013123748,0.24548316957292388,16.27688842957332,0.01508170131134572
F4_S2_N0,F4,S2,N0,0.8152014652014651,0.9974878181093405,1.0268984437090527,0.13770311281670605,False,0.9289505198854544,0.8405677655677655,0.01819710951623006,0.30000772860584085,16.27688842957332,0.018431515943843405
F4_S0_N1,F4,S0,N1,0.8024725274725273,0.9971689065878535,1.0022723417955945,0.11480646138599801,False,0.7061456071597376,0.8382783882783882,0.01708211920256481,0.28280488813702137,16.27688842957332,0.01737462841013249
F4_S0_N2,F4,S0,N2,0.7308150183150182,0.9768403197095943,1.0106835734466184,0.25809980187506965,False,0.6102179765681941,0.7701465201465202,0.022996357042141778,0.38668319701699694,16.27688842957332,0.023756579685982
F4_S0_N3,F4,S0,N3,0.7616758241758241,0.9908121422706619,1.0502786521477014,0.19166909886259875,False,0.7059603501803895,0.7807692307692307,0.018977972456630403,0.3146356744710839,16.27688842957332,0.0193302101831346
F4_S3_N4,F4,S3,N4,0.7369047619047618,0.9528390064332044,1.0357329507129462,0.34695653139325056,False,0.6569900465601399,0.7635073260073258,0.027167552861824797,0.4527266538042153,16.27688842957332,0.02781407857915034
F0_S3_N4,F0,S3,N4,,0.008979126809038148,251075659717.9367,251075659717.93686,True,0.002791822431637641,,0.011014825069872131,0.1792931720392229,16.0,0.011205823252451431
F2_S3_N4,F2,S3,N4,,0.007398530110101166,900354578866.8022,900354578866.8027,True,0.6498985664312813,,0.5287362040922347,18.18735741052334,32.0,0.5683549190788544
