noise,fixture,pw_cos,t2_cos
N0,F0,-0.0007650457316752601,-0.0077759993187778206
N0,F1,0.3553944640380564,0.20809067372757667
N0,F2,0.647455160716665,0.42095318415523403
N0,F4,0.5378324606231408,0.4966634455136679
N1,F4,0.6514732122174551,0.589998488590614
N2,F4,0.40932394108912384,0.3773981283343377
N3,F4,0.5113289389204848,0.4592680590388394
N4,F0,0.0012684636724182418,0.00629652175787572
N4,F2,,
N4,F4,0.3855722975827095,0.3126705855882302
