family,model,size_name,parameter_count,log10_params,embedding_dim,pca_rank,rank_label,raw_dense_mknn,raw_pca_mknn,raw_pca_minus_dense,pca_ridge_mknn,dense_raw_from_pca_sweep,dense_ridge_mknn,ridge_gain_after_pca,ridge_gain_full,I_pca_x_ridge
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,8,8,0.017485505035093073,0.01507476350320415,-0.0024107415318889228,0.0152273420811718,0.017485505035093,0.0320109856576136,0.00015257857796764987,0.014525480622520529,-0.014372902044552879
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,16,16,0.017485505035093073,0.018126335062557217,0.000640830027464144,0.0205065608788526,0.017485505035093,0.0320109856576136,0.0023802258162953817,0.014525480622520529,-0.012145254806225147
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,32,32,0.017485505035093073,0.017729630759841318,0.00024412572474824534,0.0233445224290509,0.017485505035093,0.0320109856576136,0.0056148916692095804,0.014525480622520529,-0.008910588953310948
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,64,64,0.017485505035093073,0.01788220933780897,0.0003967043027158987,0.027891364052487,0.017485505035093,0.0320109856576136,0.010009154714678028,0.014525480622520529,-0.004516325907842501
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,128,128,0.017485505035093073,0.017668599328654257,0.000183094293561184,0.0351235886481538,0.017485505035093,0.0320109856576136,0.017454989319499542,0.014525480622520529,0.0029295086969790135
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,256,256,0.017485505035093073,0.017180347879157766,-0.0003051571559353067,0.0417149832163564,0.017485505035093,0.0320109856576136,0.024534635337198636,0.014525480622520529,0.010009154714678108
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,384,full,0.017485505035093073,0.017485505035093073,0.0,0.0320109856576136,0.017485505035093,0.0320109856576136,0.014525480622520529,0.014525480622520529,0.0
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,8,8,0.02187976808056149,0.018065303631370155,-0.0038144644491913335,0.0207201708880073,0.0218797680805614,0.0482453463533719,0.002654867256637144,0.026365578272810414,-0.02371071101617327
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,16,16,0.02187976808056149,0.021330485199877937,-0.000549282880683552,0.0270979554470552,0.0218797680805614,0.0482453463533719,0.0057674702471772615,0.026365578272810414,-0.020598108025633152
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,32,32,0.02187976808056149,0.021818736649374428,-6.1031431187061336e-05,0.0326212999694842,0.0218797680805614,0.0482453463533719,0.010802563320109773,0.026365578272810414,-0.01556301495270064
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,64,64,0.02187976808056149,0.02236801953005798,0.0004882514494964907,0.0394568202624351,0.0218797680805614,0.0482453463533719,0.01708880073237712,0.026365578272810414,-0.009276777540433295
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,128,128,0.02187976808056149,0.02200183094293561,0.00012206286237412267,0.0494659749771132,0.0218797680805614,0.0482453463533719,0.027464144034177587,0.026365578272810414,0.0010985657613671734
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,256,256,0.02187976808056149,0.021818736649374428,-6.1031431187061336e-05,0.0563930424168446,0.0218797680805614,0.0482453463533719,0.03457430576747017,0.026365578272810414,0.008208727494659757
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,512,512,0.02187976808056149,0.02194079951174855,6.1031431187061336e-05,0.0649679584986267,0.0218797680805614,0.0482453463533719,0.04302715898687815,0.026365578272810414,0.016661580714067738
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,768,full,0.02187976808056149,0.02187976808056149,0.0,0.0482453463533719,0.0218797680805614,0.0482453463533719,0.026365578272810414,0.026365578272810414,0.0
