rank_label,n_rungs,mean_raw_pca,mean_raw_dense,mean_lift_vs_dense,median_lift_vs_dense,n_pos_lift,mean_pca_ridge,mean_dense_ridge,mean_ridge_gain_after_pca,mean_I,median_I,n_pos_I,lift_astropt,I_astropt,lift_convnext,I_convnext,lift_dinov2,I_dinov2,lift_vit,I_vit,lift_ijepa,I_ijepa
8,16,0.015151052792187977,0.02178249923710711,-0.006631446444919133,-0.005996338114128775,0,0.016371681415929155,0.04153188892279519,0.0012206286237411792,-0.018528761061946904,-0.019133353677143767,0,-0.003967043027158987,-0.020537076594446115,-0.007644186756179432,-0.022482453463533718,-0.006118400976502898,-0.013434543790051878,-0.007445834604821483,-0.015847828298240284,-0.008407079646017699,-0.021818736649374455
16,16,0.019522429050961243,0.02178249923710711,-0.002260070186145865,-0.0022581629539212694,1,0.024063548977723493,0.04153188892279519,0.004541119926762248,-0.015208269758925835,-0.015212084223375033,0,-0.0012918319601261316,-0.015959719255416505,-0.0026930119011290814,-0.01966737870003052,-0.0015868172108635947,-0.010390601159597182,-0.003478791577662496,-0.012338521004984204,-0.0023649679584986268,-0.019102837961550226
32,16,0.02183590173939579,0.02178249923710711,5.3402502288678886e-05,0.000183094293561184,9,0.03147696063472683,0.04153188892279519,0.009641058895331041,-0.010108330790357042,-0.010176991150442474,0,-0.0008340962262231716,-0.011768894313904996,0.0004653646628013427,-0.015105279218797693,0.001304546841623436,-0.005675923100396739,-0.0006815176482555171,-0.007018614586512049,-0.0008391821788220934,-0.011122978333841908
64,16,0.02336168751907232,0.02178249923710711,0.0015791882819652123,0.0016631064998474214,14,0.038018767165089964,0.04153188892279519,0.014657079646017647,-0.005092310039670438,-0.004134879462923407,2,-0.0001627504831654969,-0.005848845488760037,0.001899603295697284,-0.01084070796460176,0.0033567287152883743,-0.0010451632590784505,0.0013223476757196623,-0.0016681924524463616,0.00038144644491913335,-0.005691180958193487
128,16,0.02386519682636558,0.02178249923710711,0.0020826975892584685,0.002563320109856576,15,0.04425160207506861,0.04153188892279519,0.020386405248703034,0.0006370155630149494,0.0012969179127250777,9,-0.0005797985962770827,0.0030210558437595825,0.002769301190112908,-0.004325602685382983,0.0038983826670735437,0.002937137625877305,0.00222764723832774,0.0032448377581120597,0.0008544400366188587,-0.0015257857796765126
256,16,0.02410550808666463,0.02178249923710711,0.0023230088495575225,0.003127860848336895,13,0.04953654256942321,0.04153188892279519,0.02543103448275858,0.005681644797070496,0.004562099481232857,14,-0.0011494252873563218,0.011463737157969688,0.003295697284101312,0.0008849557522123876,0.004333231614281357,0.006034482758620693,0.0026955548774285423,0.00753738175160209,0.001007018614586512,0.0031126029905401385
512,14,0.024515018091459957,0.022010549718819473,0.0025044683726404816,0.003234665852914251,13,0.055065608788526045,0.04271110336108807,0.030550590697066084,0.009850037054797502,0.007155935306682898,14,-0.0013426914861153494,0.01925541653951785,0.0035627097955447055,0.005752212389380543,0.004333231614281356,0.008178211779066243,0.002817617739802665,0.011992676228257537,0.0010222764723832774,0.007934086054317918
full,16,0.02178249923710711,0.02178249923710711,0.0,0.0,0,0.04153188892279519,0.04153188892279519,0.019749389685688085,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
