family,model,size_name,parameter_count,log10_params,embedding_dim,pca_rank,rank_label,raw_dense_mknn,raw_pca_mknn,raw_pca_minus_dense
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,8,8,0.017485505035093073,0.01507476350320415,-0.0024107415318889228
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,16,16,0.017485505035093073,0.018126335062557217,0.000640830027464144
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,32,32,0.017485505035093073,0.017729630759841318,0.00024412572474824534
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,64,64,0.017485505035093073,0.01788220933780897,0.0003967043027158987
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,128,128,0.017485505035093073,0.017668599328654257,0.000183094293561184
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,256,256,0.017485505035093073,0.017180347879157766,-0.0003051571559353067
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,384,full,0.017485505035093073,0.017485505035093073,0.0
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,8,8,0.02187976808056149,0.018065303631370155,-0.0038144644491913335
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,16,16,0.02187976808056149,0.021330485199877937,-0.000549282880683552
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,32,32,0.02187976808056149,0.021818736649374428,-6.1031431187061336e-05
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,64,64,0.02187976808056149,0.02236801953005798,0.0004882514494964907
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,128,128,0.02187976808056149,0.02200183094293561,0.00012206286237412267
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,256,256,0.02187976808056149,0.021818736649374428,-6.1031431187061336e-05
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,512,512,0.02187976808056149,0.02194079951174855,6.1031431187061336e-05
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,768,full,0.02187976808056149,0.02187976808056149,0.0
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,8,8,0.026212999694842844,0.02053707659444614,-0.005675923100396704
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,16,16,0.026212999694842844,0.022245956667683857,-0.003967043027158987
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,32,32,0.026212999694842844,0.023527616722612145,-0.0026853829722306988
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,64,64,0.026212999694842844,0.024839792493133964,-0.00137320720170888
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,128,128,0.026212999694842844,0.02416844675007629,-0.0020445529447665547
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,256,256,0.026212999694842844,0.023130912419896246,-0.0030820872749465975
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,512,512,0.026212999694842844,0.023466585291425084,-0.00274641440341776
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,2048,full,0.026212999694842844,0.026212999694842844,0.0
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,8,8,0.017973756484589563,0.009459871833994507,-0.008513884650595056
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,16,16,0.017973756484589563,0.015196826365578273,-0.0027769301190112908
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,32,32,0.017973756484589563,0.01821788220933781,0.00024412572474824534
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,64,64,0.017973756484589563,0.019835215135794934,0.0018614586512053707
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,128,128,0.017973756484589563,0.020933780897162038,0.002960024412572475
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,256,256,0.017973756484589563,0.021299969484284406,0.003326212999694843
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,512,512,0.017973756484589563,0.021269453768690876,0.003295697284101312
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,640,full,0.017973756484589563,0.017973756484589563,0.0
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,8,8,0.018462007934086054,0.013030210558437597,-0.005431797375648457
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,16,16,0.018462007934086054,0.016753127860848337,-0.0017088800732377174
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,32,32,0.018462007934086054,0.019896246566981995,0.0014342386328959414
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,64,64,0.018462007934086054,0.020872749465974977,0.0024107415318889228
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,128,128,0.018462007934086054,0.02145254806225206,0.0029905401281660055
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,256,256,0.018462007934086054,0.02187976808056149,0.003417760146475435
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,512,512,0.018462007934086054,0.022520598108025633,0.004058590173939579
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,768,full,0.018462007934086054,0.018462007934086054,0.0
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,8,8,0.019743667989014342,0.012450411962160512,-0.00729325602685383
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,16,16,0.019743667989014342,0.01742447360390601,-0.0023191943851083308
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,32,32,0.019743667989014342,0.02014037229173024,0.0003967043027158987
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,64,64,0.019743667989014342,0.02145254806225206,0.0017088800732377174
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,128,128,0.019743667989014342,0.022245956667683857,0.0025022886786695148
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,256,256,0.019743667989014342,0.023008849557522124,0.0032651815685077815
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,512,512,0.019743667989014342,0.023130912419896246,0.003387244430881904
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,1024,full,0.019743667989014342,0.019743667989014342,0.0
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,8,8,0.02108635947512969,0.011748550503509307,-0.009337808971620384
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,16,16,0.02108635947512969,0.017119316447970705,-0.003967043027158987
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,32,32,0.02108635947512969,0.020872749465974977,-0.00021361000915471468
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,64,64,0.02108635947512969,0.022703692401586817,0.0016173329264571254
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,128,128,0.02108635947512969,0.02371071101617333,0.0026243515410436374
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,256,256,0.02108635947512969,0.02425999389685688,0.0031736344217271895
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,512,512,0.02108635947512969,0.02459566676838572,0.003509307293256027
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,1536,full,0.02108635947512969,0.02108635947512969,0.0
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,8,8,0.022886786695148,0.017180347879157766,-0.005706438815990235
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,16,16,0.022886786695148,0.022215440952090326,-0.0006713457430576747
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,32,32,0.022886786695148,0.02505340250228868,0.0021666158071406774
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,64,64,0.022886786695148,0.02688434543790052,0.0039975587427525175
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,128,128,0.022886786695148,0.02764723832773879,0.004760451632590788
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,256,256,0.022886786695148,0.028013426914861157,0.005126640219713156
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,384,full,0.022886786695148,0.022886786695148,0.0
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,8,8,0.019530057979859627,0.013945682026243517,-0.0055843759536161105
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,16,16,0.019530057979859627,0.01788220933780897,-0.001647848642050656
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,32,32,0.019530057979859627,0.02194079951174855,0.0024107415318889228
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,64,64,0.019530057979859627,0.023405553860238022,0.003875495880378395
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,128,128,0.019530057979859627,0.024321025328043942,0.004790967348184315
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,256,256,0.019530057979859627,0.024931339639914556,0.005401281660054928
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,512,512,0.019530057979859627,0.0251754653646628,0.0056454073848031736
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,768,full,0.019530057979859627,0.019530057979859627,0.0
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,8,8,0.022245956667683857,0.014800122062862376,-0.007445834604821481
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,16,16,0.022245956667683857,0.020415013732072017,-0.00183094293561184
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,32,32,0.022245956667683857,0.022764723832773878,0.0005187671650900214
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,64,64,0.022245956667683857,0.025083918217882212,0.0028379615501983556
