rank_label,mean_delta_beta,n_pos_families,n_families,delta_beta_astropt,delta_beta_convnext,delta_beta_dinov2,delta_beta_vit,delta_beta_ijepa
8,-0.0060059240460272854,0,5,-0.001865170632751812,-0.0013591887485398428,-0.00034073078292125736,-0.002284264615386075,-0.02418026545053744
16,-0.003103841659885623,0,5,-0.0026578302788743294,-0.0011540807182780551,-0.0008487344110955228,-0.0006693944308908614,-0.010189168460289347
32,-0.0028022374721017123,1,5,-0.0017044027838247228,-0.0007298080296478386,-0.0014117870568452543,0.0006322875348919958,-0.010797477025082741
64,-0.0018404122659909524,0,5,-0.0010387004816567614,-0.0004305434144595056,-0.0008614309037716686,-2.7915176141129344e-05,-0.006843471353925698
128,-0.00193010287434561,1,5,-0.0013016080549684557,-0.0004089637852370772,-0.0013280931221774138,7.954480338224178e-05,-0.006691394212727346
256,-0.0017855058522414946,1,5,-0.0016329475535824009,-0.00016850514434933912,-0.00137415249597083,0.0003311615806290292,-0.006083085647933931
512,-0.0019565996571311115,2,5,-0.0033613301436497683,-8.089862708606128e-05,5.456076716980383e-05,0.00014398678943946912,-0.006539317071529001
full,0.0,0,5,0.0,0.0,0.0,0.0,0.0
