dataset_id,sample_id,k,d,r2_L,test_energy,test_sse_lin
desi_vit_base_hsc,9981,2048,1,0.42356343283828013,250.16383064480422,144.2035797649168
desi_vit_base_hsc,9981,2048,2,0.5508907395228331,250.16383064480422,112.35089297902326
desi_vit_base_hsc,9981,2048,3,0.6214922434330175,250.16383064480422,94.68895031156741
desi_vit_base_hsc,9981,2048,4,0.6731772704291813,250.16383064480422,81.75922597122694
desi_vit_base_hsc,9981,2048,5,0.7106351297278726,250.16383064480422,72.38862440131223
desi_vit_base_hsc,9981,2048,6,0.734427100102542,250.16383064480422,66.43673395379723
desi_vit_base_hsc,9981,2048,7,0.758156905478363,250.16383064480422,60.50039494052618
desi_vit_base_hsc,9981,2048,8,0.7789811412076169,250.16383064480422,55.29092436024563
desi_vit_base_hsc,9981,2048,9,0.7946805189178985,250.16383064480422,51.363507893501925
desi_vit_base_hsc,9981,2048,10,0.8075387212865455,250.16383064480422,48.1468507337551
desi_vit_base_hsc,9981,2048,11,0.8177752251676469,250.16383064480422,45.58604771044837
desi_vit_base_hsc,9981,2048,12,0.8261308994672405,250.16383064480422,43.49576022004169
desi_vit_base_hsc,9981,2048,13,0.8336232170579506,250.16383064480422,41.62145335114219
desi_vit_base_hsc,9981,2048,14,0.8406166768948574,250.16383064480422,39.871942648881
desi_vit_base_hsc,9981,2048,15,0.8464871452110919,250.16383064480422,38.40336380721283
desi_vit_base_hsc,9981,2048,16,0.8520040667054735,250.16383064480422,37.02322959281168
desi_vit_base_hsc,9981,2048,17,0.8568027381991214,250.16383064480422,35.82277554995468
desi_vit_base_hsc,9981,2048,18,0.8613964972090844,250.16383064480422,34.67358319896326
desi_vit_base_hsc,9981,2048,19,0.8658166511031108,250.16383064480422,33.56782056879407
desi_vit_base_hsc,9981,2048,20,0.8697673143758988,250.16383064480422,32.579507510885676
desi_vit_base_hsc,9981,2048,21,0.8732974478549953,250.16383064480422,31.69639579706743
desi_vit_base_hsc,9981,2048,22,0.8773503968910558,250.16383064480422,30.68249454079838
desi_vit_base_hsc,9981,2048,23,0.8804120403127149,250.16383064480422,29.91658209436766
desi_vit_base_hsc,9981,2048,24,0.8831702299821917,250.16383064480422,29.22658280100641
desi_vit_base_hsc,9981,2048,25,0.8860111225262061,250.16383064480422,28.515894239745524
desi_vit_base_hsc,9981,2048,26,0.8886848027526209,250.16383064480422,27.847036152386334
desi_vit_base_hsc,9981,2048,27,0.8911428969971995,250.16383064480422,27.232109880076592
desi_vit_base_hsc,9981,2048,28,0.8934730092249548,250.16383064480422,26.64920007934904
desi_vit_base_hsc,9981,2048,29,0.8957793007337757,250.16383064480422,26.072249360918818
