ok,d,lin_nmse,quad_nmse,quadN_nmse,lin_r2,quad_r2,lam,df,df_frac,n_tr,n_te,m_d,energy,test_sse_lin,dataset_id,sample_id,k,stage
1.0,9.0,0.20543762570902155,0.15916489058729652,0.15916489058729652,0.7945623742909784,0.8408351094127035,10.265094402347158,44.10992083126806,0.9802204629170681,1024.0,1024.0,45.0,250.16464996196856,51.39323172451529,desi_vit_base_hsc,9981,2048,fine_closest
1.0,10.0,0.1924994394146831,0.14939904241312973,0.14939904241312973,0.8075005605853169,0.8506009575868703,70.19841693443314,48.188052845367395,0.8761464153703162,1024.0,1024.0,55.0,250.16464996196856,48.15655487904937,desi_vit_base_hsc,9981,2048,fine_closest
1.0,11.0,0.18283627264811514,0.14087864344842727,0.14087864344842727,0.8171637273518848,0.8591213565515727,75.15142391423707,57.234541994094236,0.867190030213549,1024.0,1024.0,66.0,250.16464996196856,45.73917214736677,desi_vit_base_hsc,9981,2048,fine_closest
1.0,12.0,0.17417028133099782,0.13381326962232065,0.13381326962232065,0.8258297186690022,0.8661867303776793,80.95599887289207,66.93297495967269,0.8581150635855473,1024.0,1024.0,78.0,250.16464996196856,43.57124746294666,desi_vit_base_hsc,9981,2048,fine_closest
1.0,13.0,0.1659964996891561,0.126216566399612,0.126216566399612,0.8340035003108439,0.873783433600388,86.11451478529916,77.35149757926959,0.8500164569150505,1024.0,1024.0,91.0,250.16464996196856,41.52645623964976,desi_vit_base_hsc,9981,2048,fine_closest
1.0,15.0,0.1529003997619067,0.11522097092231831,0.11522097092231831,0.8470996002380933,0.8847790290776817,97.34356347001236,99.2828682273741,0.8273572352281174,1024.0,1024.0,120.0,250.16464996196856,38.25027498548245,desi_vit_base_hsc,9981,2048,fine_closest
1.0,16.0,0.14764635492662848,0.11116809894406089,0.11116809894406089,0.8523536450733715,0.8888319010559391,102.53333703536997,111.21068245368907,0.8177256062771255,1024.0,1024.0,136.0,250.16464996196856,36.93589869838058,desi_vit_base_hsc,9981,2048,fine_closest
1.0,17.0,0.14287648645812104,0.1124978380985993,0.1124978380985993,0.857123513541879,0.8875021619014007,675.9863651516057,71.05114336364628,0.4643865579323286,1024.0,1024.0,153.0,250.16464996196856,35.742646222591794,desi_vit_base_hsc,9981,2048,fine_closest
1.0,18.0,0.13825593399139172,0.10934108145686472,0.10934108145686473,0.8617440660086083,0.8906589185431353,712.1873900078295,76.6706356782752,0.4483662905162293,1024.0,1024.0,171.0,250.16464996196856,34.58674733212154,desi_vit_base_hsc,9981,2048,fine_closest
1.0,19.0,0.13387752020271404,0.10544516357345379,0.10544516357345379,0.866122479797286,0.8945548364265462,744.2644819065972,82.72033126522894,0.4353701645538365,1024.0,1024.0,190.0,250.16464996196856,33.49142297928833,desi_vit_base_hsc,9981,2048,fine_closest
