contrast,raw,ctl_raw,ctl_controlled,ctl_n,ctl_p_raw,ctl_p_ctl,controlled,n,p_raw,p_ctl,name,ycol
C_H_vs_K_H_cross,-0.28423038046435956,-0.28423038046435956,0.2295621151909454,512.0,5.7047246763931306e-11,1.504553107877778e-07,,,,,,
C_H_vs_K_dir_cross,-0.22298935481324222,-0.22298935481324222,0.5610460583536467,512.0,3.438687277005475e-07,8.609087095068347e-44,,,,,,
,-0.41243045899566266,,,,,,-0.25415770805438254,512.0,1.9066267724201765e-22,5.446342059250704e-09,rho_ctl_KH_R2G_given_CH,r2_G
,0.1980620979995309,,,,,,0.09526357632093933,512.0,6.3170861029284386e-06,0.031145902893007577,rho_ctl_CH_R2G_given_KH,r2_G
,0.1980620979995309,,,,,,0.02970575697233952,512.0,6.3170861029284386e-06,0.5024309731293574,rho_ctl_CH_R2G,r2_G
,-0.41243045899566266,,,,,,-0.2404841119636992,512.0,1.9066267724201765e-22,3.6028687450798254e-08,rho_ctl_KH_R2G,r2_G
,0.07590734112678957,,,,,,0.21984702767191955,512.0,0.0861867068843841,5.060453954540994e-07,rho_ctl_KH_DeltaAdapt_given_CH,delta_adapt
,-0.2342563735047579,,,,,,-0.2654372446527277,512.0,8.209874110681048e-08,1.0523418316484496e-09,rho_ctl_CH_DeltaAdapt_given_KH,delta_adapt
,-0.2342563735047579,,,,,,-0.20734386265320837,512.0,8.209874110681048e-08,2.226408454722411e-06,rho_ctl_CH_DeltaAdapt,delta_adapt
,0.07590734112678957,,,,,,0.15334238492921803,512.0,0.0861867068843841,0.0004979157881532145,rho_ctl_KH_DeltaAdapt,delta_adapt
