name,raw,controlled,n,p_raw,p_ctl,observed,median_f_res_vec
rho_ctl_CHfull_R2G,0.1373668188736682,-0.017506040357743675,512.0,0.0018367060040750068,0.6927110921580413,,
rho_ctl_CHfull_R2P,-0.21368766880099793,-0.260759096657168,512.0,1.061620385573937e-06,2.10077722716609e-09,,
rho_ctl_CHres_R2G,0.1980620979995309,0.02970575697233952,512.0,6.3170861029284386e-06,0.5024309731293574,,
rho_ctl_CHres_R2P,-0.1947103837932236,-0.21959123336308806,512.0,9.098194685717575e-06,5.220837788857718e-07,,
rho_ctl_CHfull_DeltaAdapt,-0.21974519274785137,-0.16241812078712764,512.0,5.123728892205193e-07,0.00022367862869411727,,
rho_ctl_CHres_DeltaAdapt,-0.2342563735047579,-0.20734386265320837,512.0,8.209874110681048e-08,2.226408454722411e-06,,
median_cos_HE_HR,,,,,,0.6127441284285378,0.5919055930042385
